"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BDM_vs_CM","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names","CM_vs_BDM"
4.188805,11.7458725,116.73126818976,2.79097752220448e-13,2.28804337270324e-09,18.9502293674115,"TSP1_HUMAN",50,-140.175054383403,1.50156479066759e-14,1.23098281538929e-10,-4.188805,"Up in BDM",9.9097480098093,"THBS1","Thrombospondin-1","TSP1_HUMAN",4.188805
-1.64615,16.1754,-49.9623968347189,1.41400637456575e-10,2.53062866184989e-07,15.0602270980647,"ALDOC_HUMAN",31,58.0996165969354,1.43587791696731e-11,4.0314107658724e-08,1.64615,"Up in CM",7.39454294874274,"ALDOC","Fructose-bisphosphate aldolase C","ALDOC_HUMAN",-1.64615
1.853025,11.1182875,54.1204508085857,7.86965073454642e-11,2.15051322406038e-07,15.5440488905281,"ANXA3_HUMAN",21,-57.8979718508405,1.47526619878229e-11,4.0314107658724e-08,-1.853025,"Up in BDM",7.39454294874274,"ANXA3","Annexin A3","ANXA3_HUMAN",1.853025
1.703125,13.1744125,44.6483714183992,3.22302087855372e-10,3.43469272377858e-07,14.3461007859864,"K2C7_HUMAN",37,-51.1775119673624,3.85335586529645e-11,6.26947119430256e-08,-1.703125,"Up in BDM",7.20276908868786,"KRT7","Keratin, type II cytoskeletal 7","K2C7_HUMAN",1.703125
1.436725,12.0115125,39.7217127198581,7.58589384948622e-10,4.14594385187254e-07,13.5665666140864,"FLNC_HUMAN",102,-49.7614145421127,4.79327958269258e-11,6.26947119430256e-08,-1.436725,"Up in BDM",7.20276908868786,"FLNC","Filamin-C","FLNC_HUMAN",1.436725
-1.390325,12.3602875,-42.9346585903795,4.29277370811002e-10,3.7298902161534e-07,14.0891035397274,"PURA1_HUMAN",29,49.5664542243429,4.94188986448722e-11,6.26947119430256e-08,1.390325,"Up in CM",7.20276908868786,"ADSS1","Adenylosuccinate synthetase isozyme 1","PURA1_HUMAN",-1.390325
1.730805,10.8206225,42.0007273239813,5.04274776504312e-10,3.75822237980213e-07,13.9429075645289,"TRFM_HUMAN",39,-47.5464233687754,6.8300110625196e-11,6.26947119430256e-08,-1.730805,"Up in BDM",7.20276908868786,"MELTF","Melanotransferrin","TRFM_HUMAN",1.730805
-1.029825,14.9268875,-35.4496206309987,1.74356612697434e-09,5.22310235154715e-07,12.7766574510855,"ACOHC_HUMAN",48,46.9286309978792,7.56112745345042e-11,6.26947119430256e-08,1.029825,"Up in CM",7.20276908868786,"ACO1","Cytoplasmic aconitate hydratase","ACOHC_HUMAN",-1.029825
6.58094,9.048705,65.8587319412099,1.86496126560015e-11,7.64447622769503e-08,16.6374557609407,"Q6VBP1_HBV",1,-46.88122180003,7.62078329740478e-11,6.26947119430256e-08,-6.58094,"Up in BDM",7.20276908868786,"S","Large envelope protein","Q6VBP1_HBV",6.58094
-1.193675,15.6700375,-37.7708278152532,1.09653283396571e-09,4.65478022490219e-07,13.220468933586,"TKFC_HUMAN",40,46.4284926551198,8.21799810774112e-11,6.26947119430256e-08,1.193675,"Up in CM",7.20276908868786,"TKFC","Triokinase/FMN cyclase","TKFC_HUMAN",-1.193675
-1.106075,16.8858625,-34.8630189924708,1.96972863918956e-09,5.38261179469201e-07,12.6585216978162,"AL1L1_HUMAN",79,46.2891395612477,8.41231802114274e-11,6.26947119430256e-08,1.106075,"Up in CM",7.20276908868786,"ALDH1L1","Cytosolic 10-formyltetrahydrofolate dehydrogenase","AL1L1_HUMAN",-1.106075
1.77467500000001,12.7793125,40.6674366197675,6.38588327509701e-10,3.89675547583457e-07,13.7262292181321,"ANXA1_HUMAN",23,-43.3583301920106,1.39867241326677e-10,9.55526370330081e-08,-1.77467500000001,"Up in BDM",7.01975732291477,"ANXA1","Annexin A1","ANXA1_HUMAN",1.77467500000001
1.284375,14.6477875,35.9375557087667,1.57774327795973e-09,4.97474592027457e-07,12.8730265072012,"VIME_HUMAN",46,-42.882793075138,1.52382056932407e-10,9.60944694409133e-08,-1.284375,"Up in BDM",7.01730160671658,"VIM","Vimentin","VIME_HUMAN",1.284375
1.8605,14.7661,37.3014961297883,1.2015421985011e-09,4.65478022490219e-07,13.1336537117485,"FINC_HUMAN",120,-42.3073898705426,1.69246303744111e-10,9.87365355155672e-08,-1.8605,"Up in BDM",7.00552211544815,"FN1","Fibronectin","FINC_HUMAN",1.8605
2.2560975,10.12205125,49.368825717489,1.54344270666619e-10,2.53062866184989e-07,14.9861326485769,"SYUG_HUMAN",9,-41.9535103196875,1.80659677083863e-10,9.87365355155672e-08,-2.2560975,"Up in BDM",7.00552211544815,"SNCG","Gamma-synuclein","SYUG_HUMAN",2.2560975
1.94005,14.909075,37.278775548407,1.20690839672644e-09,4.65478022490219e-07,13.1294145397223,"FIBA_HUMAN",43,-40.832731522868,2.2295376922065e-10,1.05056615904498e-07,-1.94005,"Up in BDM",6.97857659285019,"FGA","Fibrinogen alpha chain","FIBA_HUMAN",1.94005
2.9844825,11.16633375,38.6008911389946,9.35319013430279e-10,4.51043839535378e-07,13.3705751133398,"K1C19_HUMAN",26,-40.3696202019178,2.43607580828419e-10,1.05056615904498e-07,-2.9844825,"Up in BDM",6.97857659285019,"KRT19","Keratin, type I cytoskeletal 19","K1C19_HUMAN",2.9844825
1.919175,13.5473875,39.1242380975377,8.47558172897467e-10,4.3426761883834e-07,13.4630260958932,"FGL1_HUMAN",17,-39.9893028255852,2.62190419997333e-10,1.05056615904498e-07,-1.919175,"Up in BDM",6.97857659285019,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN",1.919175
-0.761975000000001,16.2415125,-26.3567784078896,1.51565327148447e-08,1.74847192998394e-06,10.6079730573866,"FAS_HUMAN",149,39.8380008235342,2.70023613911584e-10,1.05056615904498e-07,0.761975000000001,"Up in CM",6.97857659285019,"FASN","Fatty acid synthase","FAS_HUMAN",-0.761975000000001
-1.1573,14.150125,-35.338796607037,1.78393346966724e-09,5.22310235154715e-07,12.7545313059192,"AL8A1_HUMAN",26,39.8287994683608,2.70508431408769e-10,1.05056615904498e-07,1.1573,"Up in CM",6.97857659285019,"ALDH8A1","2-aminomuconic semialdehyde dehydrogenase","AL8A1_HUMAN",-1.1573
-1.6064,11.315275,-35.0011160630353,1.91362929055342e-09,5.38261179469201e-07,12.6865608135788,"DPYD_HUMAN",55,39.5478177092677,2.85796746014722e-10,1.05056615904498e-07,1.6064,"Up in CM",6.97857659285019,"DPYD","Dihydropyrimidine dehydrogenase [NADP(+)]","DPYD_HUMAN",-1.6064
1.219125,10.8884875,36.4868896281947,1.41209995528811e-09,4.86518415904332e-07,12.9795190724428,"ANGL3_HUMAN",22,-39.5227463765133,2.87207571448504e-10,1.05056615904498e-07,-1.219125,"Up in BDM",6.97857659285019,"ANGPTL3","Angiopoietin-related protein 3","ANGL3_HUMAN",1.219125
1.60542,10.73094,37.1038419976361,1.24914814525309e-09,4.65478022490219e-07,13.0966618434762,"CCN1_HUMAN",22,-39.3626757606897,2.96402467599064e-10,1.05056615904498e-07,-1.60542,"Up in BDM",6.97857659285019,"CCN1","CCN family member 1","CCN1_HUMAN",1.60542
0.933325,12.6748875,29.8969282989293,6.04967554974133e-09,1.13704484772869e-06,11.5467393242168,"LIMC1_HUMAN",62,-39.1758323676001,3.07557792352764e-10,1.05056615904498e-07,-0.933325,"Up in BDM",6.97857659285019,"LIMCH1","LIM and calponin homology domains-containing protein 1","LIMC1_HUMAN",0.933325
-3.8276525,9.92429875,-45.314480167903,2.89172592271777e-10,3.43469272377858e-07,14.4422460065727,"NUA4L_HUMAN",5,38.5013437719469,3.51953435864552e-10,1.1196380935442e-07,3.8276525,"Up in CM",6.95092233391559,"NDUFA4L2","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4-like 2","NUA4L_HUMAN",-3.8276525
1.393775,13.9476125,40.4390346709154,6.65462023196926e-10,3.89675547583457e-07,13.6881339409625,"IL18_HUMAN",14,-38.4316603228614,3.56938081646136e-10,1.1196380935442e-07,-1.393775,"Up in BDM",6.95092233391559,"IL18","Interleukin-18","IL18_HUMAN",1.393775
1.5660925,9.93577875,36.1211189453037,1.52005437422921e-09,4.97474592027457e-07,12.9088449101895,"DREB_HUMAN",21,-38.0861158082531,3.82862172531434e-10,1.1196380935442e-07,-1.5660925,"Up in BDM",6.95092233391559,"DBN1","Drebrin","DREB_HUMAN",1.5660925
