"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BT_vs_C","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names","C_vs_BT"
2.06925,14.8317,76.0335405557223,8.55844554098455e-12,5.3402973553917e-08,14.9254311822017,"FINC_HUMAN",120,-68.5181005253901,3.7078732078914e-11,1.28817278893205e-07,-2.06925,"Up in BT",6.89002587902072,"FN1","Fibronectin","FINC_HUMAN",2.06925
3.3682775,11.27683625,64.2958453463543,2.88332334410902e-11,7.76863419681108e-08,14.4828574960635,"TSP1_HUMAN",50,-68.3117697704241,3.78687657428973e-11,1.28817278893205e-07,-3.3682775,"Up in BT",6.89002587902072,"THBS1","Thrombospondin-1","TSP1_HUMAN",3.3682775
1.9066,14.47175,57.5951461254489,6.39694009035325e-11,1.03412933500651e-07,14.1355637852349,"FIBB_HUMAN",38,-66.0712471935696,4.7810446205569e-11,1.28817278893205e-07,-1.9066,"Up in BT",6.89002587902072,"FGB","Fibrinogen beta chain","FIBB_HUMAN",1.9066
2.087475,14.7836625,46.6926941219262,2.92021907861293e-10,3.93402180207138e-07,13.3396792481712,"FIBA_HUMAN",43,-52.7349981476143,2.31039318269725e-10,3.61810921730699e-07,-2.087475,"Up in BT",6.44151832753761,"FGA","Fibrinogen alpha chain","FIBA_HUMAN",2.087475
2.26585,13.531675,71.6091257745902,1.32136517515568e-11,5.3402973553917e-08,14.7786572705335,"FGL1_HUMAN",17,-52.1769721613982,2.48859012985246e-10,3.61810921730699e-07,-2.26585,"Up in BT",6.44151832753761,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN",2.26585
1.977025,15.2810625,59.2448900999005,5.21409797629066e-11,1.03412933500651e-07,14.2291715549538,"FIBG_HUMAN",29,-51.6105372951092,2.68571759295335e-10,3.61810921730699e-07,-1.977025,"Up in BT",6.44151832753761,"FGG","Fibrinogen gamma chain","FIBG_HUMAN",1.977025
-1.5964275,10.12183625,-32.8662913998201,3.6879916389061e-09,4.25857663103971e-06,11.6150742597222,"PLIN2_HUMAN",25,35.3070780168623,3.79469155838538e-09,4.381784552347e-06,1.5964275,"Up in C",5.35834898004485,"PLIN2","Perilipin-2","PLIN2_HUMAN",-1.5964275
0.755400000000002,14.361425,25.5936114591379,2.23133031715249e-08,1.80358429535436e-05,10.1216267453356,"VNN1_HUMAN",18,-33.4733163783692,5.50134153177341e-09,5.55841795016556e-06,-0.755400000000002,"Up in BT",5.25504880073493,"VNN1","Pantetheinase","VNN1_HUMAN",0.755400000000002
0.759555000000002,10.0196725,24.6018043069302,2.96345401135065e-08,2.17759988852248e-05,9.86901730466549,"AGRIN_HUMAN",63,-32.1767536388282,7.2422688740644e-09,6.50436214545139e-06,-0.759555000000002,"Up in BT",5.18679528638805,"AGRN","Agrin","AGRIN_HUMAN",0.759555000000002
0.994800000000001,12.56445,25.9915710582026,1.99722832938825e-08,1.79373295404947e-05,10.2191273983805,"LG3BP_HUMAN",20,-30.7479412933103,9.93333746232144e-09,8.02911667079442e-06,-0.994800000000001,"Up in BT",5.09533223132173,"LGALS3BP","Galectin-3-binding protein","LG3BP_HUMAN",0.994800000000001
1.9605275,8.62753625,30.7833363905151,5.91188771962901e-09,5.97322355472016e-06,11.2431520207755,"PGBM_HUMAN",106,-30.1861254014121,1.12923103173348e-08,8.29779493591063e-06,-1.9605275,"Up in BT",5.08103730212971,"HSPG2","Basement membrane-specific heparan sulfate proteoglycan core protein","PGBM_HUMAN",1.9605275
-0.691024999999998,11.7758125,-23.0287548195925,4.75984344356707e-08,2.74812961102519e-05,9.43800548409545,"VTDB_HUMAN",21,27.9929612710322,1.90728681262035e-08,1.18601070986299e-05,0.691024999999998,"Up in C",4.92591138920667,"GC","Vitamin D-binding protein","VTDB_HUMAN",-0.691024999999998
