"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BM1_vs_C","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names","C_vs_BM1"
3.3625525,11.27397375,69.2848528367707,1.70694566297164e-11,1.37972417937998e-07,13.5920534735016,"TSP1_HUMAN",50,-73.9195964626609,2.18136453761431e-11,1.76319695575365e-07,-3.3625525,"Up in BM1",6.75369917265847,"THBS1","Thrombospondin-1","TSP1_HUMAN",3.3625525
1.885325,14.7397375,48.9532810432602,2.10566221235114e-10,5.6733558874781e-07,12.7199549040744,"FINC_HUMAN",120,-46.2478801313058,5.77720138631911e-10,2.33485594028087e-06,-1.885325,"Up in BM1",5.6317399100748,"FN1","Fibronectin","FINC_HUMAN",1.885325
2.03465,13.416075,52.3853267027581,1.29019425720438e-10,5.21432009049152e-07,12.923610876568,"FGL1_HUMAN",17,-41.867781626168,1.15672600409096e-09,3.11660543035573e-06,-2.03465,"Up in BM1",5.50631817695512,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN",2.03465
1.804875,15.1949875,40.6282068339247,8.09413278929819e-10,1.63562188339743e-06,12.0673044843123,"FIBG_HUMAN",29,-37.4197664573038,2.53121853081167e-09,5.11495984613769e-06,-1.804875,"Up in BM1",5.29115777127133,"FGG","Fibrinogen gamma chain","FIBG_HUMAN",1.804875
2.05735,14.7686,34.0342842050192,2.90372750530218e-09,4.6941658850715e-06,11.317960772413,"FIBA_HUMAN",43,-35.5743685084442,3.60048902826006e-09,5.82055056308521e-06,-2.05735,"Up in BM1",5.23503593370045,"FGA","Fibrinogen alpha chain","FIBA_HUMAN",2.05735
0.937075000000002,12.5355875,28.0449214454747,1.16964576308732e-08,1.18178083787935e-05,10.3580392301435,"LG3BP_HUMAN",20,-34.4243581510446,4.52643287387731e-09,6.09785948659171e-06,-0.937075000000002,"Up in BM1",5.21482258733386,"LGALS3BP","Galectin-3-binding protein","LG3BP_HUMAN",0.937075000000002
1.78489,8.5397175,33.0596540997885,3.57998698257674e-09,4.82283913002797e-06,11.1830451499965,"PGBM_HUMAN",106,-32.4469880294959,6.83282098062932e-09,7.88995599806097e-06,-1.78489,"Up in BM1",5.10292541882513,"HSPG2","Basement membrane-specific heparan sulfate proteoglycan core protein","PGBM_HUMAN",1.78489
1.91842500000001,14.4776625,29.4366119514391,8.2566340440654e-09,9.53405328259724e-06,10.6114568420473,"FIBB_HUMAN",38,-29.8866136331941,1.21029137040477e-08,1.22284814337272e-05,-1.91842500000001,"Up in BM1",4.91262747149197,"FGB","Fibrinogen beta chain","FIBB_HUMAN",1.91842500000001
-0.413699999999999,14.220725,-17.7094426881194,3.13155714040521e-07,0.000136199877026784,7.58417086019961,"GLNA_HUMAN",20,29.2248994170337,1.41408192656696e-08,1.2700026902712e-05,0.413699999999999,"Non-significant",4.89619535906869,"GLUL","Glutamine synthetase","GLNA_HUMAN",-0.413699999999999
0.634825000000003,14.1170375,24.0020748354892,3.5754614434527e-08,3.21116164971424e-05,9.48821982918585,"VIME_HUMAN",46,-26.2162798570388,3.00666312210177e-08,2.43028580159486e-05,-0.634825000000003,"Up in BM1",4.61434265037004,"VIM","Vimentin","VIME_HUMAN",0.634825000000003
0.569875,14.2686625,19.3077149026334,1.69372713022126e-07,9.91887226135525e-05,8.14874750726053,"VNN1_HUMAN",18,-24.3415885593232,5.02877242091801e-08,3.69523340711639e-05,-0.569875,"Up in BM1",4.43235812446233,"VNN1","Pantetheinase","VNN1_HUMAN",0.569875
0.77838,10.029085,20.6022160925897,1.06624594071479e-07,8.61846593879766e-05,8.56143707970557,"AGRIN_HUMAN",63,-23.5304326994688,6.35899898717065e-08,4.2833157344417e-05,-0.77838,"Up in BM1",4.36821991143769,"AGRN","Agrin","AGRIN_HUMAN",0.77838
0.483949999999997,11.531925,17.6544131559461,3.2015311932561e-07,0.000136199877026784,7.56354172708963,"CO5_HUMAN",67,-22.0238411295731,1.00498903591739e-07,5.82372655275375e-05,-0.483949999999997,"Non-significant",4.23479902507863,"C5","Complement C5","CO5_HUMAN",0.483949999999997
0.778224999999999,11.3367875,19.7532658633721,1.43956912328449e-07,9.91887226135525e-05,8.29500538722303,"K1C19_HUMAN",26,-21.9295457764922,1.03523663574619e-07,5.82372655275375e-05,-0.778224999999999,"Up in BM1",4.23479902507863,"KRT19","Keratin, type I cytoskeletal 19","K1C19_HUMAN",0.778224999999999
0.520475000000003,12.1088375,17.0783058356165,4.0512768926978e-07,0.000155935576779411,7.34245137973488,"PAI1_HUMAN",22,-21.7934689678643,1.08073609169004e-07,5.82372655275375e-05,-0.520475000000003,"Up in BM1",4.23479902507863,"SERPINE1","Plasminogen activator inhibitor 1","PAI1_HUMAN",0.520475000000003
0.586862500000002,10.05691875,18.8120087922136,2.03834138981723e-07,0.000109839423025951,7.98052619539973,"CDHR2_HUMAN",30,-20.4951652844392,1.65150863563403e-07,8.34321518864368e-05,-0.586862500000002,"Up in BM1",4.07866655492567,"CDHR2","Cadherin-related family member 2","CDHR2_HUMAN",0.586862500000002
1.045135,9.53953,19.3148978150456,1.68924506141014e-07,9.91887226135525e-05,8.15114191184429,"PTPRF_HUMAN",57,-19.9140602341247,2.01377479536033e-07,9.57490686523387e-05,-1.045135,"Up in BM1",4.01886544170521,"PTPRF","Receptor-type tyrosine-protein phosphatase F","PTPRF_HUMAN",1.045135
0.441649999999999,10.551525,14.4798808132637,1.29962344577286e-06,0.000437702346340919,6.2146820951702,"TAGL_HUMAN",15,-18.6216611217868,3.19622748136715e-07,0.000143528370732726,-0.441649999999999,"Non-significant",3.84306224502865,"TAGLN","Transgelin","TAGL_HUMAN",0.441649999999999
-0.321300000000001,16.443825,-13.3360273564927,2.31447335082983e-06,0.000603480261121209,5.63859674372733,"FAS_HUMAN",149,18.372633136249,3.50620276987682e-07,0.000149161247310076,0.321300000000001,"Non-significant",3.82634399365601,"FASN","Fatty acid synthase","FAS_HUMAN",-0.321300000000001
