"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","B2_vs_BDM","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-1.0333,12.181775,-38.5502742378452,7.90206171159746e-10,2.22844514896264e-06,13.1716545185799,"PURA1_HUMAN",29,-61.8731623691297,4.39747586169425e-11,3.55447973900747e-07,-1.0333,"Up in B2",6.4492239569632,"ADSS1","Adenylosuccinate synthetase isozyme 1","PURA1_HUMAN"
-0.717750000000001,13.96315,-28.4171236968973,7.50931619459046e-09,4.16607118664057e-06,11.2443311627794,"PGDH_HUMAN",12,-44.3049455050773,4.84262030884801e-10,1.57104995322582e-06,-0.717750000000001,"Up in B2",5.80381000587955,"HPGD","15-hydroxyprostaglandin dehydrogenase [NAD(+)]","PGDH_HUMAN"
1.99646,10.25187,39.2792657201454,6.87966646316824e-10,2.22844514896264e-06,13.2804523106953,"SYUG_HUMAN",9,41.0280262745748,8.40446350300329e-10,1.57104995322582e-06,1.99646,"Up in BDM",5.80381000587955,"SNCG","Gamma-synuclein","SYUG_HUMAN"
-0.78575,14.80485,-27.8281712006303,8.76199556759738e-09,4.16607118664057e-06,11.1025044578827,"ACOHC_HUMAN",48,-39.9713122903889,1.01340727123547e-09,1.57104995322582e-06,-0.78575,"Up in B2",5.80381000587955,"ACO1","Cytoplasmic aconitate hydratase","ACOHC_HUMAN"
1.29115,10.852475,36.4280678646356,1.20103439900655e-09,2.22844514896264e-06,12.835482560091,"ANGL3_HUMAN",22,38.2218800614077,1.3968202018109e-09,1.57104995322582e-06,1.29115,"Up in BDM",5.80381000587955,"ANGPTL3","Angiopoietin-related protein 3","ANGL3_HUMAN"
-1.17465,15.93965,-35.7551832244353,1.37847652416346e-09,2.22844514896264e-06,12.7224516744186,"ALDOC_HUMAN",31,-37.9407733339048,1.47272309020077e-09,1.57104995322582e-06,-1.17465,"Up in B2",5.80381000587955,"ALDOC","Fructose-bisphosphate aldolase C","ALDOC_HUMAN"
2.0196525,8.29278875,36.6570822237916,1.1466663966101e-09,2.22844514896264e-06,12.8732203443939,"KCRB_HUMAN",12,37.6676113329507,1.55100944752941e-09,1.57104995322582e-06,2.0196525,"Up in BDM",5.80381000587955,"CKB","Creatine kinase B-type","KCRB_HUMAN"
1.215075,11.4372625,31.9068107804474,3.19629759665914e-09,3.69081049625655e-06,12.0084590488503,"ANXA3_HUMAN",21,37.6543880706118,1.55491768227224e-09,1.57104995322582e-06,1.215075,"Up in BDM",5.80381000587955,"ANXA3","Annexin A3","ANXA3_HUMAN"
-0.732624999999999,16.6991375,-28.5073920569462,7.335873306553e-09,4.16607118664057e-06,11.2657159542986,"AL1L1_HUMAN",79,-36.524497351149,1.93433092159739e-09,1.73724409325241e-06,-0.732624999999999,"Up in B2",5.76013915627666,"ALDH1L1","Cytosolic 10-formyltetrahydrofolate dehydrogenase","AL1L1_HUMAN"
-0.723649999999999,15.024975,-29.1481033977438,6.22751455757078e-09,4.16607118664057e-06,11.4148836901088,"PBLD_HUMAN",23,-35.9392874736388,2.17165894655717e-09,1.74865739867843e-06,-0.723649999999999,"Up in B2",5.75729527024582,"PBLD","Phenazine biosynthesis-like domain-containing protein","PBLD_HUMAN"
-0.899415000000001,10.3835675,-27.8554029189364,8.69910106013497e-09,4.16607118664057e-06,11.1091515057284,"SYNE2_HUMAN",160,-35.4832346387118,2.3797143864237e-09,1.74865739867843e-06,-0.899415000000001,"Up in B2",5.75729527024582,"SYNE2","Nesprin-2","SYNE2_HUMAN"
