logFC,AveExpr,t,P.Value,adj.P.Val,B,gene,count,sca.t,sca.P.Value,sca.adj.pval,D_vs_BD,Diff_Abund,negLog10_sca_adjPval,Genes,ProtDesc,Protein.Names,Protein.Ids
,,,1.0,1.0,,THYG_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,TG,Thyroglobulin,THYG_HUMAN,P01266
,,,1.0,1.0,,LAMB1_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,LAMB1,Laminin subunit beta-1,LAMB1_HUMAN,P07942
,,,1.0,1.0,,TENX_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,TNXB,Tenascin-X,TENX_HUMAN,P22105
,,,1.0,1.0,,GPC3_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,GPC3,Glypican-3,GPC3_HUMAN,P51654
,,,1.0,1.0,,MFAP2_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,MFAP2,Microfibrillar-associated protein 2,MFAP2_HUMAN,P55001
,,,1.0,1.0,,RELN_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,RELN,Reelin,RELN_HUMAN,P78509
,,,1.0,1.0,,PCOC1_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,PCOLCE,Procollagen C-endopeptidase enhancer 1,PCOC1_HUMAN,Q15113
,,,1.0,1.0,,Q15194_HBV,4,,1.0,1.0,,Non-significant,-0.0,PreC-C,Capsid protein,Q15194_HBV,Q15194
,,,1.0,1.0,,Q6VBP1_HBV,4,,1.0,1.0,,Non-significant,-0.0,S,Large envelope protein,Q6VBP1_HBV,Q6VBP1
,,,1.0,1.0,,OMD_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,OMD,Osteomodulin,OMD_HUMAN,Q99983
,,,1.0,1.0,,C1QT3_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,C1QTNF3,Complement C1q tumor necrosis factor-related protein 3,C1QT3_HUMAN,Q9BXJ4
,,,1.0,1.0,,COL10_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,COLEC10,Collectin-10,COL10_HUMAN,Q9Y6Z7
,,,1.0,1.0,,NBDY_HUMAN,3,,1.0,1.0,,Non-significant,-0.0,NBDY,Negative regulator of P-body association,NBDY_HUMAN,A0A0U1RRE5
,,,1.0,1.0,,BORG1_HUMAN,3,,1.0,1.0,,Non-significant,-0.0,CDC42EP2,Cdc42 effector protein 2,BORG1_HUMAN,O14613
,,,1.0,1.0,,ZN185_HUMAN,2,,1.0,1.0,,Non-significant,-0.0,ZNF185,Zinc finger protein 185,ZN185_HUMAN,O15231
,,,1.0,1.0,,TRI18_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,MID1,E3 ubiquitin-protein ligase Midline-1,TRI18_HUMAN,O15344
,,,1.0,1.0,,COPT2_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,SLC31A2,Protein SLC31A2,COPT2_HUMAN,O15432
,,,1.0,1.0,,CCL16_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,CCL16,C-C motif chemokine 16,CCL16_HUMAN,O15467
,,,1.0,1.0,,COCH_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,COCH,Cochlin,COCH_HUMAN,O43405
,,,1.0,1.0,,NRP2_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,NRP2,Neuropilin-2,NRP2_HUMAN,O60462
,,,1.0,1.0,,CATL2_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,CTSV,Cathepsin L2,CATL2_HUMAN,O60911
,,,1.0,1.0,,SEM7A_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,SEMA7A,Semaphorin-7A,SEM7A_HUMAN,O75326
,,,1.0,1.0,,CSTN1_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,CLSTN1,Calsyntenin-1,CSTN1_HUMAN,O94985
,,,1.0,1.0,,CFAD_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,CFD,Complement factor D,CFAD_HUMAN,P00746
,,,1.0,1.0,,ISK1_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,SPINK1,Serine protease inhibitor Kazal-type 1,ISK1_HUMAN,P00995
,,,1.0,1.0,,TGFB1_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,TGFB1,Transforming growth factor beta-1 proprotein,TGFB1_HUMAN,P01137
,,,1.0,1.0,,C1QC_HUMAN,1,,1.0,1.0,,Non-significant,-0.0,C1QC,Complement C1q subcomponent subunit C,C1QC_HUMAN,P02747
,,,1.0,1.0,,CDK1_HUMAN,3,,1.0,1.0,,Non-significant,-0.0,CDK1,Cyclin-dependent kinase 1,CDK1_HUMAN,P06493
,,,1.0,1.0,,FES_HUMAN,2,,1.0,1.0,,Non-significant,-0.0,FES,Tyrosine-protein kinase Fes/Fps,FES_HUMAN,P07332
