"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BT_vs_DM","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-1.75066666666667,15.0771142857143,-57.0486670889381,1.2065019790289e-09,3.06574120137578e-06,11.502854855885,"FIBA_HUMAN",43,-79.7954364895721,4.22577670018875e-11,1.80172842142539e-07,-1.75066666666667,"Up in BT",6.74431067060722,"FGA","Fibrinogen alpha chain","FIBA_HUMAN"
-1.64375833333333,15.1618571428571,-50.7777622419049,2.47340492674832e-09,4.05539471789654e-06,11.1679164425602,"FINC_HUMAN",120,-79.3202401162906,4.39553164534129e-11,1.80172842142539e-07,-1.64375833333333,"Up in BT",6.74431067060722,"FN1","Fibronectin","FINC_HUMAN"
-2.16940833333333,12.0312285714286,-57.9086576620817,1.10016962734544e-09,3.06574120137578e-06,11.5425619256155,"TSP1_HUMAN",50,-73.1744150786257,7.48070530129949e-11,2.04422740200177e-07,-2.16940833333333,"Up in BT",6.68947079447603,"THBS1","Thrombospondin-1","TSP1_HUMAN"
-1.77730833333333,15.5078714285714,-55.093944788787,1.49584835392817e-09,3.06574120137578e-06,11.4074215568978,"FIBG_HUMAN",29,-67.226027345683,1.30821279576481e-10,2.68118212491998e-07,-1.77730833333333,"Up in BT",6.57167368465146,"FGG","Fibrinogen gamma chain","FIBG_HUMAN"
-7.42624166666667,9.79605,-143.570448497377,4.05313717193116e-12,3.32276185354916e-08,12.8595410928868,"Q6VBP1_HBV",1,-51.0761182414433,7.99531464036091e-10,1.31091178843357e-06,-7.42624166666667,"Up in BT",5.88242653110583,"S","Large envelope protein","Q6VBP1_HBV"
-2.01333333333333,13.8017428571429,-48.8468329416197,3.14095081306684e-09,4.29158579425366e-06,11.0460032481506,"FGL1_HUMAN",17,-49.3330234862456,1.0049274567864e-09,1.37306588178915e-06,-2.01333333333333,"Up in BT",5.8623086241536,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN"
-1.47478333333333,14.793,-36.9741785792513,1.7448446895478e-08,1.8396973597912e-05,10.0146133631226,"FIBB_HUMAN",38,-44.0270430043231,2.12529784734778e-09,2.48902739322245e-06,-1.47478333333333,"Up in BT",5.6039703236968,"FGB","Fibrinogen beta chain","FIBB_HUMAN"
0.812525000000003,12.0236,26.5590011898899,1.33126607297094e-07,0.000109137192662157,8.45267371952191,"TENS1_HUMAN",76,42.1464926476991,2.83237705711521e-09,2.90247838927881e-06,0.812525000000003,"Up in DM",5.53723100516455,"TNS1","Tensin-1","TENS1_HUMAN"
-2.89620166666666,10.6249457142857,-36.8033622457057,1.79526456188456e-08,1.8396973597912e-05,9.99517408914661,"TSP4_HUMAN",21,-38.386939497773,5.2360345994704e-09,4.7202739514181e-06,-2.89620166666666,"Up in BT",5.32603279540476,"THBS4","Thrombospondin-4","TSP4_HUMAN"
1.16744166666667,13.8862571428571,31.0983281721931,5.05586150124145e-08,4.60532806524193e-05,9.23975534670754,"PLOD2_HUMAN",38,37.8361873897062,5.75783599831435e-09,4.7202739514181e-06,1.16744166666667,"Up in DM",5.32603279540476,"PLOD2","Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2","PLOD2_HUMAN"
