"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","B2_vs_BT","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names","BT_vs_B2"
1.0223025,9.83477375,24.0188772135916,2.79267860330165e-08,0.000225732211504873,8.65784545587338,"PLIN2_HUMAN",25,-26.7088756953311,1.81435598244067e-08,0.000146654394060679,-1.0223025,"Up in B2",3.83370492015211,"PLIN2","Perilipin-2","PLIN2_HUMAN",1.0223025
0.545349999999999,11.94805,19.3828049824606,1.33090004880565e-07,0.000537883254724804,7.68772257702634,"TENS1_HUMAN",76,-20.0435392474344,1.3985087565308e-07,0.000565207313951923,-0.545349999999999,"Up in B2",3.24779222688645,"TNS1","Tensin-1","TENS1_HUMAN",0.545349999999999
0.321649999999998,11.349825,11.2453216065616,6.55815841641432e-06,0.00407766111383669,4.54330813637918,"S12A4_HUMAN",38,-17.039499045913,4.40561105783616e-07,0.000839289960534228,-0.321649999999998,"Non-significant",3.07608797182394,"SLC12A4","Solute carrier family 12 member 4","S12A4_HUMAN",0.321649999999998
0.74207,10.177015,15.2844177312585,7.4013766533392e-07,0.000854647535556297,6.41823929150987,"VLDLR_HUMAN",32,-16.8332508639428,4.80014300748988e-07,0.000839289960534228,-0.74207,"Up in B2",3.07608797182394,"VLDLR","Very low-density lipoprotein receptor","VLDLR_HUMAN",0.74207
0.641052499999999,9.64898125,14.5534475568606,1.05188232039052e-06,0.00106279559946457,6.13422235257336,"FIL1L_HUMAN",39,-16.5507275887884,5.40743914957479e-07,0.000839289960534228,-0.641052499999999,"Up in B2",3.07608797182394,"FILIP1L","Filamin A-interacting protein 1-like","FIL1L_HUMAN",0.641052499999999
-0.341275,11.9060875,-11.6017988064605,5.26609096463288e-06,0.00354715110559396,4.74301895908797,"BODG_HUMAN",18,15.9251669812683,7.08944785557574e-07,0.000839289960534228,0.341275,"Non-significant",3.07608797182394,"BBOX1","Gamma-butyrobetaine dioxygenase","BODG_HUMAN",-0.341275
1.323405,10.1007225,16.3916072193879,4.47467261807288e-07,0.000772168499019942,6.8112627949385,"NUA4L_HUMAN",5,-15.868739423634,7.26837773566695e-07,0.000839289960534228,-1.323405,"Up in B2",3.07608797182394,"NDUFA4L2","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4-like 2","NUA4L_HUMAN",1.323405
0.287850000000001,10.68935,10.0311692506748,1.45560163738769e-05,0.00505160726545137,3.80006643175389,"SYNE2_HUMAN",160,-15.0928729708354,1.03300843709338e-06,0.00104372589962823,-0.287850000000001,"Non-significant",2.98141353956038,"SYNE2","Nesprin-2","SYNE2_HUMAN",0.287850000000001
0.25765,10.83715,9.17974102739113,2.68285577361475e-05,0.00580681573691743,3.21334780056054,"RHG17_HUMAN",36,-14.4804996788349,1.38017805948037e-06,0.0012395532505311,-0.25765,"Non-significant",2.9067348114415,"ARHGAP17","Rho GTPase-activating protein 17","RHG17_HUMAN",0.25765
0.823249999999998,11.0987,16.2438109614282,4.77649696288471e-07,0.000772168499019942,6.76121445680657,"MX1_HUMAN",43,-13.4836599754759,2.26924078307555e-06,0.00168001827569848,-0.823249999999998,"Up in B2",2.77468599387424,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN",0.823249999999998
-0.759,11.764325,-16.8456817083836,3.67422679501524e-07,0.000772168499019942,6.96065526674581,"ASM3A_HUMAN",18,13.4691441638278,2.28630471763989e-06,0.00168001827569848,0.759,"Up in BT",2.77468599387424,"SMPDL3A","Cyclic GMP-AMP phosphodiesterase SMPDL3A","ASM3A_HUMAN",-0.759
0.293000000000003,12.53635,9.92256393357,1.569632539914e-05,0.00505160726545137,3.72843182472201,"PCNA_HUMAN",17,-12.9691358691936,2.97334209042034e-06,0.00192695208337947,-0.293000000000003,"Non-significant",2.71512908460901,"PCNA","Proliferating cell nuclear antigen","PCNA_HUMAN",0.293000000000003
-0.205674999999999,11.5140875,-7.74623361876657,8.45531311848811e-05,0.00823425252249872,2.07968540505857,"FYCO1_HUMAN",81,12.8453282946668,3.17782804748552e-06,0.00192695208337947,0.205674999999999,"Non-significant",2.71512908460901,"FYCO1","FYVE and coiled-coil domain-containing protein 1","FYCO1_HUMAN",-0.205674999999999
0.402475000000003,16.2036375,10.747142215642,9.00781418203665e-06,0.00478859974298109,4.25062845167857,"ALDOA_HUMAN",29,-12.7547523283232,3.33753917695317e-06,0.00192695208337947,-0.402475000000003,"Non-significant",2.71512908460901,"ALDOA","Fructose-bisphosphate aldolase A","ALDOA_HUMAN",0.402475000000003
0.746575,10.9946125,11.7575446955868,4.79385599820339e-06,0.003522612548498,4.82784804465469,"EHD2_HUMAN",32,-12.203888496383,4.52930396752358e-06,0.00239821037926421,-0.746575,"Up in B2",2.62011272176013,"EHD2","EH domain-containing protein 2","EHD2_HUMAN",0.746575
0.306075,12.5453875,9.11603367259278,2.81392129575566e-05,0.00580681573691743,3.16703369658788,"PURA1_HUMAN",29,-12.1211001976189,4.74716888138406e-06,0.00239821037926421,-0.306075,"Non-significant",2.62011272176013,"ADSS1","Adenylosuccinate synthetase isozyme 1","PURA1_HUMAN",0.306075
0.352350000000001,10.80695,9.87306801064806,1.62491387976909e-05,0.00505160726545137,3.69548488584021,"DNJC1_HUMAN",25,-11.990148979257,5.11646525542063e-06,0.00243272874468029,-0.352350000000001,"Non-significant",2.61390631328704,"DNAJC1","DnaJ homolog subfamily C member 1","DNJC1_HUMAN",0.352350000000001
-0.9542,10.83915,-11.9325389378365,4.31937944026595e-06,0.00349135440156697,4.92145758146226,"CNBP_HUMAN",11,11.7713902969606,5.80836278240868e-06,0.00260827757612274,0.9542,"Up in BT",2.58364619232522,"CNBP","CCHC-type zinc finger nucleic acid binding protein","CNBP_HUMAN",-0.9542
0.548917500000002,10.21856625,10.6155240435461,9.81726463112822e-06,0.00478859974298109,4.17053061829359,"TAGL_HUMAN",15,-11.4994268641662,6.82105058814391e-06,0.00290181852126143,-0.548917500000002,"Up in B2",2.53732975167748,"TAGLN","Transgelin","TAGL_HUMAN",0.548917500000002
0.434000000000001,10.688175,12.0652704733875,3.99476531706165e-06,0.00349135440156697,4.9912831229382,"KANK1_HUMAN",51,-11.4060272777973,7.21386737086757e-06,0.00291548449793613,-0.434000000000001,"Non-significant",2.53528926344503,"KANK1","KN motif and ankyrin repeat domain-containing protein 1","KANK1_HUMAN",0.434000000000001
0.435394999999996,9.7218175,10.0397178754566,1.44702987227211e-05,0.00505160726545137,3.80566690265258,"DAPK3_HUMAN",20,-11.1686162719224,8.33298770876937e-06,0.00315941485826697,-0.435394999999996,"Non-significant",2.50039334376037,"DAPK3","Death-associated protein kinase 3","DAPK3_HUMAN",0.435394999999996
0.387812500000003,9.63476875,10.5767279713683,1.00712848732746e-05,0.00478859974298109,4.14669242711744,"T2FB_HUMAN",16,-11.0154439843951,9.15907130880384e-06,0.00315941485826697,-0.387812500000003,"Non-significant",2.50039334376037,"GTF2F2","General transcription factor IIF subunit 2","T2FB_HUMAN",0.387812500000003
0.312025,12.1808375,9.47808713071437,2.15378512206225e-05,0.00561582101342878,3.42564272320916,"DBNL_HUMAN",24,-10.9065534245002,9.80275975429888e-06,0.00315941485826697,-0.312025,"Non-significant",2.50039334376037,"DBNL","Drebrin-like protein","DBNL_HUMAN",0.312025
