"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","B1_vs_B2","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names","B2_vs_B1"
-1.4616525,10.03159875,-13.2177933221166,1.76203507401304e-06,0.0144451635367589,1.2714082181316,"NUA4L_HUMAN",5,11.7019776032644,2.5961557523562e-06,0.0212832848578161,1.4616525,"Up in B2",1.67196134228265,"NDUFA4L2","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4-like 2","NUA4L_HUMAN",-1.4616525
-0.352349999999994,16.3508,-8.01805787750523,6.02947718461446e-05,0.164765513198231,0.298542096010169,"ALDOC_HUMAN",31,9.12372672704676,1.67595139237342e-05,0.0686972475733866,0.352349999999994,"Non-significant",1.16306066305161,"ALDOC","Fructose-bisphosphate aldolase C","ALDOC_HUMAN",-0.352349999999994
-0.437175,12.0417375,-9.00842470291409,2.70207198180766e-05,0.110757930534296,0.580657413453495,"ANGL8_HUMAN",8,7.02086377617656,0.000110319714140298,0.27020652016278,0.437175,"Non-significant",0.568304175534004,"ANGPTL8","Angiopoietin-like protein 8","ANGL8_HUMAN",-0.437175
-0.262650000000001,12.5671,-6.05362248925335,0.00038696329769463,0.565283041246776,-0.516691919523225,"PURA1_HUMAN",29,6.84361898334219,0.000131840214765933,0.27020652016278,0.262650000000001,"Non-significant",0.568304175534004,"ADSS1","Adenylosuccinate synthetase isozyme 1","PURA1_HUMAN",-0.262650000000001
-0.236349999999998,11.67945,-5.07285103248667,0.00115650977605356,0.565283041246776,-1.10645104707862,"DPYD_HUMAN",55,6.01255302375344,0.000318903910574685,0.397950085348707,0.236349999999998,"Non-significant",0.400171397818458,"DPYD","Dihydropyrimidine dehydrogenase [NADP(+)]","DPYD_HUMAN",-0.236349999999998
-0.241407500000001,8.75966125,-6.56694912014816,0.000228863223045083,0.469055175630898,-0.26270382357098,"TSYL1_HUMAN",13,5.95845052188702,0.000338756113735998,0.397950085348707,0.241407500000001,"Non-significant",0.400171397818458,"TSPYL1","Testis-specific Y-encoded-like protein 1","TSYL1_HUMAN",-0.241407500000001
0.318565,7.8785925,5.6261317241303,0.00061403837215623,0.565283041246776,-0.755547368910812,"BRD8_HUMAN",22,-5.95571248493669,0.000339796364654909,0.397950085348707,-0.318565,"Non-significant",0.400171397818458,"BRD8","Bromodomain-containing protein 8","BRD8_HUMAN",0.318565
0.428434999999999,6.2797375,5.35757667547593,0.000830629073968632,0.565283041246776,-0.919662374177567,"PHLP1_HUMAN",20,-5.5681113378062,0.000529614726109831,0.406383155770885,-0.428434999999999,"Non-significant",0.391064301480442,"PHLPP1","PH domain leucine-rich repeat-containing protein phosphatase 1","PHLP1_HUMAN",0.428434999999999
-0.176600000000001,11.422025,-4.4414787505585,0.00251030410095584,0.661733839059156,-1.57155778525242,"MX1_HUMAN",43,5.44569938539982,0.000611820297649411,0.406383155770885,0.176600000000001,"Non-significant",0.391064301480442,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN",-0.176600000000001
-0.967765000000002,6.6020225,-5.4266830103506,0.000767793443484204,0.565283041246776,-0.876341537872716,"PTPRC_HUMAN",8,5.44439770852477,0.000612766412631004,0.406383155770885,0.967765000000002,"Non-significant",0.391064301480442,"PTPRC","Receptor-type tyrosine-protein phosphatase C","PTPRC_HUMAN",-0.967765000000002
-0.315749999999994,16.004475,-5.15030158503591,0.00105576413741302,0.565283041246776,-1.05429172644365,"ENOG_HUMAN",20,5.38436882942376,0.000658190301157249,0.406383155770885,0.315749999999994,"Non-significant",0.391064301480442,"ENO2","Gamma-enolase","ENOG_HUMAN",-0.315749999999994
