"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BD_vs_DM","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names","DM_vs_BD"
5.14750833333333,13.7759,175.203779158379,1.27087401057212e-12,1.04186251386703e-08,18.1582728327874,"IFIT1_HUMAN",34,-221.698793834895,4.98960088640003e-14,4.09047480667075e-10,-5.14750833333333,"Up in BD",9.38822627782424,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN",5.14750833333333
6.048225,14.6910285714286,147.90159302077,3.60634619717495e-12,1.3566992713937e-08,17.6883851735088,"MX1_HUMAN",43,-171.501438559336,2.7153287437865e-13,6.31169885695113e-10,-6.048225,"Up in BD",9.19985373031263,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN",6.048225
3.11023333333333,12.5688428571429,115.083875566315,1.68980119199005e-11,1.97899859599063e-08,16.8078960254613,"TSP1_HUMAN",50,-168.826694443185,3.01209893552903e-13,6.31169885695113e-10,-3.11023333333333,"Up in BD",9.19985373031263,"THBS1","Thrombospondin-1","TSP1_HUMAN",3.11023333333333
3.15582499999999,15.1282285714286,117.070629674784,1.52081859434158e-11,1.97899859599063e-08,16.8750894303669,"STAT1_HUMAN",41,-163.962558516189,3.65298610758927e-13,6.31169885695113e-10,-3.15582499999999,"Up in BD",9.19985373031263,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1_HUMAN",3.15582499999999
4.92524166666666,13.9673571428571,140.332690033095,4.98337032501583e-12,1.3566992713937e-08,17.5225582613365,"IFIT3_HUMAN",30,-162.665478903626,3.84953577515926e-13,6.31169885695113e-10,-4.92524166666666,"Up in BD",9.19985373031263,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","IFIT3_HUMAN",4.92524166666666
3.38221666666666,10.8619785714286,106.555831899331,2.71429398473371e-11,2.47242023187188e-08,16.4929161683801,"IFIH1_HUMAN",45,-136.354801190868,1.23310332503552e-12,1.52846576869768e-09,-3.38221666666666,"Up in BD",8.81574428322653,"IFIH1","Interferon-induced helicase C domain-containing protein 1","IFIH1_HUMAN",3.38221666666666
4.93874666666667,12.6926442857143,120.14439963093,1.29655325270824e-11,1.97899859599063e-08,16.9748547092581,"OAS2_HUMAN",31,-135.187007265396,1.30510616990531e-12,1.52846576869768e-09,-4.93874666666667,"Up in BD",8.81574428322653,"OAS2","2'-5'-oligoadenylate synthase 2","OAS2_HUMAN",4.93874666666667
4.87156666666667,15.3602857142857,134.007423572947,6.61965977747595e-12,1.3566992713937e-08,17.3689097211918,"ISG15_HUMAN",15,-128.948933791398,1.7824364071812e-12,1.82655170825894e-09,-4.87156666666667,"Up in BD",8.73836802873886,"ISG15","Ubiquitin-like protein ISG15","ISG15_HUMAN",4.87156666666667
5.313425,13.9895428571429,106.896089565166,2.6615484143866e-11,2.47242023187188e-08,16.5063689742004,"IFIT2_HUMAN",29,-116.418029817892,3.49883623241426e-12,3.18705104814801e-09,-5.313425,"Up in BD",8.49661098021894,"IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","IFIT2_HUMAN",5.313425
2.84311666666666,13.6026714285714,86.8375562718702,9.56332480988574e-11,7.12728516285848e-08,15.5582686122003,"RIGI_HUMAN",56,-112.231254435723,4.4551177740434e-12,3.65230555116078e-09,-2.84311666666666,"Up in BD",8.4374328966273,"RIGI","Antiviral innate immune response receptor RIG-I","RIGI_HUMAN",2.84311666666666
2.22243833333333,10.4316514285714,71.9080478904205,3.05287475497657e-10,1.80514774270645e-07,14.5824261013625,"HELZ2_HUMAN",117,-102.971164165145,7.86253542188578e-12,5.85973321714724e-09,-2.22243833333333,"Up in BD",8.23212215615909,"HELZ2","3'-5' exoribonuclease HELZ2","HELZ2_HUMAN",2.22243833333333
1.85125833333333,12.3610285714286,71.3971338591346,3.18976766853191e-10,1.80514774270645e-07,14.543619260797,"5NT3A_HUMAN",23,-83.1350847555349,3.22469237805672e-11,2.11323486960717e-08,-1.85125833333333,"Up in BD",7.67505223181387,"NT5C3A","Cytosolic 5'-nucleotidase 3A","5NT3A_HUMAN",1.85125833333333
0.923808333333328,13.2083571428571,38.9110471432071,1.32969768605166e-08,1.99983952580068e-06,10.8618615980761,"CO4B_HUMAN",83,-82.6518662578426,3.35106773663006e-11,2.11323486960717e-08,-0.923808333333328,"Up in BD",7.67505223181387,"C4B_2","Complement C4-B","CO4B_HUMAN",0.923808333333328
2.15770833333333,11.8739428571429,70.9937492136753,3.30290511595471e-10,1.80514774270645e-07,14.5126898758076,"TAP1_HUMAN",24,-80.9343479663477,3.84876504515522e-11,2.25372684572732e-08,-2.15770833333333,"Up in BD",7.64709872208851,"TAP1","Antigen peptide transporter 1","TAP1_HUMAN",2.15770833333333
1.8374,12.4790428571429,58.3359088222982,1.10509880070597e-09,3.93895650790762e-07,13.3934852062696,"PML_HUMAN",44,-74.711379015974,6.52265769249872e-11,3.46441750886196e-08,-1.8374,"Up in BD",7.46036977517992,"PML","Protein PML","PML_HUMAN",1.8374
2.19041666666666,12.4639,67.6313108505606,4.45160763238104e-10,2.14672231589763e-07,14.2445111697065,"TAP2_HUMAN",22,-74.3049844565673,6.76148818514166e-11,3.46441750886196e-08,-2.19041666666666,"Up in BD",7.46036977517992,"TAP2","Antigen peptide transporter 2","TAP2_HUMAN",2.19041666666666
2.59424166666667,11.6267571428571,63.9883317395221,6.25774103181472e-10,2.48022055476976e-07,13.9315250313936,"SLFN5_HUMAN",37,-73.4489124492832,7.2983023798375e-11,3.51949899470046e-08,-2.59424166666667,"Up in BD",7.45351915451134,"SLFN5","Schlafen family member 5","SLFN5_HUMAN",2.59424166666667
3.74359999999999,14.8849,65.7647761071011,5.28780211256752e-10,2.28154745888571e-07,14.0872122701966,"OAS3_HUMAN",45,-72.0638882719195,8.27424681302281e-11,3.76845974295339e-08,-3.74359999999999,"Up in BD",7.423836119773,"OAS3","2'-5'-oligoadenylate synthase 3","OAS3_HUMAN",3.74359999999999
3.88507666666666,11.1900171428571,67.7511885352314,4.40337966458585e-10,2.14672231589763e-07,14.2544015802366,"TSP4_HUMAN",21,-71.136833749547,9.01154289575906e-11,3.88824361365436e-08,-3.88507666666666,"Up in BD",7.41024653264717,"THBS4","Thrombospondin-4","TSP4_HUMAN",3.88507666666666
1.26775,14.7851285714286,47.7687600905108,3.77432555391084e-09,8.59497802526695e-07,12.1748141131022,"VIME_HUMAN",46,-69.9364984980962,1.00813874554677e-10,4.1323607179962e-08,-1.26775,"Up in BD",7.38380177548793,"VIM","Vimentin","VIME_HUMAN",1.26775
1.25349166666666,12.0421142857143,47.2634134354334,4.0291673531678e-09,8.69239841086043e-07,12.1081073555558,"UBA7_HUMAN",43,-68.0124990711001,1.21166448910653e-10,4.47866360164826e-08,-1.25349166666666,"Up in BD",7.34885155676372,"UBA7","Ubiquitin-like modifier-activating enzyme 7","UBA7_HUMAN",1.25349166666666
3.97947666666666,10.75466,63.8307882654171,6.3533339412253e-10,2.48022055476976e-07,13.9174256205628,"CMPK2_HUMAN",26,-67.8284623270864,1.2335001270428e-10,4.47866360164826e-08,-3.97947666666666,"Up in BD",7.34885155676372,"CMPK2","UMP-CMP kinase 2, mitochondrial","CMPK2_HUMAN",3.97947666666666
2.35419166666667,11.9044857142857,59.0156899979963,1.02911694850122e-09,3.83486397446047e-07,13.4618740752166,"STAT2_HUMAN",35,-67.6384870879205,1.25651698997207e-10,4.47866360164826e-08,-2.35419166666667,"Up in BD",7.34885155676372,"STAT2","Signal transducer and activator of transcription 2","STAT2_HUMAN",2.35419166666667
1.583735,10.7010314285714,50.6302237577209,2.63994523691181e-09,6.98137775877518e-07,12.5366347081019,"CMTR1_HUMAN",42,-64.615117258637,1.69850948503406e-10,5.59871700413674e-08,-1.583735,"Up in BD",7.25191148404064,"CMTR1","Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1","CMTR1_HUMAN",1.583735
