"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BT_vs_C","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-2.06925,14.8317,-75.9270258836425,9.26803736377279e-12,5.85970339566403e-08,14.8435117019499,"FINC_HUMAN",120,-117.482324754745,8.27937374966645e-14,6.78743059997655e-10,-2.06925,"Up in BT",9.16829459794841,"FN1","Fibronectin","FINC_HUMAN"
-2.26585,13.531675,-71.5041605793297,1.42954461958137e-11,5.85970339566403e-08,14.6977908405382,"FGL1_HUMAN",17,-71.3595975202327,3.8350673494032e-12,1.00340333516286e-08,-2.26585,"Up in BT",7.99852445977586,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN"
-3.3682775,11.27683625,-64.1940658696162,3.11400201094611e-11,8.50952949524541e-08,14.4039938907994,"TSP1_HUMAN",50,-70.43502690522,4.2395885006777e-12,1.00340333516286e-08,-3.3682775,"Up in BT",7.99852445977586,"THBS1","Thrombospondin-1","TSP1_HUMAN"
-1.9066,14.47175,-57.5098050609114,6.8855564246001e-11,1.12895583137743e-07,14.0596134171189,"FIBB_HUMAN",38,-68.1139003214758,5.48555058310454e-12,1.00340333516286e-08,-1.9066,"Up in BT",7.99852445977586,"FGB","Fibrinogen beta chain","FIBB_HUMAN"
-1.977025,15.2810625,-59.1569454246431,5.61625850591783e-11,1.12895583137743e-07,14.1525203275455,"FIBG_HUMAN",29,-67.1514416826225,6.11980565481127e-12,1.00340333516286e-08,-1.977025,"Up in BT",7.99852445977586,"FGG","Fibrinogen gamma chain","FIBG_HUMAN"
-2.087475,14.7836625,-46.6199525412897,3.12930007862539e-10,4.27566700742849e-07,13.2689346742397,"FIBA_HUMAN",43,-52.0277249724469,4.3486472224655e-11,5.94170165496203e-08,-2.087475,"Up in BT",7.2260891588024,"FGA","Fibrinogen alpha chain","FIBA_HUMAN"
1.5964275,10.12183625,32.8146254199661,3.91954882204066e-09,4.59035160615562e-06,11.5543186412002,"PLIN2_HUMAN",25,34.923233799184,9.25129308401534e-10,1.08345858146797e-06,1.5964275,"Up in C",5.96518768626731,"PLIN2","Perilipin-2","PLIN2_HUMAN"
-1.9605275,8.62753625,-30.7339369112597,6.27479243150894e-09,6.43009354418878e-06,11.1841246798886,"PGBM_HUMAN",106,-33.4183795923038,1.29607447108203e-09,1.32815231424131e-06,-1.9605275,"Up in BT",5.87675211665375,"HSPG2","Basement membrane-specific heparan sulfate proteoglycan core protein","PGBM_HUMAN"
0.551550000000002,11.95115,21.2263187909696,8.87275849956757e-08,4.34485876228601e-05,8.85518219905212,"TENS1_HUMAN",76,32.7628371774616,1.50822043513009e-09,1.37382123635517e-06,0.551550000000002,"Up in C",5.86206977463844,"TNS1","Tensin-1","TENS1_HUMAN"
-0.759555000000002,10.0196725,-24.5659714344915,3.12538768566497e-08,2.32926620428013e-05,9.81742372007299,"AGRIN_HUMAN",63,-31.8769804079268,1.86005714869632e-09,1.52487485050124e-06,-0.759555000000002,"Up in BT",5.8167657982628,"AGRN","Agrin","AGRIN_HUMAN"
-0.994800000000001,12.56445,-25.9519545323631,2.11012508934005e-08,1.92208949804553e-05,10.1655126626397,"LG3BP_HUMAN",20,-27.1287126810615,6.37687151638748e-09,4.75250842648587e-06,-0.994800000000001,"Up in BT",5.32307710443136,"LGALS3BP","Galectin-3-binding protein","LG3BP_HUMAN"
-0.755400000000002,14.361425,-25.5568012474724,2.35514828167429e-08,1.93075056131659e-05,10.0690019104809,"VNN1_HUMAN",18,-25.9705821337016,8.89381457633186e-09,6.07595765806405e-06,-0.755400000000002,"Up in BT",5.21638526129595,"VNN1","Pantetheinase","VNN1_HUMAN"
0.691024999999998,11.7758125,22.995474733127,5.01171123537662e-08,2.93471490768696e-05,9.38838674720683,"VTDB_HUMAN",21,24.5996352727732,1.34433599116969e-08,7.97803592302158e-06,0.691024999999998,"Up in C",5.09810401250664,"GC","Vitamin D-binding protein","VTDB_HUMAN"
-0.486724999999996,13.3944375,-16.5548513633884,5.17956652957985e-07,0.000132694020029674,7.12560645611067,"APOB_HUMAN",239,-24.5564583574853,1.36243599563677e-08,7.97803592302158e-06,-0.486724999999996,"Non-significant",5.09810401250664,"APOB","Apolipoprotein B-100","APOB_HUMAN"
-0.723875000000008,16.1821625,-23.1581509594767,4.76560203525673e-08,2.93471490768696e-05,9.43466145566791,"STOM_HUMAN",17,-23.0905553120257,2.17606595872093e-08,1.12159157208802e-05,-0.723875000000008,"Up in BT",4.95016526275957,"STOM","Stomatin","STOM_HUMAN"
-0.708499999999999,11.3064,-21.6909188458586,7.60355251082135e-08,4.15559489891423e-05,9.00073802126133,"IGSF8_HUMAN",21,-23.072553676282,2.18900526389464e-08,1.12159157208802e-05,-0.708499999999999,"Up in BT",4.95016526275957,"IGSF8","Immunoglobulin superfamily member 8","IGSF8_HUMAN"
-0.595900000000002,13.4493,-18.4657970435135,2.38998138957379e-07,7.83722697269037e-05,7.89761011851854,"ITIH2_HUMAN",47,-22.690988925771,2.48477396025658e-08,1.1982457015402e-05,-0.595900000000002,"Up in BT",4.92145412027543,"ITIH2","Inter-alpha-trypsin inhibitor heavy chain H2","ITIH2_HUMAN"
0.662350000000004,16.5072,19.4654641586115,1.64353363222251e-07,6.73684435848008e-05,8.26395346633581,"ALDOC_HUMAN",31,22.2446329661801,2.88953673796988e-08,1.3160234543265e-05,0.662350000000004,"Up in C",4.88073637060519,"ALDOC","Fructose-bisphosphate aldolase C","ALDOC_HUMAN"
0.395724999999999,10.7432875,14.1110774955358,1.5932208073093e-06,0.000278784507283077,5.97306770630582,"SYNE2_HUMAN",160,21.6067284870906,3.60371620092489e-08,1.55490870606222e-05,0.395724999999999,"Non-significant",4.80829510478334,"SYNE2","Nesprin-2","SYNE2_HUMAN"
0.746949999999998,10.442325,21.1807106400824,9.00983153926105e-08,4.34485876228601e-05,8.84067016037264,"T23O_HUMAN",17,21.2712710648174,4.05791474577109e-08,1.61350113617105e-05,0.746949999999998,"Up in C",4.79223072444499,"TDO2","Tryptophan 2,3-dioxygenase","T23O_HUMAN"
0.578399999999998,13.675125,17.7997534688892,3.10111153993587e-07,8.76652151875665e-05,7.63981298340577,"PLOD2_HUMAN",38,21.2198125340392,4.13314514022835e-08,1.61350113617105e-05,0.578399999999998,"Up in C",4.79223072444499,"PLOD2","Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2","PLOD2_HUMAN"
0.471224999999999,10.7067875,16.0242053306821,6.51866569236969e-07,0.000156498411274758,6.89249618706706,"KANK1_HUMAN",51,20.848083373576,4.72578694181768e-08,1.76100006131915e-05,0.471224999999999,"Non-significant",4.75424062891031,"KANK1","KN motif and ankyrin repeat domain-containing protein 1","KANK1_HUMAN"
-0.754900000000005,12.195425,-18.9117035212891,2.01760037132984e-07,7.00147846690745e-05,8.06396466754349,"MA1A1_HUMAN",24,-20.3250004386032,5.72911126061054e-08,1.84361069787495e-05,-0.754900000000005,"Up in BT",4.73433078047018,"MAN1A1","Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA","MA1A1_HUMAN"
0.857474999999997,11.2465875,19.8203223443842,1.44540026326245e-07,6.47766879056035e-05,8.38842253172864,"APOL3_HUMAN",18,20.3068942385492,5.76791194105297e-08,1.84361069787495e-05,0.857474999999997,"Up in C",4.73433078047018,"APOL3","Apolipoprotein L3","APOL3_HUMAN"
-5.1538475,7.54261625,-19.7148779858948,1.50128942450167e-07,6.47766879056035e-05,8.35173050393067,"AMY1B_HUMAN;AMY1C_HUMAN;AMY1A_HUMAN",12,-20.2754804490363,5.83593527250026e-08,1.84361069787495e-05,-5.1538475,"Up in BT",4.73433078047018,"AMY1B;AMY1C;AMY1A","Alpha-amylase 1B;Alpha-amylase 1C;Alpha-amylase 1A","AMY1B_HUMAN;AMY1C_HUMAN;AMY1A_HUMAN"
0.563549999999996,14.6406,17.8811931163889,3.00240381155453e-07,8.76652151875665e-05,7.67195395053602,"SERA_HUMAN",27,20.2704001041798,5.8470209983836e-08,1.84361069787495e-05,0.563549999999996,"Up in C",4.73433078047018,"PHGDH","D-3-phosphoglycerate dehydrogenase","SERA_HUMAN"
0.6541,11.484825,18.1944879337471,2.65456366082865e-07,8.37004341979743e-05,7.79397640473129,"ACO12_HUMAN",27,20.1495455425788,6.11786759300417e-08,1.85756587138697e-05,0.6541,"Up in C",4.73105577672074,"ACOT12","Acetyl-coenzyme A thioesterase","ACO12_HUMAN"
-6.0168175,8.85776625,-18.972653792193,1.97201680924233e-07,7.00147846690745e-05,8.08632922017607,"TSP4_HUMAN",21,-19.5865972309952,7.58108018004683e-08,2.21963197557228e-05,-6.0168175,"Up in BT",4.65371902745376,"THBS4","Thrombospondin-4","TSP4_HUMAN"
-1.0750425,9.55448375,-17.9396714217662,2.93372563000952e-07,8.76652151875665e-05,7.69492474956502,"PTPRF_HUMAN",57,-19.4513209727826,7.9890532727964e-08,2.25842271484086e-05,-1.0750425,"Up in BT",4.64619476677735,"PTPRF","Receptor-type tyrosine-protein phosphatase F","PTPRF_HUMAN"
1.923455,10.4007475,23.346673446909,4.49740374310953e-08,2.93471490768696e-05,9.48774100259838,"NUA4L_HUMAN",5,19.3172956785815,8.4178286792531e-08,2.30031198375056e-05,1.923455,"Up in C",4.63821325805516,"NDUFA4L2","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4-like 2","NUA4L_HUMAN"
-0.447925,13.3208125,-14.1046642715189,1.59830102980052e-06,0.000278784507283077,5.96975748380069,"FAT1_HUMAN",153,-19.1673580295207,8.9285541252354e-08,2.36117053931225e-05,-0.447925,"Non-significant",4.62687264417604,"FAT1","Protocadherin Fat 1","FAT1_HUMAN"
-0.401249999999999,15.20525,-14.1366116893608,1.5731747195017e-06,0.000278784507283077,5.98623107936126,"AMPN_HUMAN",49,-18.6764877280109,1.08617085715309e-07,2.78263396466908e-05,-0.401249999999999,"Non-significant",4.55554391820043,"ANPEP","Aminopeptidase N","AMPN_HUMAN"
-0.360124999999996,10.2081375,-14.3648635313471,1.4061475013824e-06,0.000261990845825749,6.10275743973014,"ITA2_HUMAN",32,-18.4415184186364,1.19510508405437e-07,2.90268661952686e-05,-0.360124999999996,"Non-significant",4.53719984903114,"ITGA2","Integrin alpha-2","ITA2_HUMAN"
0.709699999999998,14.107475,18.9734426812883,1.97143453170324e-07,7.00147846690745e-05,8.08661810763418,"NDRG1_HUMAN",15,18.4237185641771,1.20384660970863e-07,2.90268661952686e-05,0.709699999999998,"Up in C",4.53719984903114,"NDRG1","Protein NDRG1","NDRG1_HUMAN"
0.813320000000004,10.21264,16.7385966069576,4.79097329368674e-07,0.000126698061489174,7.20431277436324,"VLDLR_HUMAN",32,18.1506237143761,1.34741917576654e-07,3.1560406865526e-05,0.813320000000004,"Up in C",4.50085740665673,"VLDLR","Very low-density lipoprotein receptor","VLDLR_HUMAN"
-4.24274,7.676545,-17.3237971164176,3.75728558811018e-07,0.000102674090837757,7.44838950131107,"FMOD_HUMAN",7,-17.577983386378,1.71569010469718e-07,3.9070076328632e-05,-4.24274,"Up in BT",4.40815574032189,"FMOD","Fibromodulin","FMOD_HUMAN"
-0.562624999999997,11.5712625,-14.3845375034042,1.39271859252919e-06,0.000261990845825749,6.11270621689101,"CO5_HUMAN",67,-16.9692296837608,2.23686727732056e-07,4.95617241607405e-05,-0.562624999999997,"Up in BT",4.30485359373119,"C5","Complement C5","CO5_HUMAN"
-0.886075,11.5685625,-16.0907994179647,6.33074180582813e-07,0.000156498411274758,6.92223535691985,"DDB2_HUMAN",18,-16.5316319942687,2.72215518383382e-07,5.8726916308078e-05,-0.886075,"Up in BT",4.23116280292932,"DDB2","DNA damage-binding protein 2","DDB2_HUMAN"
-0.555999999999997,11.225675,-14.9714593366582,1.0518208870844e-06,0.000221098144418407,6.40278303858784,"K1C19_HUMAN",26,-16.4092357937374,2.87838008590913e-07,5.94193715478437e-05,-0.555999999999997,"Up in BT",4.22607194584684,"KRT19","Keratin, type I cytoskeletal 19","K1C19_HUMAN"
0.532525,11.7257375,13.9208148346329,1.75205126690492e-06,0.000293128903797685,5.87415974098745,"DPYD_HUMAN",55,16.3420516066348,2.96841205137022e-07,5.94193715478437e-05,0.532525,"Up in C",4.22607194584684,"DPYD","Dihydropyrimidine dehydrogenase [NADP(+)]","DPYD_HUMAN"
