"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BD_vs_BM1","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-5.9126,14.326825,-221.884055068748,3.90517671468137e-15,3.20146387069578e-11,22.9005069398937,"MX1_HUMAN",43,-272.930000153588,8.31419551524613e-17,6.81597748339878e-13,-5.9126,"Up in BD",12.1664718529321,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
-5.313575,13.6099375,-185.029475006756,1.45309635558518e-14,5.95624196154366e-11,22.3777738211326,"IFIT2_HUMAN",29,-210.430713240595,6.31917460347615e-16,2.59022966996487e-12,-5.313575,"Up in BD",11.5866617262754,"IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","IFIT2_HUMAN"
-4.9099375,12.35428125,-164.592504420575,3.38831551032591e-14,9.25913685121727e-11,21.9732909512757,"OAS2_HUMAN",31,-187.62678403626,1.54576251333231e-15,4.22405369476609e-12,-4.9099375,"Up in BD",11.3742705698321,"OAS2","2'-5'-oligoadenylate synthase 2","OAS2_HUMAN"
-5.2203,13.371825,-154.892693537557,5.25765024571157e-14,1.07755541785859e-10,21.7415283408658,"IFIT1_HUMAN",34,-174.31039592045,2.744526213767e-15,5.62490647511547e-12,-5.2203,"Up in BD",11.2498846941373,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN"
-3.08994999999999,14.93575,-127.054405700786,2.20345890754865e-13,3.01065935401398e-10,20.8804641061187,"STAT1_HUMAN",41,-161.701390594761,4.92899645067729e-15,8.08158258053048e-12,-3.08994999999999,"Up in BD",11.092503584932,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1_HUMAN"
-4.977525,14.9593375,-140.88087834889,1.04384913725152e-13,1.7114950454376e-10,21.3494690965291,"ISG15_HUMAN",15,-137.316707101429,1.76322624807824e-14,2.40915479695757e-11,-4.977525,"Up in BD",10.6181352941052,"ISG15","Ubiquitin-like protein ISG15","ISG15_HUMAN"
-4.91664999999999,13.61985,-116.241998701374,4.19229055445866e-13,4.29604974568151e-10,20.4423480340449,"IFIT3_HUMAN",30,-125.896553843019,3.46994965662722e-14,4.06380675500428e-11,-4.91664999999999,"Up in BD",10.3910669521096,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","IFIT3_HUMAN"
-3.280455,10.6712725,-104.622668907359,8.978222528871e-13,7.36034682916844e-10,19.8841313722713,"IFIH1_HUMAN",45,-122.485691431879,4.29856112168015e-14,4.40495050944173e-11,-3.280455,"Up in BD",10.3560589666156,"IFIH1","Interferon-induced helicase C domain-containing protein 1","IFIH1_HUMAN"
-2.613845,10.7885525,-91.9029079404362,2.29207512827384e-12,1.56586932513241e-09,19.1419850826417,"GBP4_HUMAN",27,-103.39252677676,1.61084859896594e-13,1.41883080846751e-10,-2.613845,"Up in BD",9.84806938983488,"GBP4","Guanylate-binding protein 4","GBP4_HUMAN"
-2.876875,13.3827125,-87.398162885401,3.29626944209485e-12,2.07867822202258e-09,18.8390545411827,"RIGI_HUMAN",56,-102.4449637099,1.7307035965693e-13,1.41883080846751e-10,-2.876875,"Up in BD",9.84806938983488,"RIGI","Antiviral innate immune response receptor RIG-I","RIGI_HUMAN"
