"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BM1_vs_BT","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
4.37643,10.79051,30.6871524125874,5.98102383133742e-09,4.83446156287004e-05,10.5173676755988,"Q6VBP1_HBV",1,30.3315876833744,1.09211150079754e-08,6.45716689755214e-05,4.37643,"Up in BT",4.18995798829616,"S","Large envelope protein","Q6VBP1_HBV"
-0.514149999999999,12.5003,-19.4093314271885,1.60260697369143e-07,0.000154257012443536,8.08609985104559,"LIMC1_HUMAN",62,-28.7158662599785,1.59771542683463e-08,6.45716689755214e-05,-0.514149999999999,"Up in BM1",4.18995798829616,"LIMCH1","LIM and calponin homology domains-containing protein 1","LIMC1_HUMAN"
-0.808920000000001,9.732915,-21.7005899486884,7.21756567330496e-08,0.000124692036811863,8.74377643242053,"FIL1L_HUMAN",39,-25.3310751450969,3.81538424478606e-08,0.000102799169502019,-0.808920000000001,"Up in BM1",3.98801039392194,"FILIP1L","Filamin A-interacting protein 1-like","FIL1L_HUMAN"
-0.9513275,9.79928625,-21.5002034607854,7.7132275647571e-08,0.000124692036811863,8.69053490778795,"PLIN2_HUMAN",25,-23.2819251220746,6.84390320776207e-08,0.000129640859475864,-0.9513275,"Up in BM1",3.88725809840203,"PLIN2","Perilipin-2","PLIN2_HUMAN"
5.0582225,10.46643875,23.0903730253566,4.62588509442813e-08,0.000124636764060875,9.09289847882469,"Q15194_HBV",5,22.7046665357962,8.14222621318153e-08,0.000129640859475864,5.0582225,"Up in BT",3.88725809840203,"PreC-C","Capsid protein","Q15194_HBV"
-0.769695000000004,10.1908275,-19.4862868210939,1.55798195230254e-07,0.000154257012443536,8.11004228997071,"VLDLR_HUMAN",32,-22.1625060950131,9.62322351670402e-08,0.000129640859475864,-0.769695000000004,"Up in BM1",3.88725809840203,"VLDLR","Very low-density lipoprotein receptor","VLDLR_HUMAN"
-0.53145,10.479125,-16.8559773960614,4.37353248064078e-07,0.000265284968131152,7.20608026616395,"TRFM_HUMAN",39,-21.4874679732582,1.19163855462034e-07,0.000137600206242803,-0.53145,"Up in BM1",3.86138091515542,"MELTF","Melanotransferrin","TRFM_HUMAN"
-0.637050000000004,11.9939,-19.0421253074473,1.83655636121814e-07,0.000154257012443536,7.96992491325917,"TENS1_HUMAN",76,-19.8375190537969,2.06793491945838e-07,0.00019526317078325,-0.637050000000004,"Up in BM1",3.7093796626718,"TNS1","Tensin-1","TENS1_HUMAN"
0.399850000000002,13.791975,14.7701259201829,1.11354018453338e-06,0.000391336752677534,6.34145244888586,"ANX13_HUMAN",21,19.6938358418261,2.17415382537331e-07,0.00019526317078325,0.399850000000002,"Non-significant",3.7093796626718,"ANXA13","Annexin A13","ANX13_HUMAN"
0.785349999999999,13.320225,20.1914277610135,1.20868872239603e-07,0.000154257012443536,8.32314056625063,"RL19_HUMAN",8,19.0709067968353,2.71277025377597e-07,0.000219273219612711,0.785349999999999,"Up in BT",3.65901440655608,"RPL19","Large ribosomal subunit protein eL19","RL19_HUMAN"
0.692955,9.659685,16.7391431448652,4.59481572910569e-07,0.000265284968131152,7.16144609840966,"GTPB4_HUMAN",25,18.2234795540669,3.70822803220006e-07,0.000257108071601598,0.692955,"Up in BT",3.58988428898527,"GTPBP4","GTP-binding protein 4","GTPB4_HUMAN"
-0.623550000000003,13.05105,-16.0561876631196,6.1730713769977e-07,0.000289721512476098,6.89195068141265,"BGH3_HUMAN",32,-18.1469491259749,3.81701949674524e-07,0.000257108071601598,-0.623550000000003,"Up in BM1",3.58988428898527,"TGFBI","Transforming growth factor-beta-induced protein ig-h3","BGH3_HUMAN"
0.460600000000003,11.173725,14.2075829823072,1.46373676612197e-06,0.00043323099913665,6.0812154422253,"HP1B3_HUMAN",21,17.8112392126412,4.33930944212632e-07,0.000269804909390054,0.460600000000003,"Non-significant",3.56895015213775,"HP1BP3","Heterochromatin protein 1-binding protein 3","HP1B3_HUMAN"
0.580275,16.2539625,16.2237253194094,5.73547874771266e-07,0.000289721512476098,6.95945006070276,"STOM_HUMAN",17,17.4369436539346,5.02020343482524e-07,0.000289845031169232,0.580275,"Up in BT",3.53783414036577,"STOM","Stomatin","STOM_HUMAN"
0.898000000000003,10.86725,17.2652950879833,3.68840676361192e-07,0.000265284968131152,7.35921046715723,"CNBP_HUMAN",11,17.1594779434435,5.60394637513066e-07,0.000301977990334541,0.898000000000003,"Up in BT",3.52002470944216,"CNBP","CCHC-type zinc finger nucleic acid binding protein","CNBP_HUMAN"
-0.828242500000002,10.35822875,-15.7682481076267,7.01662722285911e-07,0.000289721512476098,6.77375709968684,"TAGL_HUMAN",15,-16.7138852700816,6.71097403256713e-07,0.000315453887719071,-0.828242500000002,"Up in BM1",3.50106411588984,"TAGLN","Transgelin","TAGL_HUMAN"
-0.3032,12.176425,-12.3761360044638,3.8465815674658e-06,0.000840322129995299,5.13897730146088,"DBNL_HUMAN",24,-16.6679511482242,6.83863725497868e-07,0.000315453887719071,-0.3032,"Non-significant",3.50106411588984,"DBNL","Drebrin-like protein","DBNL_HUMAN"
-0.611637499999997,9.92290625,-18.9399131388989,1.90841287199722e-07,0.000154257012443536,7.93700966904633,"LX15B_HUMAN",22,-16.602681072989,7.02482986384173e-07,0.000315453887719071,-0.611637499999997,"Up in BM1",3.50106411588984,"ALOX15B","Polyunsaturated fatty acid lipoxygenase ALOX15B","LX15B_HUMAN"
-0.424399999999999,16.2146,-13.2484165461923,2.39056972345108e-06,0.000585544699231973,5.6070282601848,"ALDOA_HUMAN",29,-16.3740180475747,7.72423116231262e-07,0.000321016729573142,-0.424399999999999,"Non-significant",3.49347233403757,"ALDOA","Fructose-bisphosphate aldolase A","ALDOA_HUMAN"
0.545024999999997,12.4834875,16.1325472777226,5.9690951381937e-07,0.000289721512476098,6.9228297291899,"RIR2B_HUMAN",23,16.3073033090375,7.94300951560417e-07,0.000321016729573142,0.545024999999997,"Up in BT",3.49347233403757,"RRM2B","Ribonucleoside-diphosphate reductase subunit M2 B","RIR2B_HUMAN"
0.723925000000001,14.2459625,15.0334916652226,9.83025278886845e-07,0.000378371110916303,6.45906097839558,"RL13_HUMAN",12,16.0717515939946,8.77393183739124e-07,0.000337712814483969,0.723925000000001,"Up in BT",3.47145245978482,"RPL13","Large ribosomal subunit protein eL13","RL13_HUMAN"
-1.39468,10.13636,-15.9215312839712,6.55234195490917e-07,0.000289721512476098,6.83702464838002,"NUA4L_HUMAN",5,-15.5118347086111,1.11782939570764e-06,0.000357553041535179,-1.39468,"Up in BM1",3.44665952326896,"NDUFA4L2","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4-like 2","NUA4L_HUMAN"
0.333400000000001,15.744825,11.7537960576424,5.50574370042077e-06,0.00108751739909812,4.78123753116589,"CP3A5_HUMAN",25,15.4914311430824,1.12791450452186e-06,0.000357553041535179,0.333400000000001,"Non-significant",3.44665952326896,"CYP3A5","Cytochrome P450 3A5","CP3A5_HUMAN"
-0.303574999999999,12.3701125,-11.7474409551626,5.52643273091877e-06,0.00108751739909812,4.77747524421821,"PSME3_HUMAN",17,-15.47098067935,1.13812693579727e-06,0.000357553041535179,-0.303574999999999,"Non-significant",3.44665952326896,"PSME3","Proteasome activator complex subunit 3","PSME3_HUMAN"
-0.288149999999998,10.6895,-10.6257177539208,1.10476146782772e-05,0.00160344217645739,4.07592493014755,"SYNE2_HUMAN",160,-15.470926756147,1.13815400252614e-06,0.000357553041535179,-0.288149999999998,"Non-significant",3.44665952326896,"SYNE2","Nesprin-2","SYNE2_HUMAN"
