"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","B2_vs_BD","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
4.85115,15.022525,125.54564845464,1.34792076889287e-13,2.13754574190959e-10,21.0139893252733,"ISG15_HUMAN",15,143.703318404548,1.02421665477909e-13,4.86840559577872e-10,4.85115,"Up in BD",9.31261324706671,"ISG15","Ubiquitin-like protein ISG15","ISG15_HUMAN"
5.7728,14.396725,215.876077023878,2.43753751973395e-15,1.97026157720096e-11,22.8009319313783,"MX1_HUMAN",43,140.500749191241,1.20460363621891e-13,4.86840559577872e-10,5.7728,"Up in BD",9.31261324706671,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
5.33595,13.314,189.08265330007,6.5022118003302e-15,2.62786889910345e-11,22.4689081184961,"IFIT1_HUMAN",34,126.76765512979,2.52553531249887e-13,5.38222341753696e-10,5.33595,"Up in BD",9.26903827851772,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN"
2.589125,11.4440125,96.408907513192,9.51556175695153e-13,9.61428571017991e-10,19.7096672125296,"SLFN5_HUMAN",37,125.834414326046,2.66347812323986e-13,5.38222341753696e-10,2.589125,"Up in BD",9.26903827851772,"SLFN5","Schlafen family member 5","SLFN5_HUMAN"
5.42395,13.55475,164.829491222944,1.796510175039e-14,4.84039724828009e-11,22.0566537933239,"IFIT2_HUMAN",29,119.319365554836,3.90494802560857e-13,6.31273897819881e-10,5.42395,"Up in BD",9.19978216769332,"IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","IFIT2_HUMAN"
3.09605,14.9327,122.809636489433,1.58669732171935e-13,2.13754574190959e-10,20.9160760684045,"STAT1_HUMAN",41,113.954392085609,5.43753937453242e-13,7.32527179405759e-10,3.09605,"Up in BD",9.13517625678005,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1_HUMAN"
4.303125,11.4337375,113.258504040512,2.88896451282437e-13,3.33592859387991e-10,20.5389589555312,"ISG20_HUMAN",11,93.9828506046624,2.17546983163108e-12,2.51204609272486e-09,4.303125,"Up in BD",8.59997239613213,"ISG20","Interferon-stimulated gene 20 kDa protein","ISG20_HUMAN"
2.71085,10.74005,77.1903184315342,4.9292344249116e-12,3.32025015471337e-09,18.4055634337886,"GBP4_HUMAN",27,89.8334883466526,3.01051164402355e-12,3.04174570233029e-09,2.71085,"Up in BD",8.5168770968876,"GBP4","Guanylate-binding protein 4","GBP4_HUMAN"
2.9195,13.3614,77.5886506432034,4.74509418189246e-12,3.32025015471337e-09,18.437660435254,"RIGI_HUMAN",56,83.5726493298703,5.0622164902435e-12,4.54643287673758e-09,2.9195,"Up in BD",8.34232921642706,"RIGI","Antiviral innate immune response receptor RIG-I","RIGI_HUMAN"
3.469,11.969475,73.9463670057502,6.77163019861188e-12,4.2103912996446e-09,18.1345903851782,"OAS1_HUMAN",20,78.4302251247716,7.99332496941694e-12,6.46100457277971e-09,3.469,"Up in BD",8.18969995158755,"OAS1","2'-5'-oligoadenylate synthase 1","OAS1_HUMAN"
5.0544,13.550975,146.742064382003,4.24750716706777e-14,8.5831501078522e-11,21.6490736289137,"IFIT3_HUMAN",30,76.596434780608,9.47606106399008e-12,6.96318196183925e-09,5.0544,"Up in BD",8.15719225569471,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","IFIT3_HUMAN"
2.2084,12.29845,61.6280677190024,2.60530450095049e-11,1.31616726757392e-08,16.9252197244743,"TAP2_HUMAN",22,68.9194297022763,2.02519910321486e-11,1.31555494967069e-08,2.2084,"Up in BD",7.88089100706869,"TAP2","Antigen peptide transporter 2","TAP2_HUMAN"
2.85225,13.3054,63.3433681170147,2.12677210542939e-11,1.14604659521238e-08,17.1130995542205,"UB2L6_HUMAN",12,68.5010967767446,2.11582510772226e-11,1.31555494967069e-08,2.85225,"Up in BD",7.88089100706869,"UBE2L6","Ubiquitin/ISG15-conjugating enzyme E2 L6","UB2L6_HUMAN"
3.2926225,10.66518875,77.9612127339661,4.57990415612471e-12,3.32025015471337e-09,18.4674560724632,"IFIH1_HUMAN",45,66.5718767685321,2.59826027233943e-11,1.50012412723711e-08,3.2926225,"Up in BD",7.82387280391513,"IFIH1","Interferon-induced helicase C domain-containing protein 1","IFIH1_HUMAN"
1.75835,12.387325,58.0777111344161,4.03948725640752e-11,1.81395419408566e-08,16.5129334477128,"PML_HUMAN",44,64.8838020349337,3.12518683739528e-11,1.68405901377774e-08,1.75835,"Up in BD",7.77364269376929,"PML","Protein PML","PML_HUMAN"
1.3873,11.042125,46.679953928167,2.02853491886463e-10,6.55865909967313e-08,14.9314021443943,"T23O_HUMAN",17,58.7908216200167,6.34906883782766e-11,3.20747021351006e-08,1.3873,"Up in BD",7.49383736805304,"TDO2","Tryptophan 2,3-dioxygenase","T23O_HUMAN"
2.7953625,11.40309375,55.2351289578477,5.85301365565882e-11,2.48999523045738e-08,16.1580167699548,"PLS1_HUMAN",7,57.9478058381732,7.04348147511153e-11,3.34896828019568e-08,2.7953625,"Up in BD",7.47508896586749,"PLSCR1","Phospholipid scramblase 1","PLS1_HUMAN"
