"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BT_vs_D","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names","D_vs_BT"
-4.6240625,11.82309375,-148.049744095374,8.4197090892088e-14,6.48395092899744e-10,20.4824310232698,"OAS2_HUMAN",31,168.269032806332,5.21173461965517e-15,4.04531673946285e-11,4.6240625,"Up in D",10.3930474684113,"OAS2","2'-5'-oligoadenylate synthase 2","OAS2_HUMAN",-4.6240625
-4.3953,12.714125,-135.622365115613,1.58183726006281e-13,6.48395092899744e-10,20.1997772667058,"IFIT1_HUMAN",34,154.875476251497,9.86903327509843e-15,4.04531673946285e-11,4.3953,"Up in D",10.3930474684113,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN",-4.3953
1.890125,14.8823375,89.9398520066759,3.03300708488428e-12,4.14409868031355e-09,18.4636006402147,"FIBA_HUMAN",43,-135.066510660362,2.82990859755919e-14,7.64224191990252e-11,-1.890125,"Up in BT",10.1167792185691,"FGA","Fibrinogen alpha chain","FIBA_HUMAN",1.890125
-5.828125,13.6011375,-119.646059681016,3.89620191573954e-13,1.06470211017443e-09,19.742557343839,"MX1_HUMAN",43,130.311599156876,3.72883235906442e-14,7.64224191990252e-11,5.828125,"Up in D",10.1167792185691,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN",-5.828125
-3.9905,12.87375,-111.939813308153,6.28885301660066e-13,1.2889004257523e-09,19.4737199015343,"IFIT3_HUMAN",30,123.816704033029,5.52674227827227e-14,9.06164663945521e-11,3.9905,"Up in D",10.0427928772183,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","IFIT3_HUMAN",-3.9905
-2.518875,12.9820875,-92.2995367108422,2.51775381621107e-12,4.12810915705967e-09,18.5930851955994,"RIGI_HUMAN",56,119.420385146476,7.29976205202226e-14,9.97390821707975e-11,2.518875,"Up in D",10.0011346326085,"RIGI","Antiviral innate immune response receptor RIG-I","RIGI_HUMAN",-2.518875
1.78935,14.97165,69.760440603342,1.88343837985647e-11,1.21998988510337e-08,17.062059435965,"FINC_HUMAN",120,-102.077907068581,2.44196852522034e-13,2.85989399567947e-10,-1.78935,"Up in BT",9.5436500640544,"FN1","Fibronectin","FINC_HUMAN",1.78935
-2.679275,14.5752125,-84.1136458121265,4.90865376869563e-12,5.03014294947085e-09,18.1168391175007,"STAT1_HUMAN",41,98.5863635173383,3.19186885729422e-13,3.27086761151225e-10,2.679275,"Up in D",9.48533703360454,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1_HUMAN",-2.679275
-3.455775,14.2492625,-81.4456107925275,6.18851989334482e-12,5.63705400951565e-09,17.9439571130497,"OAS3_HUMAN",45,90.4812659599009,6.17605025394097e-13,5.62569555353423e-10,3.455775,"Up in D",9.24982377430337,"OAS3","2'-5'-oligoadenylate synthase 3","OAS3_HUMAN",-3.455775
-4.17715,14.402225,-86.7980113405391,3.91640318929651e-12,4.58666762083611e-09,18.28161271792,"ISG15_HUMAN",15,86.440074799749,8.77750730811617e-13,7.19580049119363e-10,4.17715,"Up in D",9.14292088629019,"ISG15","Ubiquitin-like protein ISG15","ISG15_HUMAN",-4.17715
