"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BM1_vs_C","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-3.3625525,11.27397375,-69.1853619079266,1.85517614820154e-11,1.52087340629562e-07,13.5276157373146,"TSP1_HUMAN",50,-75.845939274523,2.39959202878598e-12,1.96718554519874e-08,-3.3625525,"Up in BM1",7.70615467543622,"THBS1","Thrombospondin-1","TSP1_HUMAN"
-1.885325,14.7397375,-48.8931505333039,2.26467430822224e-10,6.18859999293531e-07,12.6592430175445,"FINC_HUMAN",120,-57.3615266969038,2.05464854459137e-11,8.42200438428003e-08,-1.885325,"Up in BM1",7.0745845368331,"FN1","Fibronectin","FINC_HUMAN"
-2.03465,13.416075,-52.3204873110244,1.39014872684326e-10,5.6982196313305e-07,12.8621068030506,"FGL1_HUMAN",17,-53.2267113640526,3.65051164951168e-11,9.97563150089891e-08,-2.03465,"Up in BM1",7.00105960203974,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN"
-1.804875,15.1949875,-40.5726415728295,8.67232853768408e-10,1.77739373379835e-06,12.0084656874499,"FIBG_HUMAN",29,-43.8318509917892,1.62122109095517e-10,3.32269262591261e-07,-1.804875,"Up in BM1",6.4785098323729,"FGG","Fibrinogen gamma chain","FIBG_HUMAN"
-2.05735,14.7686,-33.9811425196937,3.10131930123838e-09,5.08492312631045e-06,11.2608376682833,"FIBA_HUMAN",43,-36.3285233215496,6.83896123685438e-10,9.63463984409419e-07,-2.05735,"Up in BM1",6.01616451522191,"FGA","Fibrinogen alpha chain","FIBA_HUMAN"
-1.78489,8.5397175,-33.0099413989781,3.81915549540197e-09,5.21823945855089e-06,11.1266343387633,"PGBM_HUMAN",106,-36.1836921672643,7.05145633868812e-10,9.63463984409419e-07,-1.78489,"Up in BM1",6.01616451522191,"HSPG2","Basement membrane-specific heparan sulfate proteoglycan core protein","PGBM_HUMAN"
-1.91842500000001,14.4776625,-29.3897140362579,8.78765072119569e-09,1.02915943731946e-05,10.5564764384734,"FIBB_HUMAN",38,-31.1867642712975,2.1989956066793e-09,2.31481975043066e-06,-1.91842500000001,"Up in BM1",5.63548282081926,"FGB","Fibrinogen beta chain","FIBB_HUMAN"
-0.634825000000003,14.1170375,-23.9876905765149,3.75876318438345e-08,3.4238156206195e-05,9.44264673580018,"VIME_HUMAN",46,-31.077301511405,2.25891168619728e-09,2.31481975043066e-06,-0.634825000000003,"Up in BM1",5.63548282081926,"VIM","Vimentin","VIME_HUMAN"
-0.937075000000002,12.5355875,-28.0156428752518,1.23843640310015e-08,1.26908770407687e-05,10.3067922610578,"LG3BP_HUMAN",20,-29.5187795725426,3.34710826839584e-09,3.0488437315899e-06,-0.937075000000002,"Up in BM1",5.51586483481711,"LGALS3BP","Galectin-3-binding protein","LG3BP_HUMAN"
-0.77838,10.029085,-20.5773616666609,1.12141911608564e-07,9.1933939136701e-05,8.51545767901299,"AGRIN_HUMAN",63,-23.8143724956655,1.72081546313847e-08,1.41072451668091e-05,-0.77838,"Up in BM1",4.85055778607994,"AGRN","Agrin","AGRIN_HUMAN"
-0.483949999999997,11.531925,-17.6423800634643,3.34164240433756e-07,0.000136973922153796,7.52434603995206,"CO5_HUMAN",67,-23.4269922534396,1.94943395645395e-08,1.4528599613645e-05,-0.483949999999997,"Non-significant",4.83777624457165,"C5","Complement C5","CO5_HUMAN"
0.321300000000001,16.443825,13.3312966036869,2.3936064162179e-06,0.000613212043754824,5.60816139812053,"FAS_HUMAN",149,21.520312765487,3.71497656192735e-08,2.26337469747491e-05,0.321300000000001,"Non-significant",4.64524354344905,"FASN","Fatty acid synthase","FAS_HUMAN"
-0.586862500000002,10.05691875,-18.7944343701581,2.13476098856909e-07,0.000109379816151809,7.9382459901575,"CDHR2_HUMAN",30,-21.4798586513592,3.76838889213599e-08,2.26337469747491e-05,-0.586862500000002,"Up in BM1",4.64524354344905,"CDHR2","Cadherin-related family member 2","CDHR2_HUMAN"
-0.778224999999999,11.3367875,-19.7285104862843,1.51295079095119e-07,9.8828667349573e-05,8.2496175168357,"K1C19_HUMAN",26,-21.3649996708757,3.92482175260674e-08,2.26337469747491e-05,-0.778224999999999,"Up in BM1",4.64524354344905,"KRT19","Keratin, type I cytoskeletal 19","K1C19_HUMAN"
-1.045135,9.53953,-19.285829006047,1.77752422581148e-07,9.8828667349573e-05,8.10461273978336,"PTPRF_HUMAN",57,-20.9441132397806,4.56399419368677e-08,2.26337469747491e-05,-1.045135,"Up in BM1",4.64524354344905,"PTPRF","Receptor-type tyrosine-protein phosphatase F","PTPRF_HUMAN"
-0.564674999999999,11.0881875,-17.6545969127641,3.32531574538093e-07,0.000136973922153796,7.52892033383337,"MX1_HUMAN",43,-20.915403241926,4.61170111698978e-08,2.26337469747491e-05,-0.564674999999999,"Up in BM1",4.64524354344905,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
-0.364349999999998,13.279025,-14.0842365025191,1.63095427030245e-06,0.000514252427228442,5.99233958443404,"FAT1_HUMAN",153,-20.8629157564706,4.70037991737987e-08,2.26337469747491e-05,-0.364349999999998,"Non-significant",4.64524354344905,"FAT1","Protocadherin Fat 1","FAT1_HUMAN"
