"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BD_vs_DM","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-3.11023333333333,12.5688428571429,-115.456156639064,1.5607150715592e-11,1.80217998905901e-08,16.8885900403267,"TSP1_HUMAN",50,-170.894687720187,2.70830896917094e-12,1.46637192724515e-08,-3.11023333333333,"Up in BD",7.83375586225699,"THBS1","Thrombospondin-1","TSP1_HUMAN"
-4.87156666666667,15.3602857142857,-134.33172461094,6.12841848265325e-12,1.23840016488216e-08,17.4500863152938,"ISG15_HUMAN",15,-162.763620508547,3.62828634726005e-12,1.46637192724515e-08,-4.87156666666667,"Up in BD",7.83375586225699,"ISG15","Ubiquitin-like protein ISG15","ISG15_HUMAN"
-4.93874666666667,12.6926442857143,-120.408833390729,1.20424984798993e-11,1.80217998905901e-08,17.0525462380035,"OAS2_HUMAN",31,-134.441428794894,1.14215929012895e-11,3.07735784737077e-08,-4.93874666666667,"Up in BD",7.51182199933193,"OAS2","2'-5'-oligoadenylate synthase 2","OAS2_HUMAN"
-1.85125833333333,12.3610285714286,-71.6393458872006,2.96787109376297e-10,1.66167553586883e-07,14.6143854896555,"5NT3A_HUMAN",23,-109.333005978881,3.94660772613971e-11,5.53589900417361e-08,-1.85125833333333,"Up in BD",7.25681184166008,"NT5C3A","Cytosolic 5'-nucleotidase 3A","5NT3A_HUMAN"
-6.048225,14.6910285714286,-148.228334519977,3.33731015478566e-12,1.23840016488216e-08,17.7712031819661,"MX1_HUMAN",43,-109.032725694413,4.01224389233804e-11,5.53589900417361e-08,-6.048225,"Up in BD",7.25681184166008,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
-5.14750833333333,13.7759,-175.72140009375,1.16722522504823e-12,9.43468149406487e-09,18.2467086849131,"IFIT1_HUMAN",34,-108.599089610748,4.10929036558724e-11,5.53589900417361e-08,-5.14750833333333,"Up in BD",7.25681184166008,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN"
-3.15582499999999,15.1282285714286,-117.450435394474,1.40414070800488e-11,1.80217998905901e-08,16.9561967747718,"STAT1_HUMAN",41,-103.768219876541,5.39861688203194e-11,6.2338600367806e-08,-3.15582499999999,"Up in BD",7.2052429527708,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1_HUMAN"
-2.84311666666666,13.6026714285714,-87.0680436743475,8.9080614638056e-11,6.54580552835825e-08,15.629756765397,"RIGI_HUMAN",56,-98.7293007236527,7.27655611446479e-11,7.35205038415237e-08,-2.84311666666666,"Up in BD",7.13359152535911,"RIGI","Antiviral innate immune response receptor RIG-I","RIGI_HUMAN"
-5.313425,13.9895428571429,-107.104819152975,2.48090577905717e-11,2.2615091686996e-08,16.5799992502805,"IFIT2_HUMAN",29,-85.1200310126489,1.77079974554331e-10,1.59037492702517e-07,-5.313425,"Up in BD",6.7985004797403,"IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","IFIT2_HUMAN"
-2.19041666666666,12.4639,-67.81265940469,4.16401889149221e-10,1.97986851176068e-07,14.3101138252622,"TAP2_HUMAN",22,-80.9720482936076,2.38918742498222e-10,1.70660293597797e-07,-2.19041666666666,"Up in BD",6.76786751155822,"TAP2","Antigen peptide transporter 2","TAP2_HUMAN"
-5.46039166666666,8.67270714285714,-79.3369325228354,1.58117375133565e-10,1.06505228600384e-07,15.159144397464,"Q6VBP1_HBV",1,-80.4447919420956,2.48461823434402e-10,1.70660293597797e-07,-5.46039166666666,"Up in BD",6.76786751155822,"S","Large envelope protein","Q6VBP1_HBV"
-2.84580833333333,13.3305428571429,-96.4189294034028,4.74633720105789e-11,3.83646435961509e-08,16.1154183694049,"HLAB_HUMAN",2,-80.1831661667357,2.53361811601332e-10,1.70660293597797e-07,-2.84580833333333,"Up in BD",6.76786751155822,"HLA-B","HLA class I histocompatibility antigen, B alpha chain","HLAB_HUMAN"
-3.38221666666666,10.8619785714286,-106.847112245588,2.51807280938963e-11,2.2615091686996e-08,16.5697726143058,"IFIH1_HUMAN",45,-76.6358476910815,3.32313430716163e-10,2.06622266190673e-07,-3.38221666666666,"Up in BD",6.68482287951201,"IFIH1","Interferon-induced helicase C domain-containing protein 1","IFIH1_HUMAN"
-2.77818166666666,11.6101257142857,-66.7894711902372,4.57340988511041e-10,2.05371511674153e-07,14.2245372711894,"PLS1_HUMAN",7,-73.6466128790163,4.21819504716835e-10,2.43540504044727e-07,-2.77818166666666,"Up in BD",6.61342879945856,"PLSCR1","Phospholipid scramblase 1","PLS1_HUMAN"
-2.59424166666667,11.6267571428571,-64.1305777195107,5.87567625731042e-10,2.30281768416616e-07,13.9932074550493,"SLFN5_HUMAN",37,-71.5841830689936,5.00111971964109e-10,2.69493671292393e-07,-2.59424166666667,"Up in BD",6.56945142919733,"SLFN5","Schlafen family member 5","SLFN5_HUMAN"
-3.74359999999999,14.8849,-65.8848031953781,4.97475577376123e-10,2.11636583785853e-07,14.1473069249872,"OAS3_HUMAN",45,-69.1463433292706,6.15543445119352e-10,3.10964854181233e-07,-3.74359999999999,"Up in BD",6.50728869295928,"OAS3","2'-5'-oligoadenylate synthase 3","OAS3_HUMAN"
-4.92524166666666,13.9673571428571,-140.682580702153,4.60776587432662e-12,1.23840016488216e-08,17.6050589172667,"IFIT3_HUMAN",30,-65.9331550865418,8.18668753193572e-10,3.77262753406446e-07,-4.92524166666666,"Up in BD",6.42335606993428,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","IFIT3_HUMAN"
-1.8374,12.4790428571429,-58.4965752256984,1.03591227814458e-09,3.6405560627142e-07,13.4560988548435,"PML_HUMAN",44,-65.649130821318,8.40124899333915e-10,3.77262753406446e-07,-1.8374,"Up in BD",6.42335606993428,"PML","Protein PML","PML_HUMAN"
-2.35419166666667,11.9044857142857,-59.1484520974467,9.67490214022381e-10,3.55464699997405e-07,13.52177282426,"STAT2_HUMAN",35,-64.4959099747136,9.3425946559313e-10,3.97453645283646e-07,-2.35419166666667,"Up in BD",6.40071351548913,"STAT2","Signal transducer and activator of transcription 2","STAT2_HUMAN"
-2.87649166666666,13.4987428571429,-57.0014725407776,1.21520949804769e-09,3.9290153490878e-07,13.3017123408642,"UB2L6_HUMAN",12,-61.153007992228,1.28519548985521e-09,5.01476380777291e-07,-2.87649166666666,"Up in BD",6.29974951715932,"UBE2L6","Ubiquitin/ISG15-conjugating enzyme E2 L6","UB2L6_HUMAN"
1.09015333333333,10.3415885714286,39.2003265103048,1.21982598596098e-08,1.98010342495547e-06,10.9462579596833,"SYNE2_HUMAN",160,61.0138504195623,1.30285834421911e-09,5.01476380777291e-07,1.09015333333333,"Up in DM",6.29974951715932,"SYNE2","Nesprin-2","SYNE2_HUMAN"
-3.370515,8.51469857142857,-57.0143036170254,1.21352436350664e-09,3.9290153490878e-07,13.3030601077823,"XAF1_HUMAN",16,-58.1040410040513,1.74598874900685e-09,6.1806504928088e-07,-3.370515,"Up in BD",6.20896581446289,"XAF1","XIAP-associated factor 1","XAF1_HUMAN"
-2.11166666666666,12.7352,-50.3996337394543,2.59518488148876e-09,6.76673528937861e-07,12.5507502820337,"ANXA1_HUMAN",23,-57.369381746122,1.88428381398212e-09,6.1806504928088e-07,-2.11166666666666,"Up in BD",6.20896581446289,"ANXA1","Annexin A1","ANXA1_HUMAN"
-3.605685,12.1586814285714,-55.6523506838863,1.4085873960436e-09,4.37908150854632e-07,13.1577269404594,"OAS1_HUMAN",20,-57.2786324537493,1.90223826422006e-09,6.1806504928088e-07,-3.605685,"Up in BD",6.20896581446289,"OAS1","2'-5'-oligoadenylate synthase 1","OAS1_HUMAN"
1.17308333333334,14.7271,39.6318561398188,1.14034578846871e-08,1.92029479337346e-06,11.01778899695,"ACOHC_HUMAN",48,57.1122623729774,1.93567494748112e-09,6.1806504928088e-07,1.17308333333334,"Up in DM",6.20896581446289,"ACO1","Cytoplasmic aconitate hydratase","ACOHC_HUMAN"
-0.845849999999997,11.8071428571429,-32.517904395604,3.84964982789737e-08,4.44524565127064e-06,9.70768107449934,"DSRAD_HUMAN",59,-56.858118469617,1.98808502799739e-09,6.1806504928088e-07,-0.845849999999997,"Up in BD",6.20896581446289,"ADAR","Double-stranded RNA-specific adenosine deaminase","DSRAD_HUMAN"
-3.88507666666666,11.1900171428571,-67.8744369788702,4.14069585898452e-10,1.97986851176068e-07,14.3152216750074,"TSP4_HUMAN",21,-56.45583588873,2.07446733962416e-09,6.21034055784522e-07,-3.88507666666666,"Up in BD",6.206884583666,"THBS4","Thrombospondin-4","TSP4_HUMAN"
-2.45189166666666,12.2367142857143,-47.5562298944979,3.7116373595474e-09,8.25341512767382e-07,12.1876782694949,"SAMH1_HUMAN",38,-51.9440544458354,3.41630280642398e-09,9.7867503084299e-07,-2.45189166666666,"Up in BD",6.00936149179297,"SAMHD1","Deoxynucleoside triphosphate triphosphohydrolase SAMHD1","SAMH1_HUMAN"
-2.11068,10.7841228571429,-48.0160935953502,3.4979712724093e-09,8.1717973440147e-07,12.2482023013592,"SYUG_HUMAN",9,-51.7067655328114,3.51126758560519e-09,9.7867503084299e-07,-2.11068,"Up in BD",6.00936149179297,"SNCG","Gamma-synuclein","SYUG_HUMAN"
1.16043333333334,13.8404285714286,38.0781677117325,1.45852241176708e-08,2.22438427439874e-06,10.7558901023696,"CP2A6_HUMAN",38,50.9560548236698,3.83263631168071e-09,1.03103597633043e-06,1.16043333333334,"Up in DM",5.98672618044957,"CYP2A6","Cytochrome P450 2A6","CP2A6_HUMAN"
-0.918524999999995,11.1581714285714,-33.6779930600046,3.10362098080971e-08,3.79107145449211e-06,9.94224590763025,"PAR14_HUMAN",91,-50.6909364722174,3.95423917682091e-09,1.03103597633043e-06,-0.918524999999995,"Up in BD",5.98672618044957,"PARP14","Protein mono-ADP-ribosyltransferase PARP14","PAR14_HUMAN"
-1.01960833333333,11.2988,-36.0905630609113,2.02829560272913e-08,2.87626550120343e-06,10.4023279444312,"T23O_HUMAN",17,-50.1751538646491,4.20395114770252e-09,1.06189178521498e-06,-1.01960833333333,"Up in BD",5.97391973888411,"TDO2","Tryptophan 2,3-dioxygenase","T23O_HUMAN"
