"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","B1_vs_B2","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
1.4616525,10.03159875,13.2463726396272,1.6516121167721e-06,0.0133499807398689,0.67251497072353,"NUA4L_HUMAN",5,12.9256440358895,2.70677131128919e-06,0.0218788325091505,1.4616525,"Up in B2",1.65997585639535,"NDUFA4L2","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4-like 2","NUA4L_HUMAN"
0.437175,12.0417375,9.00502123386087,2.61676886318781e-05,0.105756713605736,0.102416450489068,"ANGL8_HUMAN",8,11.1025656997586,7.82617688598893e-06,0.0316294938847243,0.437175,"Non-significant",1.49990775733594,"ANGPTL8","Angiopoietin-like protein 8","ANGL8_HUMAN"
0.352349999999994,16.3508,8.00951720385016,5.8901791105006e-05,0.158701059167255,-0.135355946047033,"ALDOC_HUMAN",31,8.7450953794842,4.00503616622677e-05,0.104493796667484,0.352349999999994,"Non-significant",0.980909490921797,"ALDOC","Fructose-bisphosphate aldolase C","ALDOC_HUMAN"
0.241407500000001,8.75966125,6.54923493736237,0.000227383472257734,0.459485151564817,-0.617278337877493,"TSYL1_HUMAN",13,8.26324640423099,5.85519003636378e-05,0.104493796667484,0.241407500000001,"Non-significant",0.980909490921797,"TSPYL1","Testis-specific Y-encoded-like protein 1","TSYL1_HUMAN"
0.262650000000001,12.5671,6.04657740526304,0.000381480046350698,0.616700642930539,-0.83240030333501,"PURA1_HUMAN",29,8.14147605895555,6.46380036295215e-05,0.104493796667484,0.262650000000001,"Non-significant",0.980909490921797,"ADSS1","Adenylosuccinate synthetase isozyme 1","PURA1_HUMAN"
0.304325000000004,14.6848125,5.70705069609098,0.000550515033047556,0.693284122956256,-0.995506749006816,"HIG1A_HUMAN",4,6.44125511533471,0.000296104747592668,0.39890244579859,0.304325000000004,"Non-significant",0.399133300883505,"HIGD1A","HIG1 domain family member 1A, mitochondrial","HIG1A_HUMAN"
0.315749999999994,16.004475,5.15439324228225,0.00103275331393787,0.712357454865653,-1.2959246511633,"ENOG_HUMAN",20,5.57826496328756,0.000721735170100019,0.622363027741779,0.315749999999994,"Non-significant",0.205956215061841,"ENO2","Gamma-enolase","ENOG_HUMAN"
0.333412499999998,9.08407875,4.94648798314951,0.00132277954854552,0.727298500674166,-1.42124603041197,"TMM9B_HUMAN",8,5.33123562721654,0.000947558238509504,0.622363027741779,0.333412499999998,"Non-significant",0.205956215061841,"TMEM9B","Transmembrane protein 9B","TMM9B_HUMAN"
-0.329375000000002,13.6379875,-5.06659275623655,0.00114569428594006,0.712357454865653,-1.34798556551281,"KPB1_HUMAN",20,-5.32366541398389,0.000955618734290345,0.622363027741779,-0.329375000000002,"Non-significant",0.205956215061841,"PHKA1","Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform","KPB1_HUMAN"
-0.963792500000001,6.02022875,-5.41591438182054,0.00076293038673967,0.712357454865653,-1.14806716952709,"TM10A_HUMAN",7,-5.30497239951898,0.000975849592889243,0.622363027741779,-0.963792500000001,"Non-significant",0.205956215061841,"TRMT10A","tRNA methyltransferase 10 homolog A","TM10A_HUMAN"
-0.169875000000003,11.7215125,-4.11806132075986,0.00377413671596451,0.73089404312717,-1.99562278893448,"K1C19_HUMAN",26,-5.21427581175423,0.00108098199095007,0.622363027741779,-0.169875000000003,"Non-significant",0.205956215061841,"KRT19","Keratin, type I cytoskeletal 19","K1C19_HUMAN"
-0.279902499999999,9.60746625,-4.84285017652842,0.00149991028483914,0.727298500674166,-1.48640567035276,"FLVC2_HUMAN",4,-5.15016526074712,0.00116284792834595,0.622363027741779,-0.279902499999999,"Non-significant",0.205956215061841,"FLVCR2","Choline/ethanolamine transporter FLVCR2","FLVC2_HUMAN"
0.256175000000001,11.2398125,4.59990128277769,0.00202605342569757,0.727298500674166,-1.64644505897204,"EHD2_HUMAN",32,5.13652273605331,0.00118113961941768,0.622363027741779,0.256175000000001,"Non-significant",0.205956215061841,"EHD2","EH domain-containing protein 2","EHD2_HUMAN"
-0.857032500000002,7.43800375,-5.14332421949994,0.00104629244481693,0.712357454865653,-1.30241947347451,"MRC1_HUMAN",20,-5.10563958897909,0.00122373359776142,0.622363027741779,-0.857032500000002,"Non-significant",0.205956215061841,"MRC1","Macrophage mannose receptor 1","MRC1_HUMAN"
-0.232399999999997,12.549625,-4.42526466119621,0.00252836750268204,0.729885518720676,-1.76801115506023,"RUXE_HUMAN",4,-5.07385074570629,0.00126935696337397,0.622363027741779,-0.232399999999997,"Non-significant",0.205956215061841,"SNRPE","Small nuclear ribonucleoprotein E","RUXE_HUMAN"
-0.389324999999999,8.4633775,-4.76068882259797,0.00165886147609846,0.727298500674166,-1.53937020603211,"NXT2_HUMAN",4,-4.95070194842493,0.00146469503852941,0.622363027741779,-0.389324999999999,"Non-significant",0.205956215061841,"NXT2","NTF2-related export protein 2","NXT2_HUMAN"
0.156675,13.6207125,3.83176744280589,0.00555181982697702,0.775755941084945,-2.22399404893607,"BUP1_HUMAN",23,4.94369748261873,0.00147676306087546,0.622363027741779,0.156675,"Non-significant",0.205956215061841,"UPB1","Beta-ureidopropionase","BUP1_HUMAN"
0.286349999999999,12.160325,4.6394740346312,0.00192808204141266,0.727298500674166,-1.6196659725387,"RPE_HUMAN",11,4.94104465465734,0.00148136223107448,0.622363027741779,0.286349999999999,"Non-significant",0.205956215061841,"RPE","Ribulose-phosphate 3-epimerase","RPE_HUMAN"
-0.131175000000004,13.1253625,-3.44918432744905,0.00947307243656304,0.775755941084945,-2.55391390624101,"CAPR1_HUMAN",21,-4.91473277801496,0.00152784407946503,0.622363027741779,-0.131175000000004,"Non-significant",0.205956215061841,"CAPRIN1","Caprin-1","CAPR1_HUMAN"
-0.199400000000001,10.679425,-4.58301233493921,0.00206951200241319,0.727298500674166,-1.65795950370923,"LYRM1_HUMAN",9,-4.88001437275547,0.0015916556077379,0.622363027741779,-0.199400000000001,"Non-significant",0.205956215061841,"LYRM1","LYR motif-containing protein 1","LYRM1_HUMAN"
-0.125500000000002,17.811925,-3.35502517831382,0.0108381716199965,0.775755941084945,-2.63938068548304,"TBB4B_HUMAN",33,-4.81460256146703,0.00172001477137164,0.622363027741779,-0.125500000000002,"Non-significant",0.205956215061841,"TUBB4B","Tubulin beta-4B chain","TBB4B_HUMAN"
0.42182,10.184565,4.68804860329216,0.00181484617045688,0.727298500674166,-1.58717728359925,"HMGA1_HUMAN",4,4.76337751118736,0.00182850519642536,0.622363027741779,0.42182,"Non-significant",0.205956215061841,"HMGA1","High mobility group protein HMG-I/HMG-Y","HMGA1_HUMAN"
-0.095799999999997,17.4781,-2.74840281729471,0.026468934355091,0.833847941553097,-3.22667571660092,"HS90B_HUMAN",53,-4.76150529526625,0.00183261060291257,0.622363027741779,-0.095799999999997,"Non-significant",0.205956215061841,"HSP90AB1","Heat shock protein HSP 90-beta","HS90B_HUMAN"
0.432192500000003,9.67650125,4.59164575113719,0.00204717058205914,0.727298500674166,-1.65206704894158,"MOT4_HUMAN",7,4.69158669769272,0.00199343563672985,0.622363027741779,0.432192500000003,"Non-significant",0.205956215061841,"SLC16A3","Monocarboxylate transporter 4","MOT4_HUMAN"
