"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","B1_vs_BDM","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names","BDM_vs_B1"
-1.54775,12.892775,-28.6757132730246,5.5689431700768e-09,4.50137676437308e-05,11.0580878579956,"ANXA1_HUMAN",23,32.7179625133593,3.45958747626582e-09,2.79638455706566e-05,1.54775,"Up in BDM",4.55340310491225,"ANXA1","Annexin A1","ANXA1_HUMAN",-1.54775
-0.852124999999997,12.2325125,-22.0776720710473,3.92588172357846e-08,7.57914626089793e-05,9.47847231297838,"K1C19_HUMAN",26,28.8963846925215,8.51346496214165e-09,3.16848181811811e-05,0.852124999999997,"Up in BDM",4.49914878066865,"KRT19","Keratin, type I cytoskeletal 19","K1C19_HUMAN",-0.852124999999997
0.676950000000001,14.75045,18.0666466588911,1.7389887454285e-07,8.26838001723446e-05,8.13545726259674,"ACOHC_HUMAN",48,-27.0833638756999,1.36094060021111e-08,3.16848181811811e-05,-0.676950000000001,"Up in B1",4.49914878066865,"ACO1","Cytoplasmic aconitate hydratase","ACOHC_HUMAN",0.676950000000001
-0.961950000000002,12.142525,-21.0487162962605,5.59985188123014e-08,7.57914626089793e-05,9.1677546865258,"PEG10_HUMAN",23,25.7422605352986,1.96497712465707e-08,3.16848181811811e-05,0.961950000000002,"Up in BDM",4.49914878066865,"PEG10","Retrotransposon-derived protein PEG10","PEG10_HUMAN",-0.961950000000002
0.734075000000001,13.1753375,19.0955994932286,1.15392164940101e-07,7.57914626089793e-05,8.51587150914443,"BUP1_HUMAN",23,-25.4388641738613,2.14079472913781e-08,3.16848181811811e-05,-0.734075000000001,"Up in B1",4.49914878066865,"UPB1","Beta-ureidopropionase","BUP1_HUMAN",0.734075000000001
-1.301075,10.8475125,-24.0346660805414,2.0844091148929e-08,7.57914626089793e-05,10.0154793403512,"ANGL3_HUMAN",22,25.1098509073721,2.35195978086214e-08,3.16848181811811e-05,1.301075,"Up in BDM",4.49914878066865,"ANGPTL3","Angiopoietin-related protein 3","ANGL3_HUMAN",-1.301075
0.77065,12.05045,17.7642811745889,1.9701247349128e-07,8.38132538542112e-05,8.01828993252345,"PURA1_HUMAN",29,-23.6477259105946,3.62715720809572e-08,4.18833024471967e-05,-0.77065,"Up in B1",4.37795908205411,"ADSS1","Adenylosuccinate synthetase isozyme 1","PURA1_HUMAN",0.77065
0.783775000000006,16.0454375,18.5921719990802,1.40649751222899e-07,7.57914626089793e-05,8.33319028940654,"AK1C4_HUMAN",23,-22.8050620436675,4.71225624662554e-08,4.76114590518428e-05,-0.783775000000006,"Up in B1",4.3222885093792,"AKR1C4","Aldo-keto reductase family 1 member C4","AK1C4_HUMAN",0.783775000000006
-1.8217075,8.39176125,-21.4128960195501,4.92907295653796e-08,7.57914626089793e-05,9.28013348326071,"KCRB_HUMAN",12,21.8323099822707,6.45128222156425e-08,5.21962926886116e-05,1.8217075,"Up in BDM",4.28236034224785,"CKB","Creatine kinase B-type","KCRB_HUMAN",-1.8217075
0.654450000000001,13.9315,16.3867351879614,3.5738762399203e-07,9.93963947682668e-05,7.4506259687089,"PGDH_HUMAN",12,-21.8293711614166,6.45753961259577e-08,5.21962926886116e-05,-0.654450000000001,"Up in B1",4.28236034224785,"HPGD","15-hydroxyprostaglandin dehydrogenase [NAD(+)]","PGDH_HUMAN",0.654450000000001
