"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","B2_vs_DM","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names","DM_vs_B2"
7.14796666666667,9.63703571428571,121.959925532624,7.59034546254208e-12,6.22256521019199e-08,10.8077413693959,"Q6VBP1_HBV",1,-47.5707085331423,7.77085623206158e-10,6.37054793904409e-06,-7.14796666666667,"Up in B2",5.19582321182963,"S","Large envelope protein","Q6VBP1_HBV",7.14796666666667
1.84070833333333,13.7031,33.6565769477746,2.4488780919681e-08,8.84098452176915e-05,8.90387982787403,"FGL1_HUMAN",17,-34.3791581354668,7.01437333128424e-09,2.87519162849341e-05,-1.84070833333333,"Up in B2",4.54133320473997,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN",1.84070833333333
2.47890833333333,8.79572571428571,32.1907705663089,3.23529562884941e-08,8.84098452176915e-05,8.75817258408765,"AMY1B_HUMAN;AMY1C_HUMAN;AMY1A_HUMAN",12,-31.5819592601355,1.24516360868026e-08,2.8825310620474e-05,-2.47890833333333,"Up in B2",4.54022600406688,"AMY1B;AMY1C;AMY1A","Alpha-amylase 1B;Alpha-amylase 1C;Alpha-amylase 1A","AMY1B_HUMAN;AMY1C_HUMAN;AMY1A_HUMAN",2.47890833333333
2.73180166666667,10.5310028571429,29.6719517298006,5.38354041777739e-08,0.000110335660862348,8.47339087887054,"TSP4_HUMAN",21,-31.0178628782958,1.40645575118195e-08,2.8825310620474e-05,-2.73180166666667,"Up in B2",4.54022600406688,"THBS4","Thrombospondin-4","TSP4_HUMAN",2.73180166666667
2.07990833333333,11.9800857142857,26.8353641818026,1.00807032275039e-07,0.000165283210118154,8.0898926910865,"TSP1_HUMAN",50,-29.0319476755109,2.19902228886283e-08,3.6055169448195e-05,-2.07990833333333,"Up in B2",4.44303245904792,"THBS1","Thrombospondin-1","TSP1_HUMAN",2.07990833333333
0.619724999999999,10.7637285714286,19.4500894551085,7.46180813214797e-07,0.000764648788341863,6.63399630816234,"LAMC1_HUMAN",52,-27.4521660877232,3.20794349690467e-08,4.38312013127074e-05,-0.619724999999999,"Up in B2",4.35821662616716,"LAMC1","Laminin subunit gamma-1","LAMC1_HUMAN",0.619724999999999
7.67456666666667,9.5053,23.6101553999592,2.2388376755197e-07,0.000305899854398509,7.55067765164997,"Q15194_HBV",5,-23.9515801792991,8.04282428207987e-08,9.41929620921296e-05,-7.67456666666667,"Up in B2",4.02598154560137,"PreC-C","Capsid protein","Q15194_HBV",7.67456666666667
0.475458333333323,15.8007571428571,15.5107634573328,3.01653756662129e-06,0.00206079791426344,5.43286495774854,"APOE_HUMAN",29,-19.2057099196817,3.5405102283319e-07,0.000362813785648312,-0.475458333333323,"Non-significant",3.44031621963497,"APOE","Apolipoprotein E","APOE_HUMAN",0.475458333333323
0.752050000000001,12.6894428571429,17.8078583711945,1.28790016698322e-06,0.00105582055689284,6.18085853607969,"LG3BP_HUMAN",20,-18.7796700408003,4.11364793391227e-07,0.000374707619580142,-0.752050000000001,"Up in B2",3.42630747555321,"LGALS3BP","Galectin-3-binding protein","LG3BP_HUMAN",0.752050000000001
0.343308333333331,13.3770428571429,10.7892570800181,2.74320997254182e-05,0.00642538152997081,3.30412256639154,"FAT1_HUMAN",153,-17.5921241532014,6.36339127786718e-07,0.000521670816959551,-0.343308333333331,"Non-significant",3.28260345767657,"FAT1","Protocadherin Fat 1","FAT1_HUMAN",0.343308333333331
3.60002833333333,6.94443571428571,18.0235949605763,1.19553773642531e-06,0.00105582055689284,6.2439227355737,"COL10_HUMAN",4,-17.2039938906696,7.38396937994561e-07,0.000550307099789038,-3.60002833333333,"Up in B2",3.25939488410087,"COLEC10","Collectin-10","COL10_HUMAN",3.60002833333333
-0.529933333333334,11.5950142857143,-14.0039461857013,5.64399161113497e-06,0.0027217319545932,4.85361113097146,"EHD2_HUMAN",32,16.5165887491915,9.68755269373919e-07,0.000661821308193949,0.529933333333334,"Up in DM",3.17925925427789,"EHD2","EH domain-containing protein 2","EHD2_HUMAN",-0.529933333333334
1.43277666666667,5.75122285714286,20.6087799699448,5.21215622012248e-07,0.000610417952750916,6.91956191101989,"DHX40_HUMAN",6,-15.864532431506,1.26618716850137e-06,0.000761940829396389,-1.43277666666667,"Up in B2",3.11807875367932,"DHX40","Probable ATP-dependent RNA helicase DHX40","DHX40_HUMAN",1.43277666666667
0.572351666666668,10.2465314285714,13.0314614677067,8.75608407012476e-06,0.00299093238362012,4.43480816833759,"AGRIN_HUMAN",63,-15.7590881973043,1.32351700302141e-06,0.000761940829396389,-0.572351666666668,"Up in B2",3.11807875367932,"AGRN","Agrin","AGRIN_HUMAN",0.572351666666668
0.946766666666665,12.1399428571429,14.6306227774039,4.31722337719289e-06,0.00244553930369747,5.10413780405702,"APOA5_HUMAN",23,-15.4921537550705,1.48240939235286e-06,0.000761940829396389,-0.946766666666665,"Up in B2",3.11807875367932,"APOA5","Apolipoprotein A-V","APOA5_HUMAN",0.946766666666665
1.61196416666666,7.10891571428571,15.5393976434305,2.98253921596751e-06,0.00206079791426344,5.4431330243696,"ALS_HUMAN",10,-15.2742214659976,1.62843362468559e-06,0.000761940829396389,-1.61196416666666,"Up in B2",3.11807875367932,"IGFALS","Insulin-like growth factor-binding protein complex acid labile subunit","ALS_HUMAN",1.61196416666666
0.309441666666668,14.6964571428571,10.573789337272,3.09598159395838e-05,0.00647818444859725,3.18128937418131,"THRB_HUMAN",42,-15.2330362704477,1.65784138669356e-06,0.000761940829396389,-0.309441666666668,"Non-significant",3.11807875367932,"F2","Prothrombin","THRB_HUMAN",0.309441666666668
0.646441666666666,11.3595285714286,13.8591970751537,6.01406785460556e-06,0.00273907379289202,4.79366316208264,"K1C19_HUMAN",26,-15.2121851607315,1.67296107942608e-06,0.000761940829396389,-0.646441666666666,"Up in B2",3.11807875367932,"KRT19","Keratin, type I cytoskeletal 19","K1C19_HUMAN",0.646441666666666
2.83241,6.58899,14.2574955957161,5.05726750069315e-06,0.00259121743566765,4.95670734932096,"LAMB1_HUMAN",30,-14.8839748231517,1.93301024268813e-06,0.00083404305102933,-2.83241,"Up in B2",3.07881153168609,"LAMB1","Laminin subunit beta-1","LAMB1_HUMAN",2.83241
0.638598333333334,9.60936,13.2760184079254,7.8183995012088e-06,0.00290287114342047,4.54376529445333,"PERM_HUMAN",27,-14.592772571528,2.20300002184666e-06,0.000903009708954947,-0.638598333333334,"Up in B2",3.04430758022593,"MPO","Myeloperoxidase","PERM_HUMAN",0.638598333333334
