"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BT_vs_DM","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names","DM_vs_BT"
7.42624166666667,9.79605,143.870628511905,3.72196019794971e-12,3.00846042800275e-08,12.9158838218906,"Q6VBP1_HBV",1,-151.576648335113,5.56176068423168e-12,4.49557116106447e-08,-7.42624166666667,"Up in BT",7.34721512343233,"S","Large envelope protein","Q6VBP1_HBV",7.42624166666667
1.75066666666667,15.0771142857143,57.2184464396529,1.12231361043487e-09,2.81602264404324e-06,11.5589332803974,"FIBA_HUMAN",43,-101.290661005267,6.24052084142945e-11,2.52210649806371e-07,-1.75066666666667,"Up in BT",6.59823657892674,"FGA","Fibrinogen alpha chain","FIBA_HUMAN",1.75066666666667
2.16940833333333,12.0312285714286,58.0549536734689,1.02593872660084e-09,2.81602264404324e-06,11.5974986246088,"TSP1_HUMAN",50,-71.8294345456059,4.89963911777183e-10,1.32012609963166e-06,-2.16940833333333,"Up in BT",5.87938458261343,"THBS1","Thrombospondin-1","TSP1_HUMAN",2.16940833333333
1.64375833333333,15.1618571428571,50.9218407259979,2.30812473650257e-09,3.73131444903006e-06,11.2232108479041,"FINC_HUMAN",120,-43.0610819597773,1.04981087866833e-08,1.7448930850926e-05,-1.64375833333333,"Up in BT",4.75823117843364,"FN1","Fibronectin","FINC_HUMAN",1.64375833333333
1.77730833333333,15.5078714285714,55.250741110776,1.39355320749387e-09,2.81602264404324e-06,11.4630404468456,"FIBG_HUMAN",29,-42.8617627555788,1.07935982004986e-08,1.7448930850926e-05,-1.77730833333333,"Up in BT",4.75823117843364,"FGG","Fibrinogen gamma chain","FIBG_HUMAN",1.77730833333333
1.47478333333333,14.793,37.0635936273975,1.64279166956493e-08,1.71427998973555e-05,10.066396381208,"FIBB_HUMAN",38,-41.1587530292722,1.37562391370841e-08,1.85319468241752e-05,-1.47478333333333,"Up in BT",4.73207895463769,"FGB","Fibrinogen beta chain","FIBB_HUMAN",1.47478333333333
2.01333333333333,13.8017428571429,48.9624522287879,2.94184735989432e-09,3.96315870167096e-06,11.0996254655813,"FGL1_HUMAN",17,-35.4671897905348,3.34902240389751e-08,3.86716401295765e-05,-2.01333333333333,"Up in BT",4.4126074083738,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN",2.01333333333333
2.89620166666666,10.6249457142857,36.8702787426184,1.69667696621111e-08,1.71427998973555e-05,10.0443926122211,"TSP4_HUMAN",21,-32.6918186009753,5.44862153003205e-08,5.50515097840613e-05,-2.89620166666666,"Up in BT",4.25923076603109,"THBS4","Thrombospondin-4","TSP4_HUMAN",2.89620166666666
-0.632575000000005,12.5143285714286,-20.3305450867628,6.59635651208689e-07,0.000296213053817769,7.00484838289927,"LIMC1_HUMAN",62,31.4207155714193,6.90397791074647e-08,6.20053927250708e-05,0.632575000000005,"Up in DM",4.2075705374551,"LIMCH1","LIM and calponin homology domains-containing protein 1","LIMC1_HUMAN",-0.632575000000005
0.612083333333326,15.8788285714286,19.9977419957814,7.29682524728404e-07,0.000310422307756826,6.90826044939773,"APOE_HUMAN",29,-27.9583433764553,1.38521460554958e-07,0.000101700501464758,-0.612083333333326,"Up in BT",3.99267690565306,"APOE","Apolipoprotein E","APOE_HUMAN",0.612083333333326
-1.05472,10.2580028571429,-23.7287323890657,2.55872975547331e-07,0.00017235177177909,7.88286023019713,"VLDLR_HUMAN",32,27.8182196031122,1.42732200941353e-07,0.000101700501464758,1.05472,"Up in DM",3.99267690565306,"VLDLR","Very low-density lipoprotein receptor","VLDLR_HUMAN",-1.05472
-0.812525000000003,12.0236,-26.6382656413786,1.2572878300394e-07,0.000101626575302084,8.50396792270461,"TENS1_HUMAN",76,27.5570796135361,1.50984290186452e-07,0.000101700501464758,0.812525000000003,"Up in DM",3.99267690565306,"TNS1","Tensin-1","TENS1_HUMAN",-0.812525000000003
-0.687033333333336,16.2968428571429,-19.7974083893059,7.75999233446826e-07,0.00031076702510666,6.84909751383851,"ALDOA_HUMAN",29,26.4287634722559,1.93682592273695e-07,0.000120302699957973,0.687033333333336,"Up in DM",3.91972462566355,"ALDOA","Fructose-bisphosphate aldolase A","ALDOA_HUMAN",-0.687033333333336
