"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","C_vs_CM","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names","CM_vs_C"
1.2735825,10.31088375,16.4037336387913,4.82854387588043e-07,0.00390291201487415,4.34876341903246,"K1C19_HUMAN",26,-16.7453556252352,5.74198091600899e-07,0.00464124317441007,-1.2735825,"Up in C",2.33336567645541,"KRT19","Keratin, type I cytoskeletal 19","K1C19_HUMAN",1.2735825
0.47495,11.530625,11.4782245078702,6.0413097625674e-06,0.0162773022702774,3.26430061376945,"FLNC_HUMAN",102,-13.0618059347648,3.18740066311225e-06,0.00958555719180653,-0.47495,"Non-significant",2.01838263726754,"FLNC","Filamin-C","FLNC_HUMAN",0.47495
0.515749999999999,12.580725,11.512875006028,5.91549147757057e-06,0.0162773022702774,3.27525938245082,"K2C7_HUMAN",37,-12.853715380981,3.55767308863288e-06,0.00958555719180653,-0.515749999999999,"Up in C",2.01838263726754,"KRT7","Keratin, type II cytoskeletal 7","K2C7_HUMAN",0.515749999999999
-0.178900000000002,11.52005,-6.20623427237962,0.000368751485964006,0.186288641315441,0.508267562675416,"C1R_HUMAN",30,8.21150272298725,7.13032209722897e-05,0.100743577363435,0.178900000000002,"Non-significant",0.996782631584175,"C1R","Complement C1r subcomponent","C1R_HUMAN",-0.178900000000002
2.473405,6.8699325,8.05253815941237,6.81781743509853e-05,0.137771045819753,1.78136537046112,"TESK1_HUMAN",4,-7.94784838876844,8.80907436698927e-05,0.100743577363435,-2.473405,"Non-significant",0.996782631584175,"TESK1","Dual specificity testis-specific protein kinase 1","TESK1_HUMAN",2.473405
0.255624999999998,10.3195875,6.4697271062651,0.000283613350487779,0.186288641315441,0.717640906687731,"ANXA3_HUMAN",21,-7.88871558462086,9.24417272518301e-05,0.100743577363435,-0.255624999999998,"Non-significant",0.996782631584175,"ANXA3","Annexin A3","ANXA3_HUMAN",0.255624999999998
-0.262899999999998,12.857875,-7.02060795771686,0.000167913511534551,0.186288641315441,1.12368344667615,"CO4B_HUMAN",83,7.79659007240715,9.97115252764229e-05,0.100743577363435,0.262899999999998,"Non-significant",0.996782631584175,"C4B_2","Complement C4-B","CO4B_HUMAN",-0.262899999999998
0.226950000000002,12.3217,6.20674061419947,0.000368562685283855,0.186288641315441,0.508679774071989,"LIMC1_HUMAN",62,-7.74902284579588,0.000103715859713909,0.100743577363435,-0.226950000000002,"Non-significant",0.996782631584175,"LIMCH1","LIM and calponin homology domains-containing protein 1","LIMC1_HUMAN",0.226950000000002
-0.322547500000002,6.93542875,-6.8696796500413,0.000193227216582319,0.186288641315441,1.01653201775189,"POMT1_HUMAN",9,7.53950602107699,0.000123649545515373,0.100743577363435,0.322547500000002,"Non-significant",0.996782631584175,"POMT1","Protein O-mannosyl-transferase 1","POMT1_HUMAN",-0.322547500000002
-0.21505,12.947925,-5.86959087155176,0.000521853218149117,0.20086378868092,0.225506000984593,"PURA1_HUMAN",29,7.53014129555741,0.000124636369372059,0.100743577363435,0.21505,"Non-significant",0.996782631584175,"ADSS1","Adenylosuccinate synthetase isozyme 1","PURA1_HUMAN",-0.21505
