"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","B1_vs_BM2","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names","BM2_vs_B1"
4.43437,10.46944,24.4683910224804,2.17749708216489e-08,0.000129933484980573,6.92783511604793,"Q15194_HBV",5,-23.6168519947573,1.30286524164022e-08,0.000106808892509666,-4.43437,"Up in B1",3.97139258806489,"PreC-C","Capsid protein","Q15194_HBV",4.43437
3.795965,10.5670925,23.2517347547236,3.169882531851e-08,0.000129933484980573,6.80691815950067,"Q6VBP1_HBV",1,-18.6829381387347,8.0557856151798e-08,0.00033020665236622,-3.795965,"Up in B1",3.48121418165821,"S","Large envelope protein","Q6VBP1_HBV",3.795965
-1.7144775,10.15801125,-13.7699146276411,1.44507153166025e-06,0.00394889880551692,5.02483089730603,"NUA4L_HUMAN",5,12.4697195937786,1.78368987895457e-06,0.00464108560155858,1.7144775,"Up in BM2",2.33338042125094,"NDUFA4L2","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4-like 2","NUA4L_HUMAN",-1.7144775
-0.455549999999999,16.4024,-10.5722369624904,9.48725339153126e-06,0.0155553006607547,3.75440606534822,"ALDOC_HUMAN",31,12.081482268611,2.2644965121047e-06,0.00464108560155858,0.455549999999999,"Non-significant",2.33338042125094,"ALDOC","Fructose-bisphosphate aldolase C","ALDOC_HUMAN",-0.455549999999999
-0.708775000000003,10.7444375,-9.9191562415335,1.48306982068268e-05,0.0186136105626802,3.4170242647629,"RCN2_HUMAN",17,10.198125227352,8.03074607013371e-06,0.012362266291783,0.708775000000003,"Up in BM2",1.90790190563933,"RCN2","Reticulocalbin-2","RCN2_HUMAN",-0.708775000000003
-0.294399999999996,12.229675,-7.61248764695374,9.07668493154284e-05,0.0465066644179927,1.92724875451063,"TENS1_HUMAN",76,10.0349030524114,9.0477674738592e-06,0.012362266291783,0.294399999999996,"Non-significant",1.90790190563933,"TNS1","Tensin-1","TENS1_HUMAN",-0.294399999999996
4.3864125,8.25650125,9.82121581062306,1.58935440276606e-05,0.0186136105626802,3.36361196504214,"ST2B1_HUMAN",1,-9.7060757849646,1.15645665505739e-05,0.0135437595116578,-4.3864125,"Up in B1",1.86826076633498,"SULT2B1","Sulfotransferase 2B1","ST2B1_HUMAN",4.3864125
0.507550000000004,11.552675,8.81665073708809,3.35342738875842e-05,0.0314786932437174,2.76888011905616,"K1C19_HUMAN",26,-9.47500192038318,1.38009836945502e-05,0.0141425580409903,-0.507550000000004,"Up in B1",1.84947203024143,"KRT19","Keratin, type I cytoskeletal 19","K1C19_HUMAN",0.507550000000004
-0.315150000000003,15.933,-7.73410513759961,8.16232418777184e-05,0.0465066644179927,2.01941521117059,"TKFC_HUMAN",40,9.28453854375701,1.60107257305641e-05,0.0145839921710183,0.315150000000003,"Non-significant",1.83612357749107,"TKFC","Triokinase/FMN cyclase","TKFC_HUMAN",-0.315150000000003
-0.350774999999997,11.7366625,-7.66478186514215,8.67016211134487e-05,0.0465066644179927,1.9670896577008,"DPYD_HUMAN",55,9.1102793110205,1.83830424413687e-05,0.0150704181934341,0.350774999999997,"Non-significant",1.82187469615379,"DPYD","Dihydropyrimidine dehydrogenase [NADP(+)]","DPYD_HUMAN",-0.350774999999997
2.6416075,7.27687125,8.76326005214273,3.49615735080968e-05,0.0314786932437174,2.73471681591109,"HMCN1_HUMAN",9,-8.96000661999603,2.07466417273969e-05,0.0154461836492283,-2.6416075,"Up in B1",1.81117880587132,"HMCN1","Hemicentin-1","HMCN1_HUMAN",2.6416075
-0.551850000000002,10.675825,-8.06808412637985,6.13933645297804e-05,0.0419419002012616,2.2638870155506,"AKA12_HUMAN",66,8.85444133344509,2.2609685751493e-05,0.0154461836492283,0.551850000000002,"Up in BM2",1.81117880587132,"AKAP12","A-kinase anchor protein 12","AKA12_HUMAN",-0.551850000000002
-1.428,7.3286325,-11.7169315722381,4.58649053072809e-06,0.00940001234272721,4.2748464803845,"TBA3C_HUMAN;TBA3D_HUMAN",1,8.22316185228789,3.85191514786281e-05,0.0242907695247533,1.428,"Up in BM2",1.61455872664978,"TUBA3C;TUBA3D","Tubulin alpha-3C chain;Tubulin alpha-3D chain","TBA3C_HUMAN;TBA3D_HUMAN",-1.428
-0.306000000000003,9.63364,-7.12804397791796,0.000140479993173292,0.0639808324463693,1.54256431276433,"MAGD2_HUMAN",27,7.99483625764807,4.70924933531457e-05,0.027576018607792,0.306000000000003,"Non-significant",1.55946843654605,"MAGED2","Melanoma-associated antigen D2","MAGD2_HUMAN",-0.306000000000003
