"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","B1_vs_C","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names","C_vs_B1"
3.4175275,11.30146125,30.9351753295755,3.67073662058167e-09,1.48352820520808e-05,10.0518722701646,"TSP1_HUMAN",50,-31.4834198680631,4.57298674466075e-09,3.69634518570929e-05,-3.4175275,"Up in B1",4.43222747867251,"THBS1","Thrombospondin-1","TSP1_HUMAN",3.4175275
0.858775000000001,11.3770625,21.9694230752531,4.61887469272181e-08,0.000124447880470901,8.62155603578535,"K1C19_HUMAN",26,-28.553377944169,9.2825630007283e-09,3.75154783674434e-05,-0.858775000000001,"Up in B1",4.42578951140184,"KRT19","Keratin, type I cytoskeletal 19","K1C19_HUMAN",0.858775000000001
1.91345,13.355475,33.8688882941664,1.87306905407323e-09,1.48352820520808e-05,10.351724955162,"FGL1_HUMAN",17,-26.8777766086349,1.43807883976822e-08,3.87466375394883e-05,-1.91345,"Up in B1",4.41176597990366,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN",1.91345
0.896800000000002,12.51545,19.7174455905163,1.02378656218757e-07,0.000206881669554054,8.0737821652512,"LG3BP_HUMAN",20,-25.0644836330142,2.38289236693978e-08,4.81522975049356e-05,-0.896800000000002,"Up in B1",4.31738298642291,"LGALS3BP","Galectin-3-binding protein","LG3BP_HUMAN",0.896800000000002
-0.613050000000001,11.3688,-15.6083645507734,5.65559911144802e-07,0.000507935640198159,6.75223918947449,"APOL3_HUMAN",18,18.2034798553989,2.38022383007441e-07,0.000344930563941762,0.613050000000001,"Up in C",3.46226832154114,"APOL3","Apolipoprotein L3","APOL3_HUMAN",-0.613050000000001
-2.0617025,10.33162375,-18.4271229250536,1.68232919345684e-07,0.000271965337414233,7.70942461952501,"NUA4L_HUMAN",5,17.9296762231858,2.65294118850581e-07,0.000344930563941762,2.0617025,"Up in C",3.46226832154114,"NDUFA4L2","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4-like 2","NUA4L_HUMAN",-2.0617025
0.796600000000003,10.56435,15.3295075524898,6.44767349693281e-07,0.000521165448757079,6.6433794420206,"LAMC1_HUMAN",52,-17.1310938110151,3.67434767705237e-07,0.000344930563941762,-0.796600000000003,"Up in B1",3.46226832154114,"LAMC1","Laminin subunit gamma-1","LAMC1_HUMAN",0.796600000000003
5.7306175,8.71466625,17.4121287027545,2.54712967571013e-07,0.000343140819479416,7.3924517578328,"TSP4_HUMAN",21,-17.0709385463142,3.76781790473861e-07,0.000344930563941762,-5.7306175,"Up in B1",3.46226832154114,"THBS4","Thrombospondin-4","TSP4_HUMAN",5.7306175
-0.66375,16.5065,-15.7055652894435,5.4058326650516e-07,0.000507935640198159,6.78952009021826,"ALDOC_HUMAN",31,16.9308821193434,3.99607312458258e-07,0.000344930563941762,0.66375,"Up in C",3.46226832154114,"ALDOC","Fructose-bisphosphate aldolase C","ALDOC_HUMAN",-0.66375
4.0838175,7.59708375,16.8849530823698,3.18875970953553e-07,0.000368210639031081,7.21611991986862,"FMOD_HUMAN",7,-16.7757724965158,4.26735820786542e-07,0.000344930563941762,-4.0838175,"Up in B1",3.46226832154114,"FMOD","Fibromodulin","FMOD_HUMAN",4.0838175
