"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BM2_vs_C","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names","C_vs_BM2"
1.9387,14.766425,78.0587218348677,8.32497825053634e-12,6.82481716978969e-08,14.0209245043938,"FINC_HUMAN",120,-117.883976631467,1.12334897014019e-13,9.20921485720927e-10,-1.9387,"Up in BM2",9.03577739452808,"FN1","Fibronectin","FINC_HUMAN",1.9387
1.838875,14.4378875,69.8763611971058,1.84554855033625e-11,7.56490350782829e-08,13.8090662512559,"FIBB_HUMAN",38,-88.4180204405425,9.98234990279804e-13,4.09176522515692e-09,-1.838875,"Up in BM2",8.38808929293249,"FGB","Fibrinogen beta chain","FIBB_HUMAN",1.838875
3.2014525,11.19342375,63.7451497182621,3.57093821308313e-11,9.75818382361849e-08,13.6048125269984,"TSP1_HUMAN",50,-69.3488809076559,6.31167968069055e-12,1.72477166741004e-08,-3.2014525,"Up in BM2",7.76326839053124,"THBS1","Thrombospondin-1","TSP1_HUMAN",3.2014525
1.77212499999999,15.1786125,57.9177616796002,7.1112228583066e-11,1.45744512480994e-07,13.361374156238,"FIBG_HUMAN",29,-66.4119787001764,8.76518671649994e-12,1.79642501754666e-08,-1.77212499999999,"Up in BM2",7.74559090545367,"FGG","Fibrinogen gamma chain","FIBG_HUMAN",1.77212499999999
2.169575,13.4835375,51.276678407918,1.70540002904964e-10,2.7961738876298e-07,13.0041528013328,"FGL1_HUMAN",17,-52.4215760137905,5.27253622781964e-11,8.64485039913308e-08,-2.169575,"Up in BM2",7.06324251787799,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN",2.169575
2.044875,14.7623625,45.7636153257691,3.85853502265712e-10,5.27204501929052e-07,12.6190993872716,"FIBA_HUMAN",43,-50.3310190348216,7.17792468385298e-11,9.80743775970445e-08,-2.044875,"Up in BM2",7.00844443932411,"FGA","Fibrinogen alpha chain","FIBA_HUMAN",2.044875
1.99229,8.6434175,29.4377691276996,9.09672404995546e-09,1.0653563394505e-05,10.6395007847864,"PGBM_HUMAN",106,-31.3879447573785,2.55634660913683e-09,2.99384707167196e-06,-1.99229,"Up in BM2",5.52377038756854,"HSPG2","Basement membrane-specific heparan sulfate proteoglycan core protein","PGBM_HUMAN",1.99229
0.849879999999999,10.064835,25.6489820826578,2.43179106027e-08,2.44679989902352e-05,9.87255768023761,"AGRIN_HUMAN",63,-30.8076859252261,2.942918899632e-09,3.0157561423979e-06,-0.849879999999999,"Up in BM2",5.52060377894705,"AGRN","Agrin","AGRIN_HUMAN",0.849879999999999
0.788425,10.5602625,23.115698624451,5.09939406703981e-08,4.18048325615924e-05,9.25370475239368,"LAMC1_HUMAN",52,-27.2019768439506,7.52154543210536e-09,6.85129216137775e-06,-0.788425,"Up in BM2",5.16422751235673,"LAMC1","Laminin subunit gamma-1","LAMC1_HUMAN",0.788425
0.878399999999999,12.50625,25.2934483221873,2.68616724703729e-08,2.44679989902352e-05,9.79138700829196,"LG3BP_HUMAN",20,-26.7164993586966,8.61380073382136e-09,7.06159384158675e-06,-0.878399999999999,"Up in BM2",5.1510972651686,"LGALS3BP","Galectin-3-binding protein","LG3BP_HUMAN",0.878399999999999
