"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","CM_vs_DM","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names","DM_vs_CM"
-1.14009666666667,10.1400828571429,-33.8684591489801,2.39992023289473e-08,9.83727303463549e-05,8.3445813083841,"TSP1_HUMAN",50,49.4205260462724,7.71613744795808e-10,6.32568947983603e-06,1.14009666666667,"Up in DM",5.19889213086855,"THBS1","Thrombospondin-1","TSP1_HUMAN",-1.14009666666667
-0.817183333333338,11.6433714285714,-20.0275839143856,6.31545395260443e-07,0.00103707784754256,6.51455737829587,"FLNC_HUMAN",102,27.1077955867078,4.23338026445747e-08,0.000173526257040112,0.817183333333338,"Up in DM",3.76063480084517,"FLNC","Filamin-C","FLNC_HUMAN",-0.817183333333338
-0.667575000000005,12.4943285714286,-17.4171927411002,1.49688937966188e-06,0.00175307130492402,5.87270958524995,"LIMC1_HUMAN",62,23.6188906642916,1.05655763858577e-07,0.00024899508987236,0.667575000000005,"Up in DM",3.60380921701015,"LIMCH1","LIM and calponin homology domains-containing protein 1","LIMC1_HUMAN",-0.667575000000005
2.332745,7.08240714285714,42.0481871618716,6.204727746395e-09,5.08663580649462e-05,8.83010645254343,"C1QB_HUMAN",4,-23.1264589296656,1.21490651316106e-07,0.00024899508987236,-2.332745,"Up in CM",3.60380921701015,"C1QB","Complement C1q subcomponent subunit B","C1QB_HUMAN",2.332745
1.01251666666667,12.1775142857143,20.347349981167,5.7252850838027e-07,0.00103707784754256,6.58351067348519,"APOA5_HUMAN",23,-21.9823119241712,1.70012803842492e-07,0.00027875299318015,-1.01251666666667,"Up in CM",3.55478046057287,"APOA5","Apolipoprotein A-V","APOA5_HUMAN",1.01251666666667
-0.709983333333332,12.6271285714286,-16.377945910022,2.18641984155578e-06,0.00224053373263428,5.5717429448225,"K2C7_HUMAN",37,19.5155148210714,3.7333703405892e-07,0.000510102834202505,0.709983333333332,"Up in DM",3.29234226346139,"KRT7","Keratin, type II cytoskeletal 7","K2C7_HUMAN",-0.709983333333332
0.308858333333328,12.8569571428571,9.77179576528238,5.00053846523301e-05,0.00854050298707921,2.72263371851638,"CO4B_HUMAN",83,-17.5360760958023,7.55091295081738e-07,0.000883242048071312,-0.308858333333328,"Non-significant",3.05392026387817,"C4B_2","Complement C4-B","CO4B_HUMAN",0.308858333333328
-0.386716666666668,14.0015857142857,-10.8179660912765,2.7254752482405e-05,0.00785211099137613,3.31710792639626,"FINC_HUMAN",120,16.7941110637079,1.00303514342567e-06,0.000883242048071312,0.386716666666668,"Non-significant",3.05392026387817,"FN1","Fibronectin","FINC_HUMAN",-0.386716666666668
0.3568,15.1681857142857,10.3455655054684,3.56021073151295e-05,0.00785211099137613,3.05739972484903,"CO3_HUMAN",111,-16.734039285352,1.02689949687226e-06,0.000883242048071312,-0.3568,"Non-significant",3.05392026387817,"C3","Complement C3","CO3_HUMAN",0.3568
-0.745680000000002,10.2747971428571,-14.4907654984291,4.63344765444061e-06,0.00340807722279479,4.943291274516,"TRFM_HUMAN",39,16.5701999412802,1.09536574698769e-06,0.000883242048071312,0.745680000000002,"Up in DM",3.05392026387817,"MELTF","Melanotransferrin","TRFM_HUMAN",-0.745680000000002
-0.729558333333337,10.5044428571429,-15.3296871878899,3.28235236553583e-06,0.00298985829918475,5.23682663556941,"ANXA3_HUMAN",21,16.3723543522771,1.18512594886368e-06,0.000883242048071312,0.729558333333337,"Up in DM",3.05392026387817,"ANXA3","Annexin A3","ANXA3_HUMAN",-0.729558333333337
3.47159833333333,7.78321714285714,20.0226032513802,6.32518814065966e-07,0.00103707784754256,6.51346821844256,"NOSTN_HUMAN",1,-15.9931597902692,1.38179269307769e-06,0.000943994708154244,-3.47159833333333,"Up in CM",3.02503044026322,"NOSTRIN","Nostrin","NOSTN_HUMAN",3.47159833333333
-0.771517500000002,9.48338285714286,-14.5779121995386,4.46655910600893e-06,0.00340807722279479,4.97491911222838,"DREB_HUMAN",21,15.4680986344873,1.71912120494791e-06,0.00108410427985869,0.771517500000002,"Up in DM",2.96492894105501,"DBN1","Drebrin","DREB_HUMAN",-0.771517500000002
-0.46816666666667,12.7742428571429,-13.9369265324394,5.87929829962103e-06,0.0035246474745835,4.73576436641441,"SQSTM_HUMAN",20,15.1348994937876,1.98202719642752e-06,0.00112074672046992,0.46816666666667,"Non-significant",2.95049252329322,"SQSTM1","Sequestosome-1","SQSTM_HUMAN",-0.46816666666667
-1.31604083333333,10.23811,-14.3167872575678,4.98864682526683e-06,0.00340807722279479,4.87932857012843,"K1C19_HUMAN",26,15.0562264077903,2.05064659759073e-06,0.00112074672046992,1.31604083333333,"Up in DM",2.95049252329322,"KRT19","Keratin, type I cytoskeletal 19","K1C19_HUMAN",-1.31604083333333
-0.658466666666671,14.1771,-12.8978792962671,9.42481328013345e-06,0.00439469521075341,4.31370017434811,"PLOD2_HUMAN",38,14.7416674633309,2.35359779461432e-06,0.00120592467001551,0.658466666666671,"Up in DM",2.91867982023764,"PLOD2","Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2","PLOD2_HUMAN",-0.658466666666671
0.370891666666667,11.4598714285714,9.9605965185533,4.46302418975282e-05,0.00785211099137613,2.83523408627914,"CGNL1_HUMAN",84,-14.3115226607671,2.85463209972429e-06,0.00136429396635742,-0.370891666666667,"Non-significant",2.86509204154794,"CGNL1","Cingulin-like protein 1","CGNL1_HUMAN",0.370891666666667
