"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","B1_vs_D","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
5.181475,13.9244625,136.784503978404,5.21555458572344e-14,4.21573277164026e-10,18.7566061287838,"MX1_HUMAN",43,93.8182194851016,1.61328159431513e-12,1.11457568087564e-08,5.181475,"Up in D",7.95289043712473,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
2.385875,13.0485875,68.0425750108824,9.74094565502679e-12,1.31226772882636e-08,16.6639703754466,"RIGI_HUMAN",56,84.1933674206318,3.55299645275363e-12,1.11457568087564e-08,2.385875,"Up in D",7.95289043712473,"RIGI","Antiviral innate immune response receptor RIG-I","RIGI_HUMAN"
4.010025,14.4857875,73.0108845931795,5.74771397240598e-12,9.2917544077915e-09,16.9625927632992,"ISG15_HUMAN",15,82.455493923173,4.13674012449203e-12,1.11457568087564e-08,4.010025,"Up in D",7.95289043712473,"ISG15","Ubiquitin-like protein ISG15","ISG15_HUMAN"
4.360725,12.7314125,94.978085202428,8.01809540693858e-13,2.31127685860332e-09,17.8944832441998,"IFIT1_HUMAN",34,71.292884851809,1.19484575620484e-11,2.41448456185093e-08,4.360725,"Up in D",7.61717556712194,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN"
3.8198,12.6859,93.1192611699618,9.29744190127544e-13,2.31127685860332e-09,17.834187791565,"IFIT2_HUMAN",29,66.4477799588343,1.99588216029693e-11,3.22654310033601e-08,3.8198,"Up in D",7.4912625291891,"IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","IFIT2_HUMAN"
2.52175,14.653975,49.5655389473843,1.04211498055127e-10,1.05292692347449e-07,15.068111751467,"STAT1_HUMAN",41,47.9235483937671,2.1581533346684e-10,2.5734434847152e-07,2.52175,"Up in D",6.58948536483205,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1_HUMAN"
3.8963,12.92085,90.578698044354,1.14377179690873e-12,2.31127685860332e-09,17.7472266946948,"IFIT3_HUMAN",30,47.712425333224,2.22864089979047e-10,2.5734434847152e-07,3.8963,"Up in D",6.58948536483205,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","IFIT3_HUMAN"
2.216975,12.8782125,41.1461413198299,4.18735384594802e-10,2.82053176139982e-07,13.9530963516267,"UB2L6_HUMAN",12,45.9459025835183,2.93287838477522e-10,2.96330699801727e-07,2.216975,"Up in D",6.52822335336698,"UBE2L6","Ubiquitin/ISG15-conjugating enzyme E2 L6","UB2L6_HUMAN"
4.53061,8.804995,44.0549017989503,2.514218594364e-10,2.25804765536046e-07,14.375953051165,"OASL_HUMAN",28,44.0354047013809,3.9949273447206e-10,3.58788863637518e-07,4.53061,"Up in D",6.44516104538222,"OASL","2'-5'-oligoadenylate synthase-like protein","OASL_HUMAN"
2.32075,11.4825,57.460859896788,3.45058680143656e-11,3.98444187371596e-08,15.8629723874713,"DDX60_HUMAN",75,40.6975721759174,7.08773641919667e-10,5.48933770556583e-07,2.32075,"Up in D",6.2604800504805,"DDX60","Probable ATP-dependent RNA helicase DDX60","DDX60_HUMAN"
2.1041875,11.14445625,37.1544932257628,8.96753833055309e-10,5.17747230899005e-07,13.2943778800132,"PLS1_HUMAN",7,40.4043733189208,7.47033462343489e-10,5.48933770556583e-07,2.1041875,"Up in D",6.2604800504805,"PLSCR1","Phospholipid scramblase 1","PLS1_HUMAN"
3.03944,10.853455,43.099927635924,2.96136838362623e-10,2.39367406448508e-07,14.2419466305365,"ISG20_HUMAN",11,38.821050404134,9.98968700905941e-10,6.14134423208998e-07,3.03944,"Up in D",6.21173655904068,"ISG20","Interferon-stimulated gene 20 kDa protein","ISG20_HUMAN"
1.76246,10.169295,34.1048650519508,1.69825033699121e-09,8.57934842118746e-07,12.718890729279,"GBP4_HUMAN",27,38.6587378036575,1.02985873628093e-09,6.14134423208998e-07,1.76246,"Up in D",6.21173655904068,"GBP4","Guanylate-binding protein 4","GBP4_HUMAN"
1.8573625,10.94716875,34.7810579098411,1.46706830646223e-09,7.90554208075614e-07,12.852513383058,"SLFN5_HUMAN",37,38.4871536753181,1.06369935975825e-09,6.14134423208998e-07,1.8573625,"Up in D",6.21173655904068,"SLFN5","Schlafen family member 5","SLFN5_HUMAN"
2.50954,10.275955,41.5926020255057,3.86318270021448e-10,2.82053176139982e-07,14.0209088791804,"IFIH1_HUMAN",45,36.3683615850149,1.6051260329366e-09,8.64948914948434e-07,2.50954,"Up in D",6.06300954179664,"IFIH1","Interferon-induced helicase C domain-containing protein 1","IFIH1_HUMAN"
1.97342500000001,12.5936125,37.742570104504,7.97619573857194e-10,4.95935308883669e-07,13.39773731091,"HLAB_HUMAN",2,35.1905835741453,2.03868791178363e-09,1.02991964943419e-06,1.97342500000001,"Up in D",5.98719665604098,"HLA-B","HLA class I histocompatibility antigen, B alpha chain","HLAB_HUMAN"
1.07805,11.6013,27.9245307432969,7.52084405616612e-09,3.19952539505214e-06,11.3077111665552,"APOL3_HUMAN",18,32.2315491367789,3.85673613125379e-09,1.83376459699555e-06,1.07805,"Up in D",5.73665641609651,"APOL3","Apolipoprotein L3","APOL3_HUMAN"
1.216225,11.8006625,26.2550917407765,1.18883536851471e-08,4.57588394462115e-06,10.8566150685708,"5NT3A_HUMAN",23,30.7672649813627,5.40333414243341e-09,2.42639721518274e-06,1.216225,"Up in D",5.61503810114425,"NT5C3A","Cytosolic 5'-nucleotidase 3A","5NT3A_HUMAN"
-7.1232175,9.12501625,-29.1636704694849,5.44605444261318e-09,2.44558100331346e-06,11.6212953928889,"Q15194_HBV",5,-28.8219283168584,8.67405942335814e-09,3.69012749047389e-06,-7.1232175,"Up in B1",5.43295862911118,"PreC-C","Capsid protein","Q15194_HBV"
1.6758875,9.29630625,26.2715506265707,1.18331753744154e-08,4.57588394462115e-06,10.8612334160389,"TREX1_HUMAN",15,28.2686031668097,9.98140356701866e-09,4.03398425161059e-06,1.6758875,"Up in D",5.39426580157491,"TREX1","Three-prime repair exonuclease 1","TREX1_HUMAN"
1.67905,12.40015,25.6891931408251,1.39751031121471e-08,5.10177522702634e-06,10.6956437210756,"IFM3_HUMAN",3,27.670868148113,1.16516593789775e-08,4.48477917906073e-06,1.67905,"Up in D",5.34825893582532,"IFITM3","Interferon-induced transmembrane protein 3","IFM3_HUMAN"
0.950200000000001,11.956275,23.8217950064116,2.44549345149897e-08,7.80588381920546e-06,10.1325501552956,"NUB1_HUMAN",27,26.5379832724563,1.57671617061837e-08,5.79299854868557e-06,0.950200000000001,"Up in D",5.23709658030431,"NUB1","NEDD8 ultimate buster 1","NUB1_HUMAN"
1.291075,11.7998625,23.5939777410692,2.62590744730722e-08,7.80588381920546e-06,10.0602766763999,"TAP2_HUMAN",22,25.7423092108565,1.9649502652516e-08,6.90551869305596e-06,1.291075,"Up in D",5.1608036947723,"TAP2","Antigen peptide transporter 2","TAP2_HUMAN"
-6.7645125,9.08281875,-25.5578190883088,1.45169900063845e-08,5.10177522702634e-06,10.6576575673383,"Q6VBP1_HBV",1,-25.3031556515276,2.22517097992399e-08,7.494190429469e-06,-6.7645125,"Up in B1",5.1252752755581,"S","Large envelope protein","Q6VBP1_HBV"
1.401075,11.6905125,23.5007954493645,2.70400528192197e-08,7.80588381920546e-06,10.0304784675179,"E2AK2_HUMAN",23,24.6223150689422,2.70983992526372e-08,8.76145444636267e-06,1.401075,"Up in D",5.05742379273633,"EIF2AK2","Interferon-induced, double-stranded RNA-activated protein kinase","E2AK2_HUMAN"
-1.607675,13.5083625,-29.4591449709565,5.05266786866135e-09,2.40239496366998e-06,11.6935797922077,"FGL1_HUMAN",17,-23.6145916131749,3.66404216424667e-08,1.13909433898484e-05,-1.607675,"Up in B1",4.94344030647059,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN"
-2.343575,11.8384375,-22.6790111218394,3.51915830591014e-08,9.80874365057644e-06,9.7615535756819,"TSP1_HUMAN",50,-23.0909389312036,4.30740350518652e-08,1.28950898268232e-05,-2.343575,"Up in B1",4.88957562823269,"THBS1","Thrombospondin-1","TSP1_HUMAN"
1.056855,10.4830975,19.886698764699,9.28690541968056e-08,1.83087942700678e-05,8.75664480398696,"PAR10_HUMAN",43,22.770480034775,4.76409684609107e-08,1.37529267167693e-05,1.056855,"Up in D",4.86160487116546,"PARP10","Protein mono-ADP-ribosyltransferase PARP10","PAR10_HUMAN"
5.9337225,8.30131375,22.2913071287899,3.99793661514659e-08,1.04242973097516e-05,9.63072176389727,"IFI44_HUMAN",27,22.0401352916843,6.02574047612706e-08,1.66208962107023e-05,5.9337225,"Up in D",4.77934556244908,"IFI44","Interferon-induced protein 44","IFI44_HUMAN"
3.172125,11.8309375,21.9568558034001,4.47077489305076e-08,1.09506889274331e-05,9.51573602314672,"OAS1_HUMAN",20,21.9684408165837,6.16883442188631e-08,1.66208962107023e-05,3.172125,"Up in D",4.77934556244908,"OAS1","2'-5'-oligoadenylate synthase 1","OAS1_HUMAN"
1.650075,12.0614875,20.108145414059,8.55886394296877e-08,1.72953243127541e-05,8.84199077558506,"BST2_HUMAN",7,21.0734340332106,8.32226922808587e-08,2.16996458614897e-05,1.650075,"Up in D",4.66354735378538,"BST2","Bone marrow stromal antigen 2","BST2_HUMAN"
3.09113,7.040225,20.8321551788595,6.59295327110536e-08,1.48030114695402e-05,9.11386877986603,"LEG9_HUMAN",7,20.720388707829,9.39763443672559e-08,2.33586510245874e-05,3.09113,"Up in D",4.63155224158936,"LGALS9","Galectin-9","LEG9_HUMAN"
2.4261775,10.51386125,21.2150923309257,5.76328087078336e-08,1.33098855081548e-05,9.25340538781114,"NUA4L_HUMAN",5,20.678163616881,9.53650233590728e-08,2.33586510245874e-05,2.4261775,"Up in D",4.63155224158936,"NDUFA4L2","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4-like 2","NUA4L_HUMAN"
