"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","B1_vs_D","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names","D_vs_B1"
-5.181475,13.9244625,-136.8901332659,5.85445221954635e-14,4.7994799295841e-10,18.7023771341946,"MX1_HUMAN",43,170.994294836615,2.20838421204275e-15,1.81043337703264e-11,5.181475,"Up in D",10.7422174523545,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN",-5.181475
-4.360725,12.7314125,-94.9570148045259,8.95265292274139e-13,2.60732668381674e-09,17.8338481661755,"IFIT1_HUMAN",34,108.135612866072,8.23476881803359e-14,2.43576604867571e-10,4.360725,"Up in D",9.613364427307,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN",-4.360725
-3.8198,12.6859,-93.1484513016114,1.03326503536032e-12,2.60732668381674e-09,17.7749493895113,"IFIT2_HUMAN",29,106.839086478458,9.05755061530238e-14,2.43576604867571e-10,3.8198,"Up in D",9.613364427307,"IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","IFIT2_HUMAN",-3.8198
-3.8963,12.92085,-90.5853062890011,1.27217696209648e-12,2.60732668381674e-09,17.6869074963221,"IFIT3_HUMAN",30,103.225445390273,1.18846843067856e-13,2.43576604867571e-10,3.8963,"Up in D",9.613364427307,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","IFIT3_HUMAN",-3.8963
-2.385875,13.0485875,-68.1305941366142,1.06300564770376e-11,1.45242004997924e-08,16.6059276552945,"RIGI_HUMAN",56,92.687091432346,2.78084276564845e-13,4.5594697985572e-10,2.385875,"Up in D",9.34108565666639,"RIGI","Antiviral innate immune response receptor RIG-I","RIGI_HUMAN",-2.385875
-2.32075,11.4825,-57.4836863718905,3.76853357957707e-11,4.41349118362469e-08,15.8000592877319,"DDX60_HUMAN",75,73.6454295357247,1.70745602806999e-12,2.06695207603573e-09,2.32075,"Up in D",8.68466959272661,"DDX60","Probable ATP-dependent RNA helicase DDX60","DDX60_HUMAN",-2.32075
-4.010025,14.4857875,-72.9481952600719,6.38936140270167e-12,1.04759969558697e-08,16.8960319601248,"ISG15_HUMAN",15,73.3371946839155,1.76490174826179e-12,2.06695207603573e-09,4.010025,"Up in D",8.68466959272661,"ISG15","Ubiquitin-like protein ISG15","ISG15_HUMAN",-4.010025
-2.52175,14.653975,-49.5350848798636,1.14086838876538e-10,1.16910488138733e-07,14.9992561384226,"STAT1_HUMAN",41,56.0323108863911,1.47402871382479e-11,1.51051092449195e-08,2.52175,"Up in D",7.82087612942452,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1_HUMAN",-2.52175
-4.53061,8.804995,-43.9706720028076,2.76784062257537e-10,2.52119526931921e-07,14.2990784930957,"OASL_HUMAN",28,45.9302988849884,7.05825341124045e-11,5.89295136948275e-08,4.53061,"Up in D",7.22966714282687,"OASL","2'-5'-oligoadenylate synthase-like protein","OASL_HUMAN",-4.53061
-2.50954,10.275955,-41.5463734601756,4.21917816406792e-10,3.11589757460354e-07,13.9489305583703,"IFIH1_HUMAN",45,45.823935029405,7.18827929919828e-11,5.89295136948275e-08,2.50954,"Up in D",7.22966714282687,"IFIH1","Interferon-induced helicase C domain-containing protein 1","IFIH1_HUMAN",-2.50954
-3.03944,10.853455,-43.0379154985152,3.24615809324348e-10,2.66120040484101e-07,14.1679243354376,"ISG20_HUMAN",11,41.4283150927596,1.58969970888015e-10,1.18475983758177e-07,3.03944,"Up in D",6.92636967647558,"ISG20","Interferon-stimulated gene 20 kDa protein","ISG20_HUMAN",-3.03944
-2.216975,12.8782125,-41.1131864877389,4.56096253906349e-10,3.11589757460354e-07,13.8830933015016,"UB2L6_HUMAN",12,39.0026944789215,2.55511282270645e-10,1.71771582767015e-07,2.216975,"Up in D",6.76504868257859,"UBE2L6","Ubiquitin/ISG15-conjugating enzyme E2 L6","UB2L6_HUMAN",-2.216975
-1.8573625,10.94716875,-34.754162351613,1.58836759207085e-09,8.63164479905827e-07,12.7836615856718,"SLFN5_HUMAN",37,38.6867310407255,2.72387237859379e-10,1.71771582767015e-07,1.8573625,"Up in D",6.76504868257859,"SLFN5","Schlafen family member 5","SLFN5_HUMAN",-1.8573625
-1.76246,10.169295,-34.0821056307087,1.83597228197832e-09,8.85370633391664e-07,12.6509393491519,"GBP4_HUMAN",27,37.2036259208801,3.70377676558367e-10,2.16882585173249e-07,1.76246,"Up in D",6.66377531874099,"GBP4","Guanylate-binding protein 4","GBP4_HUMAN",-1.76246
-4.3808975,7.58300125,-34.479623101438,1.68463426183133e-09,8.63164479905827e-07,12.7298716657,"RSAD2_HUMAN",15,35.3230488110509,5.5673978062908e-10,3.0427684810648e-07,4.3808975,"Up in D",6.51673109109275,"RSAD2","S-adenosylmethionine-dependent nucleotide dehydratase RSAD2","RSAD2_HUMAN",-4.3808975
1.607675,13.5083625,29.4344109845696,5.44184280992221e-09,2.47845707531901e-06,11.6261425036129,"FGL1_HUMAN",17,-30.2809629490333,1.864552472986e-09,9.55350073346201e-07,-1.607675,"Up in B1",6.01983745871606,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN",1.607675
-1.07805,11.6013,-27.9428547454532,7.9962459285995e-09,3.27766120613294e-06,11.2518940872329,"APOL3_HUMAN",18,29.2717460485389,2.43190740307029e-09,1.11388731826612e-06,1.07805,"Up in D",5.95315874051813,"APOL3","Apolipoprotein L3","APOL3_HUMAN",-1.07805
0.77365,13.097325,20.583054069037,7.61819711903756e-08,1.49753313734514e-05,8.96713723927283,"FAT1_HUMAN",153,-28.9589256010684,2.64547607450587e-09,1.11388731826612e-06,-0.77365,"Up in B1",5.95315874051813,"FAT1","Protocadherin Fat 1","FAT1_HUMAN",0.77365
7.1232175,9.12501625,29.097847855945,5.92543483662052e-09,2.55666919950606e-06,11.5438231617975,"Q15194_HBV",5,-28.8874279406506,2.69720341449367e-09,1.11388731826612e-06,-7.1232175,"Up in B1",5.95315874051813,"PreC-C","Capsid protein","Q15194_HBV",7.1232175
-2.1041875,11.14445625,-37.1193304798357,9.74370903330483e-10,5.70563761821664e-07,13.2238825195919,"PLS1_HUMAN",7,28.8598471663176,2.71746113263264e-09,1.11388731826612e-06,2.1041875,"Up in D",5.95315874051813,"PLSCR1","Phospholipid scramblase 1","PLS1_HUMAN",-2.1041875
-1.216225,11.8006625,-26.2482870490891,1.26988259807859e-08,4.74447680751819e-06,10.7952250431122,"5NT3A_HUMAN",23,28.4738714656476,3.01969530935549e-09,1.17883153076649e-06,1.216225,"Up in D",5.92854825638611,"NT5C3A","Cytosolic 5'-nucleotidase 3A","5NT3A_HUMAN",-1.216225
-0.858450000000001,11.68945,-22.4560518816977,4.01493478045242e-08,9.97407131216635e-06,9.63028343291313,"UBA7_HUMAN",43,27.9213066306239,3.52049280510138e-09,1.31186363710096e-06,0.858450000000001,"Up in D",5.8821113057625,"UBA7","Ubiquitin-like modifier-activating enzyme 7","UBA7_HUMAN",-0.858450000000001
