"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","B2_vs_BD","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names","BD_vs_B2"
-5.7728,14.396725,-216.201505024423,2.76836503591171e-15,2.26950565644042e-11,22.6308358544224,"MX1_HUMAN",43,279.87896909253,4.50635534764664e-17,3.69431011400071e-13,5.7728,"Up in BD",12.4324666510868,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN",-5.7728
-5.33595,13.314,-189.292364424867,7.37199568407343e-15,3.0217810309017e-11,22.3052515976633,"IFIT1_HUMAN",34,229.346391643218,2.17234276218554e-16,8.90443298219853e-13,5.33595,"Up in BD",12.0503937303886,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN",-5.33595
-5.42395,13.55475,-164.859785784007,2.04088757598161e-14,5.57706544929908e-11,21.8985114689778,"IFIT2_HUMAN",29,186.559921166774,1.10976516536352e-15,3.03261827521672e-12,5.42395,"Up in BD",11.5181822522018,"IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","IFIT2_HUMAN",-5.42395
-5.0544,13.550975,-146.736139245534,4.81357939721514e-14,9.86543097459243e-11,21.4974441747859,"IFIT3_HUMAN",30,165.385405761527,2.8739086245605e-15,5.12939209764546e-12,5.0544,"Up in BD",11.2899341016098,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","IFIT3_HUMAN",-5.0544
-3.09605,14.9327,-123.054841192393,1.76036526052508e-13,2.40524573429743e-10,20.7852041542887,"STAT1_HUMAN",41,163.617881302109,3.12844114274546e-15,5.12939209764546e-12,3.09605,"Up in BD",11.2899341016098,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1_HUMAN",-3.09605
-4.85115,15.022525,-125.480198988757,1.52460992926866e-13,2.40524573429743e-10,20.8705563493403,"ISG15_HUMAN",15,123.72229053723,2.84388168980672e-14,3.88246998238671e-11,4.85115,"Up in BD",10.4108918933674,"ISG15","Ubiquitin-like protein ISG15","ISG15_HUMAN",-4.85115
-2.589125,11.4440125,-96.551040997893,1.05080879346191e-12,1.07681631110009e-09,19.5944335984788,"SLFN5_HUMAN",37,121.343150669593,3.31511220745389e-14,3.88246998238671e-11,2.589125,"Up in BD",10.4108918933674,"SLFN5","Schlafen family member 5","SLFN5_HUMAN",-2.589125
-4.303125,11.4337375,-113.206689662313,3.25433305786083e-13,3.81128891547759e-10,20.4026133660676,"ISG20_HUMAN",11,100.205446097352,1.50242125401153e-13,1.53960618004831e-10,4.303125,"Up in BD",9.8125903542964,"ISG20","Interferon-stimulated gene 20 kDa protein","ISG20_HUMAN",-4.303125
-2.9195,13.3614,-77.5560713455006,5.27328170466825e-12,3.73366537727984e-09,18.3262296541759,"RIGI_HUMAN",56,90.1453137574066,3.4633516697848e-13,3.15472855432175e-10,2.9195,"Up in BD",9.5010380032762,"RIGI","Antiviral innate immune response receptor RIG-I","RIGI_HUMAN",-2.9195
-3.2926225,10.66518875,-77.8969652341382,5.10573871016902e-12,3.73366537727984e-09,18.3532380077199,"IFIH1_HUMAN",45,87.3585159761793,4.4375061914207e-13,3.63786757572669e-10,3.2926225,"Up in BD",9.43915311400753,"IFIH1","Interferon-induced helicase C domain-containing protein 1","IFIH1_HUMAN",-3.2926225
-2.71085,10.74005,-77.1803175779814,5.46523353590608e-12,3.73366537727984e-09,18.2962493236332,"GBP4_HUMAN",27,85.4870968929972,5.26459961065893e-13,3.92356250983472e-10,2.71085,"Up in BD",9.40631942386015,"GBP4","Guanylate-binding protein 4","GBP4_HUMAN",-2.71085
-3.7924325,10.56393375,-77.3846141705382,5.3599036532992e-12,3.73366537727984e-09,18.3125770214758,"CMPK2_HUMAN",26,82.6323482728395,6.88298847434647e-13,4.70222829272436e-10,3.7924325,"Up in BD",9.32769628974455,"CMPK2","UMP-CMP kinase 2, mitochondrial","CMPK2_HUMAN",-3.7924325
-2.17025,11.71355,-72.9393988614911,8.28488087812259e-12,4.85138953134636e-09,17.9419205749639,"TAP1_HUMAN",24,81.0046148925606,8.05310441671588e-13,5.07841153909514e-10,2.17025,"Up in BD",9.29427210812632,"TAP1","Antigen peptide transporter 1","TAP1_HUMAN",-2.17025
-3.469,11.969475,-73.8636505877916,7.55149016430373e-12,4.76208587438169e-09,18.0217227836376,"OAS1_HUMAN",20,77.1475410031822,1.18346628941192e-12,6.93004045757064e-10,3.469,"Up in BD",9.15926422996995,"OAS1","2'-5'-oligoadenylate synthase 1","OAS1_HUMAN",-3.469
-2.2453,11.480925,-60.61079525139,3.23614298846109e-11,1.56058236584729e-08,16.7165704171351,"DDX60_HUMAN",75,71.7130123796877,2.10598319830762e-12,1.15022488269305e-09,2.2453,"Up in BD",8.93921724159015,"DDX60","Probable ATP-dependent RNA helicase DDX60","DDX60_HUMAN",-2.2453
-1.75835,12.387325,-58.115457529183,4.40897991495759e-11,2.00804540793457e-08,16.4260469996272,"PML_HUMAN",44,71.1347312368132,2.24488876836896e-12,1.15022488269305e-09,1.75835,"Up in BD",8.93921724159015,"PML","Protein PML","PML_HUMAN",-1.75835
-2.2084,12.29845,-61.6145954623338,2.867783453596e-11,1.46938054703625e-08,16.8289307930558,"TAP2_HUMAN",22,65.9169251355295,4.09419748681956e-12,1.97436652923216e-09,2.2084,"Up in BD",8.70457222003188,"TAP2","Antigen peptide transporter 2","TAP2_HUMAN",-2.2084
-2.85225,13.3054,-63.2793265227271,2.3570022639452e-11,1.28818030398818e-08,17.0098713335255,"UB2L6_HUMAN",12,59.8811057936954,8.73097069892317e-12,3.97647209943179e-09,2.85225,"Up in BD",8.40050206038973,"UBE2L6","Ubiquitin/ISG15-conjugating enzyme E2 L6","UB2L6_HUMAN",-2.85225
-2.277985,10.2451325,-51.146464349156,1.12793384256354e-10,4.20309165515268e-08,15.519507663826,"HELZ2_HUMAN",117,58.3534718786196,1.07039798687886e-11,4.61848562970151e-09,2.277985,"Up in BD",8.33550040333506,"HELZ2","3'-5' exoribonuclease HELZ2","HELZ2_HUMAN",-2.277985
-1.3916,12.2403,-48.7118755029784,1.61425335217196e-10,5.75376042656771e-08,15.1648970356577,"RO52_HUMAN",27,56.0670696345778,1.46684113728677e-11,6.01258182173847e-09,1.3916,"Up in BD",8.2209390005162,"TRIM21","E3 ubiquitin-protein ligase TRIM21","RO52_HUMAN",-1.3916
-4.8035275,12.40748625,-52.3811025014366,9.46511981984353e-11,3.69500248967034e-08,15.6913199049565,"OAS2_HUMAN",31,54.8672588948616,1.73952009919541e-11,6.79075513009712e-09,4.8035275,"Up in BD",8.16808192960761,"OAS2","2'-5'-oligoadenylate synthase 2","OAS2_HUMAN",-4.8035275
-1.011675,11.0459875,-36.9590537619382,1.22592303988039e-09,2.01002341618789e-07,13.0876476433155,"PAR14_HUMAN",91,51.5136036819336,2.85942275149947e-11,1.06552489621785e-08,1.011675,"Up in BD",7.97243639844747,"PARP14","Protein mono-ADP-ribosyltransferase PARP14","PAR14_HUMAN",-1.011675
-1.268975,11.9448375,-41.4161027265525,5.31616315859986e-10,1.32066380527884e-07,13.956894359997,"UBA7_HUMAN",43,50.313264597139,3.44309407184127e-11,1.22723848699803e-08,1.268975,"Up in BD",7.9110710334238,"UBA7","Ubiquitin-like modifier-activating enzyme 7","UBA7_HUMAN",-1.268975
-2.247475,12.1637875,-45.8226557174332,2.52988010654223e-10,7.40712754051185e-08,14.7144622459658,"SAMH1_HUMAN",38,49.9557422683301,3.64205842913377e-11,1.24406645841828e-08,2.247475,"Up in BD",7.9051564188788,"SAMHD1","Deoxynucleoside triphosphate triphosphohydrolase SAMHD1","SAMH1_HUMAN",-2.247475
-1.08695,15.0086,-45.3072411447433,2.74910314694072e-10,7.77143020642071e-08,14.6304630805873,"APOL2_HUMAN",21,49.6242395823724,3.83817636130214e-11,1.2586147923982e-08,1.08695,"Up in BD",7.9001071683305,"APOL2","Apolipoprotein L2","APOL2_HUMAN",-1.08695
-1.9784,12.165225,-46.3098029467304,2.34076143508452e-10,7.38060086339342e-08,14.7928071665301,"5NT3A_HUMAN",23,49.3100847749061,4.03506932187131e-11,1.27228839618081e-08,1.9784,"Up in BD",7.89541443375565,"NT5C3A","Cytosolic 5'-nucleotidase 3A","5NT3A_HUMAN",-1.9784
0.958895,10.3538275,34.3955506205578,2.07660705621931e-09,2.93517666325619e-07,12.5315214769072,"SYNE2_HUMAN",160,-48.7438306564023,4.41938073908876e-11,1.34185493700184e-08,-0.958895,"Up in B2",7.87229443160731,"SYNE2","Nesprin-2","SYNE2_HUMAN",0.958895
-1.691375,10.3251625,-42.3566422197097,4.50810252009544e-10,1.15491951436695e-07,14.1264069041695,"TDRD7_HUMAN",52,48.3675535701603,4.69752732462912e-11,1.3753688931182e-08,1.691375,"Up in BD",7.86158080237286,"TDRD7","Tudor domain-containing protein 7","TDRD7_HUMAN",-1.691375
-0.977950000000003,16.370925,-37.5410337780011,1.09318045366341e-09,1.86706111648596e-07,13.2078194323949,"AMPL_HUMAN",38,48.1270438756493,4.88562682301536e-11,1.38111616189931e-08,0.977950000000003,"Up in BD",7.85976979256527,"LAP3","Cytosol aminopeptidase","AMPL_HUMAN",-0.977950000000003
