"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BD_vs_BM1","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names","BM1_vs_BD"
4.9099375,12.35428125,164.787491049348,3.07068908863162e-14,8.27345996780312e-11,22.0940956111185,"OAS2_HUMAN",31,-195.323317646731,2.43359704675678e-14,1.9670764928935e-10,-4.9099375,"Up in BD",9.70617875152162,"OAS2","2'-5'-oligoadenylate synthase 2","OAS2_HUMAN",4.9099375
2.866125,13.2984625,118.318526311899,3.39879512131835e-13,3.86438280887245e-10,20.6297198821841,"UB2L6_HUMAN",12,-164.167082750443,8.21148579377299e-14,2.28672539177111e-10,-2.866125,"Up in BD",9.64078598580825,"UBE2L6","Ubiquitin/ISG15-conjugating enzyme E2 L6","UB2L6_HUMAN",2.866125
4.977525,14.9593375,141.068072851331,9.48605981482905e-14,1.53351642966526e-10,21.4629387755296,"ISG15_HUMAN",15,-160.638062681202,9.5602560133976e-14,2.28672539177111e-10,-4.977525,"Up in BD",9.64078598580825,"ISG15","Ubiquitin-like protein ISG15","ISG15_HUMAN",4.977525
5.9126,14.326825,222.11873105882,3.51661428384501e-15,2.84247932563192e-11,23.0347423136284,"MX1_HUMAN",43,-156.81376168521,1.13162211642762e-13,2.28672539177111e-10,-5.9126,"Up in BD",9.64078598580825,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN",5.9126
5.313575,13.6099375,185.241335448478,1.31349959545632e-14,5.30850861503671e-11,22.5041444053658,"IFIT2_HUMAN",29,-135.397915091369,3.16209962775335e-13,5.11185025822606e-10,-5.313575,"Up in BD",9.29142187648084,"IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","IFIT2_HUMAN",5.313575
3.08994999999999,14.93575,127.172773634197,2.01325387485404e-13,2.71218851174086e-10,20.986678828857,"STAT1_HUMAN",41,-123.042251005062,6.17690245154655e-13,7.7809125506313e-10,-3.08994999999999,"Up in BD",9.10896946567578,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1_HUMAN",3.08994999999999
5.2203,13.371825,155.093020536661,4.76810458146591e-14,9.63514733299724e-11,21.8596968898472,"IFIT1_HUMAN",34,-120.986428080255,6.94980517286969e-13,7.7809125506313e-10,-5.2203,"Up in BD",9.10896946567578,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN",5.2203
1.94785,12.1805,83.3624836954418,4.31155031608944e-12,2.32335074699673e-09,18.6255382917495,"5NT3A_HUMAN",23,-119.224636351479,7.7010145249351e-13,7.7809125506313e-10,-1.94785,"Up in BD",9.10896946567578,"NT5C3A","Cytosolic 5'-nucleotidase 3A","5NT3A_HUMAN",1.94785
2.613845,10.7885525,92.0071672064803,2.10774078469227e-12,1.41973906355564e-09,19.2325040815466,"GBP4_HUMAN",27,-113.616644488108,1.07882003857562e-12,9.68900263534078e-10,-2.613845,"Up in BD",9.01372092596894,"GBP4","Guanylate-binding protein 4","GBP4_HUMAN",2.613845
2.5524,11.462375,84.1802073340214,4.01685438458718e-12,2.31915957075844e-09,18.6869205974278,"SLFN5_HUMAN",37,-98.5347710450012,2.92196378056491e-12,2.33871007015079e-09,-2.5524,"Up in BD",8.63102361433371,"SLFN5","Schlafen family member 5","SLFN5_HUMAN",2.5524
