logFC,AveExpr,t,P.Value,adj.P.Val,B,gene,count,sca.t,sca.P.Value,sca.adj.pval,C_vs_B2,Diff_Abund,negLog10_sca_adjPval,Genes,ProtDesc,Protein.Names,Protein.Ids
,,,1.0,1.0,,MATN3_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,MATN3,Matrilin-3,MATN3_HUMAN,O15232
,,,1.0,1.0,,AMY1B_HUMAN;AMY1C_HUMAN;AMY1A_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,AMY1B;AMY1C;AMY1A,Alpha-amylase 1B;Alpha-amylase 1C;Alpha-amylase 1A,AMY1B_HUMAN;AMY1C_HUMAN;AMY1A_HUMAN,P0DTE7;P0DTE8;P0DUB6
,,,1.0,1.0,,COMP_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,COMP,Cartilage oligomeric matrix protein,COMP_HUMAN,P49747
,,,1.0,1.0,,FMOD_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,FMOD,Fibromodulin,FMOD_HUMAN,Q06828
,,,1.0,1.0,,Q15194_HBV,4,,1.0,1.0,,Non-significant,-0.0,PreC-C,Capsid protein,Q15194_HBV,Q15194
,,,1.0,1.0,,Q6VBP1_HBV,4,,1.0,1.0,,Non-significant,-0.0,S,Large envelope protein,Q6VBP1_HBV,Q6VBP1
,,,1.0,1.0,,EVPL_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,EVPL,Envoplakin,EVPL_HUMAN,Q92817
,,,1.0,1.0,,COL11_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,COLEC11,Collectin-11,COL11_HUMAN,Q9BWP8
-1.11647057533264,8.673488974571228,,6.711953348557313e-05,0.005132448812887471,,LAMA5_HUMAN,8,,6.711953348557313e-05,0.005132448812887471,1.11647057533264,Down,2.289675373256225,LAMA5,Laminin subunit alpha-5,LAMA5_HUMAN,O15230
1.98477387428284,16.22214496135711,,0.05236350639768227,0.22558314629111165,,K1C14_HUMAN,8,,0.05236350639768227,0.22558314629111165,-1.98477387428284,Non-significant,0.6466933503721539,KRT14,"Keratin, type I cytoskeletal 14",K1C14_HUMAN,P02533
3.38703234990438,8.727514346440628,,0.02179042459314342,0.13343624238307208,,K2C6A_HUMAN,7,,0.02179042459314342,0.13343624238307208,-3.38703234990438,Non-significant,0.8747261964371094,KRT6A,"Keratin, type II cytoskeletal 6A",K2C6A_HUMAN,P02538
-2.20792460441589,14.8438848257065,,0.00010988772351944321,0.006980181215461334,,FIBA_HUMAN,8,,0.00010988772351944321,0.006980181215461334,2.20792460441589,Down,2.156133302326224,FGA,Fibrinogen alpha chain,FIBA_HUMAN,P02671
-2.03721189498901,14.5370638370514,,0.00022360111590651692,0.01102111042377784,,FIBB_HUMAN,8,,0.00022360111590651692,0.01102111042377784,2.03721189498901,Down,1.95777464626245,FGB,Fibrinogen beta chain,FIBB_HUMAN,P02675
-1.94281601905823,15.26397454738615,,0.00013098348092487841,0.007846718429239638,,FIBG_HUMAN,8,,0.00013098348092487841,0.007846718429239638,1.94281601905823,Down,2.1053119312854416,FGG,Fibrinogen gamma chain,FIBG_HUMAN,P02679
-2.11261820793152,14.85337269306185,,0.00023058816135603964,0.011163741634408973,,FINC_HUMAN,8,,0.00023058816135603964,0.011163741634408973,2.11261820793152,Down,1.9521902230656085,FN1,Fibronectin,FINC_HUMAN,P02751
-1.38922500610352,7.792447566986084,,0.0004442770559112861,0.015736254854831787,,LCAT_HUMAN,7,,0.0004442770559112861,0.015736254854831787,1.38922500610352,Down,1.8030986194619494,LCAT,Phosphatidylcholine-sterol acyltransferase,LCAT_HUMAN,P04180
1.74882650375366,18.204615831375126,,0.01909015360368116,0.1228919250867972,,K2C6B_HUMAN,8,,0.01909015360368116,0.1228919250867972,-1.74882650375366,Non-significant,0.9104766525525833,KRT6B,"Keratin, type II cytoskeletal 6B",K2C6B_HUMAN,P04259
-3.27879238128662,11.232095003128062,,1.6401613454885547e-08,4.4732667095957844e-05,,TSP1_HUMAN,8,,1.6401613454885547e-08,4.4732667095957844e-05,3.27879238128662,Down,4.349375207114048,THBS1,Thrombospondin-1,TSP1_HUMAN,P07996
3.2699818611145,9.453932762146003,,0.009476045983207554,0.08292300345946975,,K1C16_HUMAN,8,,0.009476045983207554,0.08292300345946975,-3.2699818611145,Non-significant,1.0813249762085229,KRT16,"Keratin, type I cytoskeletal 16",K1C16_HUMAN,P08779
-1.1936069726944,7.78648179769516,,0.017379347866940165,0.11629529806273006,,TBA3C_HUMAN;TBA3D_HUMAN,8,,0.017379347866940165,0.11629529806273006,1.1936069726944,Non-significant,0.9344378438845405,TUBA3C;TUBA3D,Tubulin alpha-3C chain;Tubulin alpha-3D chain,TBA3C_HUMAN;TBA3D_HUMAN,P0DPH7;P0DPH8
-1.04462647438049,9.53927338123322,,2.3575262383651705e-05,0.0029226181336823977,,PTPRF_HUMAN,8,,2.3575262383651705e-05,0.0029226181336823977,1.04462647438049,Down,2.534227925411804,PTPRF,Receptor-type tyrosine-protein phosphatase F,PTPRF_HUMAN,P10586
-1.54620599746704,9.619724512100223,,0.0061763567832002495,0.06454016756084859,,CO6A1_HUMAN,8,,0.0061763567832002495,0.06454016756084859,1.54620599746704,Non-significant,1.1901699114041087,COL6A1,Collagen alpha-1(VI) chain,CO6A1_HUMAN,P12109
1.08663725852966,11.23497831821441,,0.011394033729766734,0.09150583249904021,,COX7C_HUMAN,8,,0.011394033729766734,0.09150583249904021,-1.08663725852966,Non-significant,1.0385512235136514,COX7C,"Cytochrome c oxidase subunit 7C, mitochondrial",COX7C_HUMAN,P15954
1.43855532010396,7.899896105130512,,6.601151793829168e-05,0.005095341884633043,,HXK4_HUMAN,7,,6.601151793829168e-05,0.005095341884633043,-1.43855532010396,Up,2.2928266706117855,GCK,Hexokinase-4,HXK4_HUMAN,P35557
-1.04362026850383,6.637339035669961,,0.0026509347940644624,0.0391745875306718,,FUT6_HUMAN,7,,0.0026509347940644624,0.0391745875306718,1.04362026850383,Down,1.4069955675229646,FUT6,4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase FUT6,FUT6_HUMAN,P51993
-1.42858910560608,10.838624596595775,,0.0012973781170584186,0.026119161048394963,,HBA_HUMAN,8,,0.0012973781170584186,0.026119161048394963,1.42858910560608,Down,1.5830407767807353,HBA2,Hemoglobin subunit alpha,HBA_HUMAN,P69905
-1.04104065895081,6.825927495956421,,0.00019483000321101682,0.010284510234016385,,S10AC_HUMAN,8,,0.00019483000321101682,0.010284510234016385,1.04104065895081,Down,1.9878163853235264,S100A12,Protein S100-A12,S10AC_HUMAN,P80511
-2.13442707061768,8.714487552642817,,1.6924899696752187e-06,0.0007387397740600637,,PGBM_HUMAN,8,,1.6924899696752187e-06,0.0007387397740600637,2.13442707061768,Down,3.131508517752007,HSPG2,Basement membrane-specific heparan sulfate proteoglycan core protein,PGBM_HUMAN,P98160
2.45496392250061,8.652710080146793,,0.05324299889484491,0.22770911467212462,,K1C17_HUMAN,7,,0.05324299889484491,0.22770911467212462,-2.45496392250061,Non-significant,0.6426195852277068,KRT17,"Keratin, type I cytoskeletal 17",K1C17_HUMAN,Q04695
-2.09322714805603,13.445351481437676,,3.6146462026150535e-09,2.2372297245186596e-05,,FGL1_HUMAN,8,,3.6146462026150535e-09,2.2372297245186596e-05,2.09322714805603,Down,4.650289419136087,FGL1,Fibrinogen-like protein 1,FGL1_HUMAN,Q08830
1.41371027628581,6.363517443339031,,0.03688157267989002,0.18590385048822589,,MED21_HUMAN,5,,0.03688157267989002,0.18590385048822589,-1.41371027628581,Non-significant,0.7307116149162616,MED21,Mediator of RNA polymerase II transcription subunit 21,MED21_HUMAN,Q13503
-1.04322779178619,7.791691958904267,,0.0025880143461459036,0.038640754343368215,,EXT1_HUMAN,8,,0.0025880143461459036,0.038640754343368215,1.04322779178619,Down,1.4129544038930741,EXT1,Exostosin-1,EXT1_HUMAN,Q16394
1.13678328196208,6.321535428365069,,0.010147774252688516,0.0865736371243902,,CPEB3_HUMAN,5,,0.010147774252688516,0.0865736371243902,-1.13678328196208,Non-significant,1.0626143365560436,CPEB3,Cytoplasmic polyadenylation element-binding protein 3,CPEB3_HUMAN,Q8NE35
1.00843524932861,7.166216611862183,,0.00018748813930839195,0.010076437508404257,,NSE2_HUMAN,8,,0.00018748813930839195,0.010076437508404257,-1.00843524932861,Up,1.996692984151224,NSMCE2,E3 SUMO-protein ligase NSE2,NSE2_HUMAN,Q96MF7
1.13040673732758,7.844518482685087,,0.0019978309865889437,0.033024878481156546,,RTP3_HUMAN,8,,0.0019978309865889437,0.033024878481156546,-1.13040673732758,Up,1.4811587717470538,RTP3,Receptor-transporting protein 3,RTP3_HUMAN,Q9BQQ7
-1.18362319469452,5.815819442272189,,0.03532319522894452,0.18177005242970065,,WDR54_HUMAN,6,,0.03532319522894452,0.18177005242970065,1.18362319469452,Non-significant,0.7404776675160166,WDR54,WD repeat-containing protein 54,WDR54_HUMAN,Q9H977
-1.79178579648336,7.573515852292379,,0.0009918885189711011,0.02312145829692749,,OLFL3_HUMAN,7,,0.0009918885189711011,0.02312145829692749,1.79178579648336,Down,1.6359847779359493,OLFML3,Olfactomedin-like protein 3,OLFL3_HUMAN,Q9NRN5
-1.69523811340332,6.13370990753174,,0.0023496597541784753,0.03651995086797788,,S39A9_HUMAN,8,,0.0023496597541784753,0.03651995086797788,1.69523811340332,Down,1.4374698154143117,SLC39A9,Zinc transporter ZIP9,S39A9_HUMAN,Q9NUM3
-1.54832756519318,8.267443597316742,,0.0005430214170042605,0.01735817655643621,,DMBT1_HUMAN,8,,0.0005430214170042605,0.01735817655643621,1.54832756519318,Down,1.7604958985760453,DMBT1,Scavenger receptor cysteine-rich domain-containing protein DMBT1,DMBT1_HUMAN,Q9UGM3
0.0535411834716797,16.831957817077623,,0.2889405228765674,0.5661186202528914,,PAL4H_HUMAN,8,,0.2889405228765674,0.5661186202528914,-0.0535411834716797,Non-significant,0.24709256046588984,PPIAL4H,Peptidyl-prolyl cis-trans isomerase A-like 4H,PAL4H_HUMAN,A0A075B767
-0.112345218658447,11.876662731170676,,0.2849225406391178,0.5613740873726626,,SIM26_HUMAN,8,,0.2849225406391178,0.5613740873726626,0.112345218658447,Non-significant,0.25074763796234184,SMIM26,Small integral membrane protein 26,SIM26_HUMAN,A0A096LP01
0.0993032455444336,15.384550333023078,,0.002415421401037749,0.037214407662657746,,GAL3B_HUMAN;GAL3A_HUMAN,8,,0.002415421401037749,0.037214407662657746,-0.0993032455444336,Up,1.4292888892311975,GATD3B;GATD3,"Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial;Glutamine amidotransferase-like class 1 domain-containing protein 3, mitochondrial",GAL3B_HUMAN;GAL3A_HUMAN,A0A0B4J2D5;P0DPI2
0.572675228118896,9.52841186523438,,0.036225264892387275,0.1849002603552793,,PIOS1_HUMAN,8,,0.036225264892387275,0.1849002603552793,-0.572675228118896,Non-significant,0.7330624773168598,PIGBOS1,Protein PIGBOS1,PIOS1_HUMAN,A0A0B4J2F0
-0.868912935256958,6.510728478431702,,0.1005862275047277,0.3222638297731043,,GLYLB_HUMAN,7,,0.1005862275047277,0.3222638297731043,0.868912935256958,Non-significant,0.4917884360683775,GLYATL1B,Putative glycine N-acyltransferase-like protein 1B,GLYLB_HUMAN,A0A0U1RQE8
-0.27043883005778,6.341571648915606,,0.488654419716755,0.7402204205807991,,NBDY_HUMAN,6,,0.488654419716755,0.7402204205807991,0.27043883005778,Non-significant,0.1306389381233332,NBDY,Negative regulator of P-body association,NBDY_HUMAN,A0A0U1RRE5
-0.205756664276123,9.31086015701294,,0.0004347358639548364,0.01565824825756051,,A0AAG2UWQ9_HUMAN,8,,0.0004347358639548364,0.01565824825756051,0.205756664276123,Down,1.8052568255876988,NKRF,NF-kappa-B-repressing factor,A0AAG2UWQ9_HUMAN,A0AAG2UWQ9
-0.159491539001465,12.02398538589479,,0.00028494095897474127,0.012196598943946554,,A0AAG2UXZ5_HUMAN;COIA1_HUMAN,8,,0.00028494095897474127,0.012196598943946554,0.159491539001465,Down,1.9137612566857989,COL18A1,Collagen type XVIII alpha 1 chain;Collagen alpha-1(XVIII) chain,A0AAG2UXZ5_HUMAN;COIA1_HUMAN,A0AAG2UXZ5;P39060
-0.0579302310943604,12.45760905742646,,0.12442736428439856,0.36088787471639455,,RBM47_HUMAN,8,,0.12442736428439856,0.36088787471639455,0.0579302310943604,Non-significant,0.4426277093293103,RBM47,RNA-binding protein 47,RBM47_HUMAN,A0AV96
-0.065759539604187,8.134954035282135,,0.6026711180434899,0.8202054885741167,,TM129_HUMAN,8,,0.6026711180434899,0.8202054885741167,0.065759539604187,Non-significant,0.08607732886775257,TMEM129,E3 ubiquitin-protein ligase TM129,TM129_HUMAN,A0AVI4
-0.0281295776367188,11.986058712005626,,0.21896261764172684,0.4897905044010193,,UBA6_HUMAN,8,,0.21896261764172684,0.4897905044010193,0.0281295776367188,Non-significant,0.3099896388238291,UBA6,Ubiquitin-like modifier-activating enzyme 6,UBA6_HUMAN,A0AVT1
-0.103443384170532,13.3934427499771,,0.19641935399589533,0.462289804685461,,ESYT2_HUMAN,8,,0.19641935399589533,0.462289804685461,0.103443384170532,Non-significant,0.3350856843634975,ESYT2,Extended synaptotagmin-2,ESYT2_HUMAN,A0FGR8
-0.534164985020955,6.4211030403773,,0.4310169555486267,0.6917576952332019,,MED19_HUMAN,5,,0.4310169555486267,0.6917576952332019,0.534164985020955,Non-significant,0.16004600099260785,MED19,Mediator of RNA polymerase II transcription subunit 19,MED19_HUMAN,A0JLT2
0.0666465759277344,9.530179023742676,,0.003309726078120519,0.04413789769331584,,BLT3B_HUMAN,8,,0.003309726078120519,0.04413789769331584,-0.0666465759277344,Up,1.355188356311102,BLTP3B,Bridge-like lipid transfer protein family member 3B,BLT3B_HUMAN,A0JNW5
0.103211879730225,14.213453292846685,,0.0019634289353578104,0.03291962202683935,,SHOT1_HUMAN,8,,0.0019634289353578104,0.03291962202683935,-0.103211879730225,Up,1.4825451598692556,SHTN1,Shootin-1,SHOT1_HUMAN,A0MZ66
0.0016562938690185,9.101064085960388,,0.986860783233607,1.0,,TM223_HUMAN,8,,0.986860783233607,1.0,-0.0016562938690185,Non-significant,-0.0,TMEM223,Transmembrane protein 223,TM223_HUMAN,A0PJW6
0.144985675811768,7.3965946435928345,,0.6171054228530635,0.8290897487329664,,TMM82_HUMAN,8,,0.6171054228530635,0.8290897487329664,-0.144985675811768,Non-significant,0.08139845464904638,TMEM82,Transmembrane protein 82,TMM82_HUMAN,A0PJX8
-0.033707857131958,7.701287746429443,,0.6908350067715562,0.8740057061125077,,RHG10_HUMAN,8,,0.6908350067715562,0.8740057061125077,0.033707857131958,Non-significant,0.05848573198220369,ARHGAP10,Rho GTPase-activating protein 10,RHG10_HUMAN,A1A4S6
0.169745922088623,9.362694501876831,,0.017702369900575714,0.11699421918342484,,ARH37_HUMAN,8,,0.017702369900575714,0.11699421918342484,-0.169745922088623,Non-significant,0.93183559670481,ARHGEF37,Rho guanine nucleotide exchange factor 37,ARH37_HUMAN,A1IGU5
0.0359644889831543,12.785994291305535,,0.6214938535039918,0.8324598571183638,,HACL2_HUMAN,8,,0.6214938535039918,0.8324598571183638,-0.0359644889831543,Non-significant,0.07963669986647458,ILVBL,2-hydroxyacyl-CoA lyase 2,HACL2_HUMAN,A1L0T0
