"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BDM_vs_C","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-4.2475775,11.71648625,-81.437542264597,5.08065592915784e-12,3.07718840496768e-08,17.5729389787236,"TSP1_HUMAN",50,-85.6604831735469,5.74072128215498e-12,3.12709160237858e-08,-4.2475775,"Up in BDM",7.50485939671522,"THBS1","Thrombospondin-1","TSP1_HUMAN"
0.918899999999999,14.871425,41.461100783473,6.76759581481864e-10,3.89587171756102e-07,13.6982083658629,"ACOHC_HUMAN",48,82.1308182361396,7.73745293177925e-12,3.12709160237858e-08,0.918899999999999,"Up in C",7.50485939671522,"ACO1","Cytoplasmic aconitate hydratase","ACOHC_HUMAN"
-1.5974,11.2461,-54.5119955249928,9.33066092395364e-11,1.50839464496635e-07,15.4511755847859,"ANXA3_HUMAN",21,-72.5942795512446,1.85686651698269e-11,5.00301735225703e-08,-1.5974,"Up in BDM",7.30076799082508,"ANXA3","Annexin A3","ANXA3_HUMAN"
-2.04465,14.540775,-57.9808121051743,5.96710056548883e-11,1.50839464496635e-07,15.8153482266381,"FIBB_HUMAN",38,-62.8054841962824,5.18542910770079e-11,8.76117524956883e-08,-2.04465,"Up in BDM",7.05743763239727,"FGB","Fibrinogen beta chain","FIBB_HUMAN"
-1.302525,12.4998625,-46.4702877170638,2.96452534275767e-10,2.99528229318878e-07,14.4539159351213,"PAI1_HUMAN",22,-61.2306971211782,6.20808461085108e-11,8.76117524956883e-08,-1.302525,"Up in BDM",7.05743763239727,"SERPINE1","Plasminogen activator inhibitor 1","PAI1_HUMAN"
1.109775,14.1263625,43.3478874954785,4.90453515625926e-10,3.67379716764733e-07,13.9969482744487,"AL8A1_HUMAN",26,60.8305365835803,6.50340857322937e-11,8.76117524956883e-08,1.109775,"Up in C",7.05743763239727,"ALDH8A1","2-aminomuconic semialdehyde dehydrogenase","AL8A1_HUMAN"
-1.49035,14.5448,-55.9007167376177,7.77586093246759e-11,1.50839464496635e-07,15.6011983847861,"VIME_HUMAN",46,-57.2974426521386,9.93826261763401e-11,1.02357708280548e-07,-1.49035,"Up in BDM",6.98987944623399,"VIM","Vimentin","VIME_HUMAN"
-1.7109,11.803125,-50.0926104597273,1.72149349947351e-10,1.98783313660634e-07,14.932313819659,"K1C19_HUMAN",26,-57.1426120736122,1.0130665176845e-10,1.02357708280548e-07,-1.7109,"Up in BDM",6.98987944623399,"KRT19","Keratin, type I cytoskeletal 19","K1C19_HUMAN"
1.19555,11.52355,45.2179974197451,3.61276040486707e-10,3.24466026139339e-07,14.2759427091457,"VTDB_HUMAN",21,54.4812474940475,1.42037363268253e-10,1.27283639986926e-07,1.19555,"Up in C",6.89522741347122,"GC","Vitamin D-binding protein","VTDB_HUMAN"
1.48605,16.09535,50.8398999453944,1.54641500227902e-10,1.98783313660634e-07,15.0247699657308,"ALDOC_HUMAN",31,53.6937728381671,1.57470790531889e-10,1.27283639986926e-07,1.48605,"Up in C",6.89522741347122,"ALDOC","Fructose-bisphosphate aldolase C","ALDOC_HUMAN"
-1.24765,14.60755,-42.5989052553283,5.56378593699338e-10,3.74767347739312e-07,13.8805155929489,"VNN1_HUMAN",18,-52.1210954642351,1.94382532626647e-10,1.38513025131069e-07,-1.24765,"Up in BDM",6.85850938561344,"VNN1","Pantetheinase","VNN1_HUMAN"
-1.47825,10.9469,-43.2330399765225,4.99960025289133e-10,3.67379716764733e-07,13.9792741044107,"TRFM_HUMAN",39,-51.7086170612534,2.05636063537403e-10,1.38513025131069e-07,-1.47825,"Up in BDM",6.85850938561344,"MELTF","Melanotransferrin","TRFM_HUMAN"
0.980700000000002,14.432025,39.458357459287,9.68167561101586e-10,3.91284919819206e-07,13.3604305120351,"SERA_HUMAN",27,50.2599317398203,2.51482663545693e-10,1.48122879769456e-07,0.980700000000002,"Up in C",6.8293778530915,"PHGDH","D-3-phosphoglycerate dehydrogenase","SERA_HUMAN"
1.175275,12.2527625,38.3603628517415,1.18732176332329e-09,4.3623280967919e-07,13.1654811797704,"PURA1_HUMAN",29,49.6949396777097,2.72445193777396e-10,1.48122879769456e-07,1.175275,"Up in C",6.8293778530915,"ADSS1","Adenylosuccinate synthetase isozyme 1","PURA1_HUMAN"
-2.108225,13.4528625,-77.0201096772766,7.61397601130195e-12,3.07718840496768e-08,17.3151730587928,"FGL1_HUMAN",17,-49.632582877926,2.74878534769497e-10,1.48122879769456e-07,-2.108225,"Up in BDM",6.8293778530915,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN"
1.5106,13.404875,41.1810342226361,7.10768154978438e-10,3.89587171756102e-07,13.6522963460327,"GNMT_HUMAN",15,47.5434177128978,3.72725940825252e-10,1.88296486230657e-07,1.5106,"Up in C",6.72515778420466,"GNMT","Glycine N-methyltransferase","GNMT_HUMAN"
-1.0263,12.5802,-34.7031788084079,2.44907574457134e-09,5.35023763334327e-07,12.4604083619905,"LG3BP_HUMAN",20,-45.2800467372504,5.26444283516097e-10,2.50308773156507e-07,-1.0263,"Up in BDM",6.60152392839143,"LGALS3BP","Galectin-3-binding protein","LG3BP_HUMAN"
1.025925,17.6544125,34.9485290524511,2.32757186205593e-09,5.22604537805502e-07,12.5106048925003,"BHMT1_HUMAN",31,44.8707522825396,5.61389881320718e-10,2.52095245039742e-07,1.025925,"Up in C",6.59843534580502,"BHMT","Betaine--homocysteine S-methyltransferase 1","BHMT1_HUMAN"
-1.046625,10.5513875,-39.8261935976798,9.05334154102433e-10,3.89587171756102e-07,13.4241535759567,"ITA2_HUMAN",32,-44.458222605396,5.99314212257496e-10,2.54960883035649e-07,-1.046625,"Up in BDM",6.59352644538918,"ITGA2","Integrin alpha-2","ITA2_HUMAN"
1.08965,13.353125,36.1038099481272,1.84020723660348e-09,4.79819196563417e-07,12.7411504337549,"BUP1_HUMAN",23,43.7487277232306,6.71582405561744e-10,2.67973022376495e-07,1.08965,"Up in C",6.57190892545911,"UPB1","Beta-ureidopropionase","BUP1_HUMAN"
-0.953524999999999,11.5236375,-34.2835301006136,2.67400022488602e-09,5.54203687634711e-07,12.3735161341308,"4F2_HUMAN",23,-43.5266774490687,6.96206046010936e-10,2.67973022376495e-07,-0.953524999999999,"Up in BDM",6.57190892545911,"SLC3A2","Amino acid transporter heavy chain SLC3A2","4F2_HUMAN"
