"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D_vs_DM","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Ids"
2.51873798948803,16.9923460973521,21.5484144588425,4.44725769114825e-08,0.000129488604704997,8.59925943982817,"P00973;H0YI20",6,23.1306798907944,1.1295708268522e-09,2.6887550915172e-06,-2.51873798948803,"Up in D",5.57044875420904,"OAS1","2'-5'-oligoadenylate synthase 1","P00973;H0YI20"
3.24659118649548,20.2194899143015,21.5217119660314,4.48866513282699e-08,0.000129488604704997,8.59320964457525,"P05161;A0A096LNZ9;A0A096LPJ4",13,23.9895595030341,8.03164322911105e-10,2.6887550915172e-06,-3.24659118649548,"Up in D",5.57044875420904,"ISG15","Ubiquitin-like protein ISG15","P05161;A0A096LNZ9;A0A096LPJ4"
2.02075533869616,19.9136727269266,20.9750892313651,5.43993578091292e-08,0.000129488604704997,8.4663416168951,"P42224;A0A669KB52;A0A669KB68;A0A669KB75;A0A669KBA4;A0A669KB53;E7EPD2;A0A669KBI6;A0A669KB56;J3KPM9",31,23.6121581760397,9.31625730171305e-10,2.6887550915172e-06,-2.02075533869616,"Up in D",5.57044875420904,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","P42224;A0A669KB52;A0A669KB68;A0A669KB75;A0A669KBA4;A0A669KB53;E7EPD2;A0A669KBI6;A0A669KB56;J3KPM9"
1.40219100828548,16.981940839367,20.0974538108015,7.48403663336303e-08,0.000133608763997113,8.24995884709283,"Q8TDB6",14,22.1746141465844,1.67562738992893e-09,2.99141379787063e-06,-1.40219100828548,"Up in D",5.52412350749635,"DTX3L","E3 ubiquitin-protein ligase DTX3L","Q8TDB6"
1.66050467884802,18.4412837598357,18.5740000978599,1.34625334061069e-07,0.000192271902106019,7.83310073995789,"Q9Y6K5",26,20.8879154452771,2.92601933490775e-09,4.17894081411524e-06,-1.66050467884801,"Up in D",5.37893377967838,"OAS3","2'-5'-oligoadenylate synthase 3","Q9Y6K5"
1.50178577587065,18.8505357634328,16.6913686440694,2.97551143533432e-07,0.000303544673710319,7.23334295359244,"Q9BYK8",58,18.8829817563591,7.47571894303249e-09,8.89735149536583e-06,-1.50178577587064,"Up in D",5.0507392520211,"HELZ2","Helicase with zinc finger domain 2","Q9BYK8"
1.04571255230655,19.5608769593601,15.3269661295713,5.58688499637201e-07,0.000398959457590925,6.72871405242866,"P19525;F8WBH4;C9JZT2",25,17.2805924331556,1.69844446492835e-08,1.51607399050667e-05,-1.04571255230655,"Up in D",4.81927960286978,"EIF2AK2","Interferon-induced, double-stranded RNA-activated protein kinase","P19525;F8WBH4;C9JZT2"
0.938015808623042,19.1111261239439,16.3326780256889,3.49440768716889e-07,0.000311919566175913,7.10687777004911,"P23497;Q9H930;E9PHV6;C9JBL0;U5Y3L1;H7BYP4",11,17.4744189968522,1.53219603803362e-08,1.51607399050667e-05,-0.938015808623035,"Up in D",4.81927960286978,"SP100","Nuclear autoantigen Sp-100","P23497;Q9H930;E9PHV6;C9JBL0;U5Y3L1;H7BYP4"
1.20845603639836,16.7135876725448,17.8831427038915,1.7842951995791e-07,0.000212360867003239,7.62478088309145,"Q96AZ6;H0YMM4",4,16.0276356311335,3.39768614871496e-08,2.69587519866372e-05,-1.20845603639836,"Up in D",4.56930021665683,"ISG20","Interferon-stimulated gene 20 kDa protein","Q96AZ6;H0YMM4"
1.7990188066476,16.6868897149011,14.3233901379601,9.19444942935159e-07,0.000562027597338566,6.31325275574279,"O15162;C9JE06;C9J0H3;C9J7K9",4,14.8721589081777,6.74640649509465e-08,4.62116690143499e-05,-1.7990188066476,"Up in D",4.33524834590171,"PLSCR1","Phospholipid scramblase 1","O15162;C9JE06;C9J0H3;C9J7K9"
0.792075698040986,17.5586295175774,14.2711231524562,9.44451921028259e-07,0.000562027597338566,6.29048218874491,"Q03519;X5CMH5;A0A087WYD6;A0A0G2JLV0",9,14.7850753440165,7.11844782464429e-08,4.62116690143499e-05,-0.792075698040982,"Up in D",4.33524834590171,"TAP2","Antigen peptide transporter 2","Q03519;X5CMH5;A0A087WYD6;A0A0G2JLV0"
1.81949441687291,17.3751078709271,12.9200793878765,1.95488191491399e-06,0.000997129411028629,5.65881523023888,"O14933;E9PKW8;E9PQT7",5,13.8878395331927,1.25961738914102e-07,6.54563466506262e-05,-1.81949441687291,"Up in D",4.18404823785708,"UBE2L6","Ubiquitin/ISG15-conjugating enzyme E2 L6","O14933;E9PKW8;E9PQT7"
-0.718950423106058,19.7042373626458,-13.0761852795591,1.79097216839629e-06,0.00098379478880907,5.73627038591588,"P16444",10,-13.7546242159151,1.37494076426186e-07,6.54563466506262e-05,0.718950423106062,"Up in DM",4.18404823785708,"DPEP1","Dipeptidase 1","P16444"
0.376636700351959,22.5499457604163,11.8116016112381,3.74969539419741e-06,0.00157509263588022,5.07141739167236,"Q08380",27,13.7941140687599,1.33958719592443e-07,6.54563466506262e-05,-0.376636700351952,"Non-significant",4.18404823785708,"LGALS3BP","Galectin-3-binding protein","Q08380"
0.736673481693476,19.5419653859875,12.0122821368462,3.31919820824276e-06,0.00148139965031635,5.18285805651018,"Q63HN8;A0A0A0MTC1;A0A0A0MTR7",92,13.7991173041867,1.33517988024341e-07,6.54563466506262e-05,-0.736673481693479,"Up in D",4.18404823785708,"RNF213","E3 ubiquitin-protein ligase RNF213","Q63HN8;A0A0A0MTC1;A0A0A0MTR7"
