"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","C_vs_B","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Ids"
0.610292434692376,21.8487668037415,21.186506126394,7.35315492277717e-08,0.000264750342994592,8.48187887624558,"P49327;A0A0U1RQF0",146,27.0041775458281,1.07863369797151e-09,7.76724125909287e-06,-0.610292434692376,"Up in C",5.10973320496965,"FASN","Fatty acid synthase","P49327;A0A0U1RQF0"
0.577461242675806,20.7369027137756,18.0131377145234,2.37570858362161e-07,0.00042768693776648,7.5776341719389,"Q68CK6;Q08AH3;F5GWL3;H3BTX9;A0A087WU25",30,21.1069104761316,8.9333538696161e-09,3.21645406075528e-05,-0.577461242675803,"Up in C",4.49262264706261,"ACSM2B","Acyl-coenzyme A synthetase ACSM2B, mitochondrial","Q68CK6;Q08AH3;F5GWL3;H3BTX9;A0A087WU25"
0.791552066803003,20.1263411045074,18.1870883205892,2.21670850863397e-07,0.00042768693776648,7.63353961513971,"Q02338;E9PCG9;C9K0G7;H7C2W1",12,18.976160213766,2.21478321128473e-08,5.31621796815379e-05,-0.791552066803,"Up in C",4.27439722102769,"BDH1","D-beta-hydroxybutyrate dehydrogenase, mitochondrial","Q02338;E9PCG9;C9K0G7;H7C2W1"
-4.55120277404782,16.9805960655212,-16.8837383246943,3.78597366888811e-07,0.000476609027813935,7.19391006939079,"P03138",3,-17.8753918631048,3.68126425760993e-08,5.46818472214809e-05,4.55120277404783,"Up in B",4.26215682284332,"S","Large envelope protein","P03138"
0.6180562973022,21.3239855766296,15.5895161256503,6.70867427367424e-07,0.00064916416436132,6.70550857507173,"P08319;P00325;A0A0D9SFB5;D6R9K8;D6RHZ6;H0Y9N0;D6RIB1;V9HW50",27,17.6744624017724,4.05200825402352e-08,5.46818472214809e-05,-0.618056297302196,"Up in C",4.26215682284332,"ADH4","All-trans-retinol dehydrogenase [NAD(+)] ADH4","P08319;P00325;A0A0D9SFB5;D6R9K8;D6RHZ6;H0Y9N0;D6RIB1;V9HW50"
-0.617238521575928,21.1443226337433,-15.180687569154,8.11342518990679e-07,0.00064916416436132,6.53921914806259,"P21980",37,-17.4318109956257,4.55618779792925e-08,5.46818472214809e-05,0.617238521575928,"Up in B",4.26215682284332,"TGM2","Protein-glutamine gamma-glutamyltransferase 2","P21980"
0.339939117431605,19.8156113624573,13.0381976310819,2.39544062263698e-06,0.00110222245032007,5.55793360507584,"O75891;Q3SY69;A0A494C1M4",49,16.8075266405521,6.20574063182136e-08,5.91661795058328e-05,-0.339939117431598,"Non-significant",4.22792647319559,"ALDH1L1","Cytosolic 10-formyltetrahydrofolate dehydrogenase","O75891;Q3SY69;A0A494C1M4"
-5.53384351730343,17.6315052509308,-15.4323175298596,7.21339146762889e-07,0.00064916416436132,6.64228948165307,"P03146;P0C573",5,-16.6936911553607,6.57310701356287e-08,5.91661795058328e-05,5.53384351730342,"Up in B",4.22792647319559,"C","Capsid protein","P03146;P0C573"
1.21721649169923,22.3958687782288,14.6756472878678,1.03312539531308e-06,0.000743953597164949,6.32513035689018,"GSTA1_HUMAN;P08263;Q7RTV2;Q16772;P09210;Q5JW85",14,15.8754885583953,1.00502007131629e-07,7.68356702806509e-05,-1.21721649169923,"Up in C",4.11443711578068,"GSTA2","Glutathione S-transferase A2","GSTA1_HUMAN;P08263;Q7RTV2;Q16772;P09210;Q5JW85"
0.422251701354977,20.5745759010315,13.2726331195827,2.11133004903534e-06,0.00108597769165025,5.6751804344228,"O95954",35,15.763230094822,1.06701389085753e-07,7.68356702806509e-05,-0.422251701354977,"Non-significant",4.11443711578068,"FTCD","Formimidoyltransferase-cyclodeaminase","O95954"
