"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BDM_vs_BD","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Ids"
-3.16022920608523,18.7570507526398,-12.0929134565714,4.23521720583959e-06,0.0101659330330836,4.12015120973647,"P03146;P0C573",5,-12.951003729333,6.16634596250098e-07,0.00222019286379848,3.16022920608523,"Up in BD",2.65360929760102,"C","Capsid protein","P03146;P0C573"
0.531667709350554,25.157422542572,12.6795374796919,3.03717846318682e-06,0.0101659330330836,4.32470582321076,"P16403;P10412;P16402",13,13.2602200767345,5.078207382676e-07,0.00222019286379848,-0.53166770935055,"Up in BDM",2.65360929760102,"H1-4","Histone H1.4","P16403;P10412;P16402"
-3.17350769042967,16.7391548156738,-9.38412173514116,2.44769903064496e-05,0.0374063838491014,2.90729819362567,"P0C6L3;P29996",2,-9.81318230461963,5.83586405393431e-06,0.0140080190174603,3.17350769042968,"Up in BD",1.85362327732064,"TRFE_HUMAN","Small delta antigen","P0C6L3;P29996"
0.460038661956801,22.5497748851776,9.30274153370011,2.59730480829756e-05,0.0374063838491014,2.8625499501793,"P16401",9,9.24105205649666,9.3936157356762e-06,0.0169108567281511,-0.460038661956801,"Non-significant",1.77183438986627,"H1-5","Histone H1.5","P16401"
0.800070285797126,19.6465790271759,8.03732758166386,6.95060921889591e-05,0.0636139116915379,2.08771255579512,"P16444",10,8.56365362215802,1.70557147558813e-05,0.0204697003261835,-0.800070285797123,"Up in BDM",1.68888851530709,"DPEP1","Dipeptidase 1","P16444"
-0.292389392852755,19.6792266368866,-8.01724122258848,7.06723085033055e-05,0.0636139116915379,2.07411424043234,"Q96SB4;H3BLV9",16,-8.65485135219641,1.57049714661605e-05,0.0204697003261835,0.292389392852748,"Non-significant",1.68888851530709,"SRPK1","SRSF protein kinase 1","Q96SB4;H3BLV9"
0.536857128143271,18.2178251743317,8.13321207607892,6.42287838326965e-05,0.0636139116915379,2.15202672073477,"P30039;V9GY00;A0A0C4DFS0",8,8.24585268983641,2.28664110631776e-05,0.0207972467043328,-0.536857128143275,"Up in BDM",1.68199415639601,"PBLD","Phenazine biosynthesis-like domain-containing protein","P30039;V9GY00;A0A0C4DFS0"
0.30892705917358,18.1330592632294,7.62198828554083,9.87497804194968e-05,0.0790107965334218,1.797416681007,"Q8IY18",16,8.23478445419701,2.31048428877465e-05,0.0207972467043328,-0.308927059173577,"Non-significant",1.68199415639601,"SMC5","Structural maintenance of chromosomes protein 5","Q8IY18"
-0.209794998168924,19.3584957122803,-6.26140364240631,0.000350537935324637,0.100968946890908,0.697677384647154,"O00541;B5MCF9",21,-7.08107066365168,7.27003575989591e-05,0.0290841819483391,0.209794998168924,"Non-significant",1.53634314710779,"PES1","Pescadillo homolog","O00541;B5MCF9"
-2.40442180633545,18.1797971725464,-6.72092762607942,0.000223636023018014,0.083453787702922,1.09654330519853,"P03138",3,-7.15654297534846,6.71668053054562e-05,0.0290841819483391,2.40442180633545,"Up in BD",1.53634314710779,"S","Large envelope protein","P03138"
-0.463181018829381,18.0503218173981,-7.38290667427174,0.000121726245891092,0.0805858978861431,1.62129646406552,"P11168",8,-7.43542838551947,5.03972848849664e-05,0.0290841819483391,0.463181018829378,"Non-significant",1.53634314710779,"SLC2A2","Solute carrier family 2, facilitated glucose transporter member 2","P11168"
-0.161357402801478,21.4632661342621,-5.87232083075895,0.000522735985395267,0.121426510671978,0.335945802209957,"P15848;A0A2U3U034",30,-7.23927072856768,6.1627625727951e-05,0.0290841819483391,0.161357402801475,"Non-significant",1.53634314710779,"ARSB","Arylsulfatase B","P15848;A0A2U3U034"
0.412477016449003,22.4075968265534,6.79699079265882,0.000208065183159857,0.0832376324407849,1.15974313002984,"P19224;C9JMY5",19,7.42795169422143,5.07814578633617e-05,0.0290841819483391,-0.412477016448999,"Non-significant",1.53634314710779,"UGT1A6","UDP-glucuronosyltransferase 1-6","P19224;C9JMY5"
