"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","CM_vs_C","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Ids"
0.418163299560575,19.4975156784058,9.68700010899147,1.93407594552145e-05,0.0696364044184998,2.32727165490827,"P16444",10,9.71884952776036,6.30196666933929e-06,0.0235384518193638,-0.418163299560575,"Non-significant",1.62822210514672,"DPEP1","Dipeptidase 1","P16444"
-0.513021469116246,20.8161301612854,-12.2565849577124,3.7672116668182e-06,0.0271276912127578,3.12537780928963,"Q9BVK6",5,-9.67406607548312,6.53755084553917e-06,0.0235384518193638,0.513021469116254,"Up in C",1.62822210514672,"TMED9","Transmembrane emp24 domain-containing protein 9","Q9BVK6"
0.31750249862673,22.0216286182404,7.74744378471669,8.73730406335419e-05,0.14322152963336,1.41570285334319,"P19224;C9JMY5",19,8.5487499855142,1.72884154792984e-05,0.0322844933095924,-0.317502498626727,"Non-significant",1.4910060252586,"UGT1A6","UDP-glucuronosyltransferase 1-6","P19224;C9JMY5"
-0.285159111022956,19.4622139930725,-7.59721868688811,9.94455836920981e-05,0.14322152963336,1.32978737484582,"P32754;A0A0B4J1R4",21,-8.50857543537658,1.79333388749298e-05,0.0322844933095924,0.285159111022949,"Non-significant",1.4910060252586,"HPD","4-hydroxyphenylpyruvate dioxygenase","P32754;A0A0B4J1R4"
-0.1788492202759,20.1035633087158,-6.19573938147422,0.000370340600025171,0.293889503863532,0.392900448433601,"P21397",26,-7.36117019875338,5.43594450388841e-05,0.0581604232604509,0.1788492202759,"Non-significant",1.23537244157458,"MAOA","Amine oxidase [flavin-containing] A","P21397"
-0.136798858642575,21.1968965530396,-5.57256721114924,0.000713330954871835,0.293889503863532,-0.114369536810775,"Q15067;K7ENF1;K7ESC7",37,-7.32285309669703,5.65370035860514e-05,0.0581604232604509,0.136798858642575,"Non-significant",1.23537244157458,"ACOX1","Peroxisomal acyl-coenzyme A oxidase 1","Q15067;K7ENF1;K7ESC7"
-0.165971279144301,23.55903840065,-6.00665274439013,0.000449566751618401,0.293889503863532,0.245473149859378,"Q9H3G5;C9JLV0",30,-7.35030527736669,5.49673735053464e-05,0.0581604232604509,0.165971279144301,"Non-significant",1.23537244157458,"CPVL","Probable serine carboxypeptidase CPVL","Q9H3G5;C9JLV0"
-0.115572929382324,20.0018887519836,-5.23748598699347,0.00103584729146826,0.293889503863532,-0.413610503972526,"P28288;A0A3B3ITW3",31,-7.03741568942867,7.61285381759655e-05,0.0685252004256409,0.115572929382328,"Non-significant",1.16414968554224,"ABCD3","ATP-binding cassette sub-family D member 3","P28288;A0A3B3ITW3"
-0.363467216491728,25.7672152519226,-6.47939416467711,0.00027906134822167,0.287074395506321,0.604009463983775,"P07148;A8MW49",11,-6.77717706418843,0.000100636840401862,0.0805206541926456,0.363467216491724,"Non-significant",1.09409270532956,"FABP1","Fatty acid-binding protein, liver","P07148;A8MW49"
-0.10261058807378,21.3543729782105,-4.72206401482734,0.00189488498706501,0.310115154360344,-0.912630609272491,"Q12931;I3L239;I3L0K7;I3L2D5",34,-6.53769281286749,0.000131005169580927,0.0943368226152255,0.102610588073773,"Non-significant",1.02531875543728,"TRAP1","Heat shock protein 75 kDa, mitochondrial","Q12931;I3L239;I3L0K7;I3L2D5"
