"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","CTRL.myr_vs_CTRL","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Ids"
2.0538280832393,19.2832932951228,16.6254399824245,2.03162892686713e-08,9.53856226116647e-06,9.95240866705749,"P49411",4,17.1587688906413,6.53480502013625e-09,6.05122944864616e-06,-2.0538280832393,"Up in CTRL.myr",5.21815637931155,"TUFM","Elongation factor Tu, mitochondrial","P49411"
2.7503831937665,18.7514692754345,16.6006381914741,2.06016463524114e-08,9.53856226116647e-06,9.9399000545421,"Q86WN2",1,14.5424204142155,3.37449523643422e-08,1.56239129446905e-05,-2.7503831937665,"Up in CTRL.myr",4.80621018957081,"IFNE","Interferon epsilon","Q86WN2"
1.64653668330738,20.474104092911,10.7102299354849,1.14822854683236e-06,0.000212651926873353,6.10896914780358,"P25705",5,11.2542683475012,4.09089908157652e-07,0.000124653112594924,-1.64653668330737,"Up in CTRL.myr",3.90429687266825,"ATP5F1A","ATP synthase subunit alpha, mitochondrial","P25705"
2.08937263639227,20.1803714998226,12.4344550307164,2.97697783854038e-07,9.18893826162799e-05,7.4383182114894,"Q9C099",1,10.9356789370813,5.38458369740494e-07,0.000124653112594924,-2.08937263639228,"Up in CTRL.myr",3.90429687266825,"LRRCC1","Leucine-rich repeat and coiled-coil domain-containing protein 1","Q9C099"
2.12103711922625,17.4023696767097,11.264485460432,7.2960886771335e-07,0.000168904452875641,6.55942294362998,"Q9UPZ9",1,10.1975411454856,1.0457722195588e-06,0.000193677015062289,-2.12103711922625,"Up in CTRL.myr",3.71292191683339,"CILK1","Serine/threonine-protein kise ICK","Q9UPZ9"
-0.898143962273526,24.4163811050299,-7.84071055934841,1.74278329875739e-05,0.00146710666786304,3.34516300815471,"P10809",28,-8.98371749536508,3.416159817596e-06,0.000527227331848983,0.898143962273522,"Up in CTRL",3.27800208368811,"HSPD1","60 kDa heat shock protein, mitochondrial","P10809"
0.946058047232253,19.3304412133912,7.4742697610666,2.60436019878424e-05,0.00172259824576729,2.93035551045403,"P02671",24,8.37264796976679,6.51193020979597e-06,0.000776273254839375,-0.946058047232249,"Up in CTRL.myr",3.10998537644867,"FGA","Fibrinogen alpha chain","P02671"
1.0043806978024,20.1420375866922,7.55061490196497,2.39242822347853e-05,0.00170414502687778,3.01810299543239,"P02749",14,8.33455763470123,6.78723044207931e-06,0.000776273254839375,-1.0043806978024,"Up in CTRL.myr",3.10998537644867,"APOH","Beta-2-glycoprotein 1","P02749"
1.2840003434844,18.4667337972443,7.85473958878833,1.71666925090139e-05,0.00146710666786304,3.36072846420479,"P29622",5,8.23782237871415,7.54477245524231e-06,0.000776273254839375,-1.2840003434844,"Up in CTRL.myr",3.10998537644867,"SERPI4","Kallistatin","P29622"
0.863226953144622,20.0596366019528,7.1547354015501,3.74135648607537e-05,0.00205360045037558,2.55530306647711,"P02679",25,8.09139158955881,8.87141508142134e-06,0.000810989020674099,-0.863226953144625,"Up in CTRL.myr",3.09098502531157,"FGG","Fibrinogen gamma chain","P02679"
1.06056556197073,31.410952200677,7.23101963814928,3.42779943196272e-05,0.00205360045037558,2.64600016898865,"P02768",82,8.01762172570101,9.63377886329923e-06,0.000810989020674099,-1.06056556197073,"Up in CTRL.myr",3.09098502531157,"ALB","Albumin","P02768"
