"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","CTRL_vs_HBV","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Ids"
-1.20752520114322,24.0394645182242,-12.4458564853985,8.89472566388622e-07,9.61656474939371e-05,6.44141706780562,"P01024",126,-21.985965050776,5.38199159962112e-09,1.724389275952e-06,1.20752520114322,"Up in HBV",5.76336468670504,"C3","Complement C3","P01024"
-6.75662612915038,17.7869973182678,-21.628703531508,9.00021290714642e-09,4.16709857600879e-06,10.8185233709146,"P03138",4,-21.8914147513977,5.58657432813824e-09,1.724389275952e-06,6.75662612915037,"Up in HBV",5.76336468670504,"S","Large envelope protein","P03138"
-7.6476182937622,17.831374168396,-22.2384649163269,7.12048115668958e-09,4.16709857600879e-06,11.0217076329336,"P03146",8,-22.6029478992971,4.23488497498313e-09,1.724389275952e-06,7.6476182937622,"Up in HBV",5.76336468670504,"C","Capsid protein","P03146"
-1.1627572009169,21.2086051365238,-12.2909513996868,9.85070559603425e-07,9.61656474939371e-05,6.33776968257416,"P00450",46,-17.4470261652307,3.94943647210782e-08,7.31435634634368e-06,1.1627572009169,"Up in HBV",5.13582388519557,"CP","Ceruloplasmin","P00450"
-1.51830893669163,31.6398238880375,-13.1828270929937,5.55695651837564e-07,9.61656474939371e-05,6.9163630315322,"P02768",82,-17.5897185737982,3.68292662015321e-08,7.31435634634368e-06,1.51830893669162,"Up in HBV",5.13582388519557,"ALB","Albumin","P02768"
-1.04090173744053,20.4931309563699,-10.4913541207452,3.53844435457627e-06,0.000136166339062098,5.02429783842545,"P0C0L4",61,-15.1880720138771,1.29107745235704e-07,1.9925628681377e-05,1.04090173744052,"Up in HBV",4.70058796711902,"C4A","Complement C4-A","P0C0L4"
-1.46523397634897,20.3724642259654,-13.6042099520302,4.29209187811681e-07,9.61656474939371e-05,7.17515323713381,"P02749",14,-14.8808784735685,1.53598469059996e-07,2.03188831927937e-05,1.46523397634898,"Up in HBV",4.6921001662964,"APOH","Beta-2-glycoprotein 1","P02749"
-1.19469387793033,21.1839461126205,-10.6758955307503,3.07714046242985e-06,0.000136166339062098,5.16901429927569,"P02751",83,-14.5878530246202,1.8184672623916e-07,2.10487585621827e-05,1.19469387793032,"Up in HBV",4.67677351339091,"FN1","Fibronectin","P02751"
-1.68608988279937,17.1853495097324,-15.1784916471514,1.73863783357364e-07,5.36659544629731e-05,8.06824841140919,"M0R1Q1",2,-14.3539881714653,2.08549439677306e-07,2.14574201267984e-05,1.68608988279938,"Up in HBV",4.66842249541985,"C3","Complement C3 (Fragment)","M0R1Q1"
-0.992717982818782,20.6329261190677,-9.98329426185509,5.25706398357098e-06,0.000174342460819334,4.61273683350737,"P00736",41,-13.2432282718399,4.11759681649576e-07,2.93305896850457e-05,0.992717982818775,"Up in HBV",4.53267920553677,"C1R","Complement C1r subcomponent","P00736"
