"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","HBV.myr_vs_CTRL","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Ids"
1.03029035122318,23.2093208845499,29.3223976657921,2.31621822682182e-09,7.14037263856106e-06,12.2084948990784,"Q3LXA3",45,35.9477786151481,9.81686718655357e-12,5.85379790334189e-08,-1.03029035122319,"Up in HBV.myr",7.23256227523644,"TKFC","Triokinase/FMN cyclase","Q3LXA3"
-1.08528435435688,22.3092818204936,-25.4541603342245,7.02560647070912e-09,7.14037263856106e-06,11.2304263836226,"O95497",22,-29.0546733290778,7.76740416225207e-11,8.16058155951772e-08,1.08528435435687,"Up in CTRL",7.08827889037731,"VNN1","Pantetheinase","O95497"
1.27661815912842,20.8827433275423,24.4657349162379,9.57957087179079e-09,7.14037263856106e-06,10.947024165943,"P02647",23,27.749778220329,1.21254753346513e-10,8.16058155951772e-08,-1.27661815912842,"Up in HBV.myr",7.08827889037731,"APOA1","Apolipoprotein A-I","P02647"
2.01038197414042,21.7419207252971,24.5359965959798,9.36698135780004e-09,7.14037263856106e-06,10.9676733902221,"P02679",37,27.7049612645298,1.2316826100228e-10,8.16058155951772e-08,-2.01038197414042,"Up in HBV.myr",7.08827889037731,"FGG","Fibrinogen gamma chain","P02679"
-1.03495125868286,18.2381849274512,-26.4321219738094,5.22866011888041e-09,7.14037263856106e-06,11.4964936351113,"P02786",22,-30.3198831842504,5.13677462857786e-11,8.16058155951772e-08,1.03495125868285,"Up in CTRL",7.08827889037731,"TFRC","Transferrin receptor protein 1","P02786"
0.919534404599631,24.7467062288273,23.8226012484312,1.17991376050388e-08,7.30036827182447e-06,10.754281062484,"P05089",31,28.153071345952,1.05435247751072e-10,8.16058155951772e-08,-0.919534404599631,"Up in HBV.myr",7.08827889037731,"ARG1","Arginase-1","P05089"
0.912495430503242,23.735340161459,24.4961655951815,9.48683812321304e-09,7.14037263856106e-06,10.9559771390981,"P09488",29,28.9398959120771,8.07132353065452e-11,8.16058155951772e-08,-0.912495430503245,"Up in HBV.myr",7.08827889037731,"GSTM1","Glutathione S-transferase Mu 1","P09488"
1.02977926831664,24.2720045936587,26.0936498855969,5.78440720561945e-09,7.14037263856106e-06,11.4059581334284,"P50440",40,31.1658285405144,3.93250965567853e-11,8.16058155951772e-08,-1.02977926831664,"Up in HBV.myr",7.08827889037731,"GATM","Glycine amidinotransferase, mitochondrial","P50440"
0.96118692670737,24.6834528766052,23.7104247848592,1.22427775814598e-08,7.30036827182447e-06,10.7199585534992,"Q93088",43,28.2813443585165,1.00891209614565e-10,8.16058155951772e-08,-0.96118692670737,"Up in HBV.myr",7.08827889037731,"BHMT","Betaine--homocysteine S-methyltransferase 1","Q93088"
0.722996701057312,21.3811219101706,23.0722444123019,1.51532156880048e-08,7.52341368379548e-06,10.5205709638951,"P10253",23,27.1359475518944,1.50584900718513e-10,8.9793776298449e-08,-0.722996701057308,"Up in HBV.myr",7.04675376369917,"GAA","Lysosomal alpha-glucosidase","P10253"
