"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BD_vs_B2","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-5.77280592918395,14.3967238664627,-203.579767946728,1.45125018388355e-15,1.17754439920311e-11,23.4118920006087,"MX1_HUMAN",43,-263.81434769175,1.40137442128043e-17,1.13707520542694e-13,-0.129854679107648,"Non-significant",12.944210810403,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
-5.33596682548522,13.3139861822128,-179.602972491215,3.78489936391746e-15,1.53553367194131e-11,23.0667007245089,"IFIT1_HUMAN",34,-217.578903567044,6.9345847902105e-17,2.8133610493884e-13,0.0203099250792995,"Non-significant",12.5507745295855,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN"
-5.42394495010375,13.5547540187836,-159.224766548222,9.50914819745041e-15,2.57190761580376e-11,22.6772142477599,"IFIT2_HUMAN",29,-180.517995746871,3.26580646357259e-16,8.83291788180934e-13,-0.175910949707026,"Non-significant",12.053895807109,"IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","IFIT2_HUMAN"
-5.05439591407777,13.5509685277939,-142.357863315372,2.23925491586454e-14,4.54232859683121e-11,22.2611751072175,"IFIT3_HUMAN",30,-161.090391247742,8.40091640818517e-16,1.70412589340036e-12,-0.141009092330952,"Non-significant",11.768498324599,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","IFIT3_HUMAN"
-3.0960488319397,14.9327161312103,-114.816802194925,1.15943503141393e-13,1.56794264081543e-10,21.3115937565604,"STAT1_HUMAN",41,-151.621656680308,1.38873491811524e-15,2.25363902511741e-12,-0.354059934616075,"Non-significant",11.6471156455012,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1_HUMAN"
-4.8511393070221,15.0225194692611,-122.958420599148,6.86610105780238e-14,1.11423087966017e-10,21.6357581557354,"ISG15_HUMAN",15,-119.450727583248,1.00441147931846e-14,1.358299123865e-11,-0.123623847961426,"Non-significant",10.8670045794378,"ISG15","Ubiquitin-like protein ISG15","ISG15_HUMAN"
-2.5891225337982,11.443985581398,-90.9688848648244,6.87659636320943e-13,6.97458786138517e-10,20.064188281008,"SLFN5_HUMAN",37,-114.111976914388,1.4677054458376e-14,1.70128028393232e-11,-0.149052143096924,"Non-significant",10.7692241309862,"SLFN5","Schlafen family member 5","SLFN5_HUMAN"
-4.30309486389158,11.4337210655212,-110.778309576698,1.52463170827845e-13,1.76726595442447e-10,21.134220941961,"ISG20_HUMAN",11,-95.9855919332805,6.16239424704683e-14,6.25020836506725e-11,0.039216279983517,"Non-significant",10.2041055042094,"ISG20","Interferon-stimulated gene 20 kDa protein","ISG20_HUMAN"
-2.91950607299802,13.3613951206207,-75.8354568528321,2.76297684621215e-12,2.03014479084037e-09,18.9454217228082,"RIGI_HUMAN",56,-89.607776844813,1.08986932866678e-13,9.82577748089141e-11,-0.213709354400624,"Non-significant",10.0076330753239,"RIGI","Antiviral innate immune response receptor RIG-I","RIGI_HUMAN"
-3.2926380634308,10.6651977300644,-76.7987774972407,2.50889412264118e-12,2.03014479084037e-09,19.026715112931,"IFIH1_HUMAN",45,-87.2598447815075,1.35828935332557e-13,1.10211598128837e-10,-0.332633614540103,"Non-significant",9.95777270005492,"IFIH1","Interferon-induced helicase C domain-containing protein 1","IFIH1_HUMAN"
-2.71083569526673,10.7400447130203,-75.0151477700277,3.0024325228105e-12,2.03014479084037e-09,18.8749646986167,"GBP4_HUMAN",27,-83.2050688064323,2.01526426202912e-13,1.46005218878306e-10,-0.105351448059075,"Non-significant",9.83563162031459,"GBP4","Guanylate-binding protein 4","GBP4_HUMAN"
-3.79244446754454,10.56394135952,-76.9245459635429,2.47771518507529e-12,2.03014479084037e-09,19.037215111074,"CMPK2_HUMAN",26,-82.5151089876182,2.15930814214897e-13,1.46005218878306e-10,-0.113966941833526,"Non-significant",9.83563162031459,"CMPK2","UMP-CMP kinase 2, mitochondrial","CMPK2_HUMAN"
-2.1702950000763,11.7135609388351,-69.6805131648668,5.27570196724741e-12,3.05764612587468e-09,18.3872881495036,"TAP1_HUMAN",24,-76.7822065139445,3.92258811086412e-13,2.37768310795193e-10,0.0283050537109357,"Non-significant",9.62384602761412,"TAP1","Antigen peptide transporter 1","TAP1_HUMAN"
-3.46902108192442,11.9694799184799,-73.2417412062437,3.60473357564403e-12,2.24990832559813e-09,18.7186478758467,"OAS1_HUMAN",20,-76.3679775201036,4.10248502727718e-13,2.37768310795193e-10,-0.20966696739195,"Non-significant",9.62384602761412,"OAS1","2'-5'-oligoadenylate synthase 1","OAS1_HUMAN"
-2.2452964782715,11.4809267520905,-59.2001729146835,1.83230647901187e-11,8.74549104158958e-09,17.2546757802424,"DDX60_HUMAN",75,-71.4609265452171,7.1139773285974e-13,3.84818746961595e-10,0.167837619781491,"Non-significant",9.41474377888045,"DDX60","Probable ATP-dependent RNA helicase DDX60","DDX60_HUMAN"
-1.75832414627075,12.3873274326324,-55.6251722128671,2.94813123914512e-11,1.32895204857909e-08,16.8041761717819,"PML_HUMAN",44,-68.7307467057939,9.82459029215597e-13,4.9822953519096e-10,-0.451481103897125,"Non-significant",9.30257053093389,"PML","Protein PML","PML_HUMAN"
-2.20838809013367,12.2984486818314,-60.0068914972527,1.65237812304404e-11,8.37962255648710e-09,17.3513591275383,"TAP2_HUMAN",22,-63.9235201441124,1.79159238921425e-12,8.55116508593202e-10,-0.131658315658564,"Non-significant",9.06797470914091,"TAP2","Antigen peptide transporter 2","TAP2_HUMAN"
-2.27795958518979,10.2451189756393,-50.5801281718144,6.09129230378587e-11,2.24657935240539e-08,16.1003012691763,"HELZ2_HUMAN",117,-58.8763784234491,3.54096893945904e-12,1.59619010970948e-09,0.787642240524324,"Up in B2",8.79691538448852,"HELZ2","3'-5' exoribonuclease HELZ2","HELZ2_HUMAN"
-2.85223031044005,13.3053983449936,-62.6298890791446,1.19180161161626e-11,6.44685218443624e-09,17.6539774171859,"UB2L6_HUMAN",12,-58.2986395910253,3.84229610549653e-12,1.64086266315784e-09,0.00359916687011719,"Non-significant",8.7849277669839,"UBE2L6","Ubiquitin/ISG15-conjugating enzyme E2 L6","UB2L6_HUMAN"
-4.80350136756896,12.4074863195419,-52.98357105579,4.27409097000155e-11,1.65142733955203e-08,16.4462998692323,"OAS2_HUMAN",31,-55.8793958153329,5.45777864551673e-12,2.21422079648614e-09,0.037545919418335,"Non-significant",8.65477907455287,"OAS2","2'-5'-oligoadenylate synthase 2","OAS2_HUMAN"
