"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","DM_vs_BDM","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
3.04868737856544,12.5336723327637,79.9582161753168,6.63407882961943e-11,5.3828915623532e-07,14.3945764819094,"TSP1_HUMAN",50,99.3893507088447,2.75067388877676e-12,2.23189679335347e-08,-0.137801329294856,"Non-significant",7.65132589177451,"THBS1","Thrombospondin-1","TSP1_HUMAN"
3.81741428375245,11.1513531548636,59.8607865399012,4.27759707710356e-10,1.15694742278728e-06,13.3948008038147,"TSP4_HUMAN",21,62.811814147086,6.80911490948918e-11,1.84209697200216e-07,-0.290297349294015,"Non-significant",6.73468751132868,"THBS4","Thrombospondin-4","TSP4_HUMAN"
1.22925631205242,14.7631395884923,42.7443402400587,3.73152098178388e-09,3.94083842044521e-06,11.851276932186,"VIME_HUMAN",46,62.8095776535879,6.81080960809277e-11,1.84209697200216e-07,-0.128989617029841,"Non-significant",6.73468751132868,"VIM","Vimentin","VIME_HUMAN"
-1.26355687777205,12.2066485541207,-42.476260161824,3.88547046630043e-09,3.94083842044521e-06,11.8188318829351,"PURA1_HUMAN",29,-52.2730052240209,2.45683464053606e-10,3.86240496964619e-07,-0.0667986869811994,"Non-significant",6.41314219278808,"ADSS1","Adenylosuccinate synthetase isozyme 1","PURA1_HUMAN"
3.67069331804911,8.55435698372977,68.4285184837927,1.80818338219052e-10,7.33579998154694e-07,13.895050027285,"CLC11_HUMAN",7,52.1329601101645,2.50330023329192e-10,3.86240496964619e-07,0.383131821950249,"Non-significant",6.41314219278808,"CLEC11A","C-type lectin domain family 11 member A","CLC11_HUMAN"
2.13812430699667,12.7503132138933,46.3356005270991,2.22172272097225e-09,3.00450969299481e-06,12.256200693585,"ANXA1_HUMAN",23,49.6983066193189,3.49590893521036e-10,3.86240496964619e-07,0.0541007518768506,"Non-significant",6.41314219278808,"ANXA1","Annexin A1","ANXA1_HUMAN"
-0.985467831293734,14.8343180247715,-33.4914411987577,1.78681173239577e-08,9.06136899791203e-06,10.5098472392074,"ACOHC_HUMAN",48,-48.748204708451,4.00028167403937e-10,3.86240496964619e-07,-0.109944502512626,"Non-significant",6.41314219278808,"ACO1","Cytoplasmic aconitate hydratase","ACOHC_HUMAN"
1.85571146011354,13.7116678782872,48.9876319186482,1.55334874154684e-09,2.52077433778222e-06,12.5231198156343,"FGL1_HUMAN",17,48.7107239250693,4.02182119557543e-10,3.86240496964619e-07,-0.391662398974099,"Non-significant",6.41314219278808,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN"
3.78271452585854,9.54075527191161,49.1278609097307,1.52505572699127e-09,2.52077433778222e-06,12.5365455891521,"AMY1B_HUMAN",12,48.2718393527111,4.28415636268373e-10,3.86240496964619e-07,-0.0842773119608662,"Non-significant",6.41314219278808,"AMY1B;AMY1C;AMY1A","Alpha-amylase 1B;Alpha-amylase 1C;Alpha-amylase 1A","AMY1B_HUMAN"
1.61278319358829,14.8718887056623,37.4273914612352,8.7584875548119e-09,6.21865997577577e-06,11.1411913781592,"FIBB_HUMAN",38,43.3694593149183,9.04623553516965e-10,6.82375243608949e-07,-0.138731280962627,"Non-significant",6.1659767376422,"FGB","Fibrinogen beta chain","FIBB_HUMAN"
