"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","B2_vs_CM","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-3.22002053260804,11.2614809274674,-47.6684226010627,8.12915617225287e-11,6.59599731816598e-07,12.8147966014676,"TSP1_HUMAN",50,-51.6897605075059,1.04044697497557e-11,8.44218675495175e-08,0.0673680305480744,"Non-significant",7.07354504477248,"THBS1","Thrombospondin-1","TSP1_HUMAN"
-1.90418052673337,13.539874792099,-32.0218023018646,1.72837567869877e-09,7.01202012848092e-06,11.3847680509645,"FGL1_HUMAN",17,-32.6341784248382,4.64951336074043e-10,1.88630757045239e-06,0.0953035354614755,"Non-significant",5.72438749226698,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN"
-0.748694896697998,11.1359734535217,-23.4335208215788,1.88242311103567e-08,3.81849528073585e-05,9.80307683170827,"MX1_HUMAN",43,-30.0384987403343,9.20224752103316e-10,2.48890121285543e-06,0.0123093128204008,"Non-significant",5.60399234066066,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
-1.96244573593141,10.6553144454956,-25.1321327799275,1.103674148374e-08,2.98507067996889e-05,10.191131210257,"K1C19_HUMAN",26,-26.4105945296261,2.65163946393224e-09,5.37885065258655e-06,0.0303499698639005,"Non-significant",5.26931051402974,"KRT19","Keratin, type I cytoskeletal 19","K1C19_HUMAN"
-1.0244936943054,10.5170843601227,-21.8597550903046,3.19647836817822e-08,5.18724509587962e-05,9.39989129212037,"LAMC1_HUMAN",52,-25.0579148610569,4.08234379135721e-09,6.62482750461448e-06,-0.16333174705505,"Non-significant",5.17882542528087,"LAMC1","Laminin subunit gamma-1","LAMC1_HUMAN"
-0.493681192398101,13.2773281335831,-14.7739604060381,6.16471542539426e-07,0.000358172128649609,6.85523246230008,"FAT1_HUMAN",153,-21.0818139298159,1.67870379035593e-08,2.03882123669562e-05,-0.071047306060775,"Non-significant",4.69062085137738,"FAT1","Protocadherin Fat 1","FAT1_HUMAN"
-3.23636400699615,7.52385205030441,-20.9931414333466,4.34779318433548e-08,5.87966564961635e-05,9.15760582828688,"MIME_HUMAN",7,-20.961612349665,1.75890419729719e-08,2.03882123669562e-05,-0.0292377471923508,"Non-significant",4.69062085137738,"OGN","Mimecan","MIME_HUMAN"
-0.818985223770124,11.7026573419571,-17.4230236472264,1.7845076547964e-07,0.000180993688887725,7.97564623912898,"FLNC_HUMAN",102,-20.5332647891317,2.08158340192901e-08,2.1112459654065e-05,0.0303348302841231,"Non-significant",4.6754611673574,"FLNC","Filamin-C","FLNC_HUMAN"
-2.17132186889648,8.69604015350341,-18.057401014898,1.36207978388345e-07,0.000157884505234719,8.21009564716661,"PGBM_HUMAN",106,-19.0584323379391,3.81968222685775e-08,3.44365573208042e-05,0.0675010681152237,"Non-significant",4.46298027218095,"HSPG2","Basement membrane-specific heparan sulfate proteoglycan core protein","PGBM_HUMAN"
-0.648127317428603,10.1677788496017,-15.1468320113567,5.11510310525665e-07,0.000358172128649609,7.02826133842214,"AGRIN_HUMAN",63,-17.9968407747133,6.08429784124014e-08,4.93679926838225e-05,-0.438652515411378,"Non-significant",4.30655453095471,"AGRN","Agrin","AGRIN_HUMAN"
-0.723308086395274,12.6845092773438,-14.6719824395088,6.49257232681172e-07,0.000358172128649609,6.80694239164223,"K2C7_HUMAN",37,-16.280498580462,1.36928386784695e-07,0.000101003357306456,-0.0526707172393994,"Non-significant",3.99566419022295,"KRT7","Keratin, type II cytoskeletal 7","K2C7_HUMAN"
-0.364544153213476,11.3283902406693,-12.2495907609041,2.4824502466801e-06,0.000619553235142227,5.52233192643216,"S12A4_HUMAN",38,-15.8458754145027,1.70327142563825e-07,0.00011516953623024,-0.120455026626574,"Non-significant",3.93866238199556,"SLC12A4","Solute carrier family 12 member 4","S12A4_HUMAN"
-0.728937387466448,11.5685566663742,-15.1978420828244,4.98782972456459e-07,0.000358172128649609,7.0515088019012,"DDB2_HUMAN",18,-15.5073099157981,2.02692570287571e-07,0.000124135622492252,-0.0487773418426496,"Non-significant",3.90610357360327,"DDB2","DNA damage-binding protein 2","DDB2_HUMAN"
0.4715094566345,16.7627370357513,13.331647600575,1.3262188644154e-06,0.000467866950689852,6.13072006878928,"ALDOC_HUMAN",31,15.4014082248028,2.14185200257767e-07,0.000124135622492252,0.0110926628112988,"Non-significant",3.90610357360327,"ALDOC","Fructose-bisphosphate aldolase C","ALDOC_HUMAN"
0.471376419067376,17.5748219490051,12.7791637834221,1.81544260852825e-06,0.000545574123170304,5.8276198661736,"SCP2_HUMAN",39,15.1860767763795,2.39867400601314e-07,0.000126801218414018,-0.114650011062619,"Non-significant",3.89687657336326,"SCP2","Sterol carrier protein 2","SCP2_HUMAN"
-0.833155155181926,12.5951735973358,-14.5623940853246,6.86695349158392e-07,0.000358172128649609,6.75457456001923,"LG3BP_HUMAN",20,-15.1078150374174,2.50039375723969e-07,0.000126801218414018,-0.0491590499877503,"Non-significant",3.89687657336326,"LGALS3BP","Galectin-3-binding protein","LG3BP_HUMAN"
