"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","CTRL.myr_vs_HBVHDV","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
6.52150082588195,14.0223764181137,220.459711893493,8.52268186807644e-16,6.92638355418572e-12,23.6889944256406,"MX1_HUMAN",43,292.624279552764,9.00663953127448e-18,7.31969594706677e-14,0.0624866485595739,"Non-significant",13.1355069587304,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
5.0350069999695,13.4644660949707,177.444595175205,4.46542462958532e-15,1.81452529823199e-11,23.0962474327553,"IFIT1_HUMAN",34,226.87532766864,7.25688191639e-17,2.94883396672508e-13,-0.115613460540775,"Non-significant",12.5303496795896,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN"
4.25032949447634,11.7766354084015,138.091617961469,3.02472411747494e-14,4.91638658054378e-11,22.1775173521518,"TSP1_HUMAN",50,184.206351688427,4.0047527123525e-16,1.08488750977629e-12,0.163601636886625,"Non-significant",11.9646152907704,"THBS1","Thrombospondin-1","TSP1_HUMAN"
4.79281759262088,13.6817576885224,144.952241288747,2.08946591714266e-14,4.91638658054378e-11,22.3759168050013,"IFIT3_HUMAN",30,169.315092307637,7.99277656875457e-16,1.62393237935671e-12,0.110659122467052,"Non-significant",11.789432058767,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","IFIT3_HUMAN"
5.21281194686888,13.660320520401,141.467744886165,2.51568586958855e-14,4.91638658054378e-11,22.2776154186737,"IFIT2_HUMAN",29,160.128042750951,1.2627440494104e-15,2.05246417791167e-12,0.517391681671125,"Up in HBVHDV",11.6877244139752,"IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","IFIT2_HUMAN"
3.19784808158875,14.8818165063858,105.497381772233,2.35832269217768e-13,3.19434808655466e-10,20.8929147545165,"STAT1_HUMAN",41,136.541908481173,4.66202214950706e-15,6.31470900150731e-12,0.194671154022201,"Non-significant",11.1996466580859,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1_HUMAN"
2.9828107357025,13.3297427892685,95.6902228314335,4.963299009954e-13,4.84141919456035e-10,20.3533256609143,"RIGI_HUMAN",56,129.020865280543,7.4175241611526e-15,8.61174555109817e-12,0.178289890289275,"Non-significant",11.0649088106398,"RIGI","Antiviral innate immune response receptor RIG-I","RIGI_HUMAN"
3.28062081336977,10.6712063550949,94.7267782333867,5.36148305045443e-13,4.84141919456035e-10,20.2952324580641,"IFIH1_HUMAN",45,116.831568548457,1.67302819566656e-14,1.69958751827276e-11,-0.06955111026764,"Non-significant",10.7696564670184,"IFIH1","Interferon-induced helicase C domain-containing protein 1","IFIH1_HUMAN"
2.66631746292113,11.4053881168365,86.7956693806459,1.04437223854766e-12,7.71601198425167e-10,19.7772936184584,"SLFN5_HUMAN",37,109.065419278373,2.9398201029592e-14,2.65465755297215e-11,0.1462082862854,"Non-significant",10.5759914943364,"SLFN5","Schlafen family member 5","SLFN5_HUMAN"
4.99689483642575,14.9496417045593,91.4174336627026,7.03159574188445e-13,5.71457785942949e-10,20.0880088178394,"ISG15_HUMAN",15,91.4306734142835,1.24719151954586e-13,1.01359254793492e-10,0.771286129951481,"Up in HBVHDV",9.99413659110275,"ISG15","Ubiquitin-like protein ISG15","ISG15_HUMAN"
3.00409650802613,13.2294652462006,96.9055755753724,4.5078598456668e-13,4.84141919456035e-10,20.4252283741036,"UB2L6_HUMAN",12,80.6395194856823,3.48934968611662e-13,2.57799499082452e-10,0.158022165298474,"Non-significant",9.58871793083808,"UBE2L6","Ubiquitin/ISG15-conjugating enzyme E2 L6","UB2L6_HUMAN"
2.32926678657535,11.6340750455856,68.411353914555,6.40954146323039e-12,4.00694949782103e-09,18.2354460788612,"TAP1_HUMAN",24,75.3166473165527,6.10429508862371e-13,4.13413384877041e-10,0.234421968460101,"Non-significant",9.3836154665473,"TAP1","Antigen peptide transporter 1","TAP1_HUMAN"
2.63586735725405,9.7431641817093,70.8658232632742,4.89959908490422e-12,3.31825348025138e-09,18.4748567871502,"HLAF_HUMAN",14,66.5597934152604,1.67939720915769e-12,1.04988162452497e-09,0.0204722881317139,"Non-significant",8.97885966541935,"HLA-F","HLA class I histocompatibility antigen, alpha chain F","HLAF_HUMAN"
