"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BD_vs_BDM","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-5.79690694808962,13.0835161209106,-240.81728979078,9.02687606500842e-16,6.37699807311818e-12,24.0616064201458,"IFIT1_HUMAN",34,-299.416233928839,1.13688810386012e-17,7.05548818124228e-14,-0.108958244323723,"Non-significant",13.1514729312952,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN"
-5.75652694702147,14.4048633575439,-223.539165501104,1.57185064656598e-15,6.37699807311818e-12,23.8660868749626,"MX1_HUMAN",43,-284.107519395292,1.73909001263058e-17,7.05548818124228e-14,-0.142950057983402,"Non-significant",13.1514729312952,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
-5.8835995197296,13.3249267339706,-206.200218863238,2.86827210139568e-15,7.75771994357485e-12,23.6307519046707,"IFIT2_HUMAN",29,-234.876911669136,8.12179195208106e-17,2.19667399663952e-13,-0.14788269996645,"Non-significant",12.6582343909474,"IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","IFIT2_HUMAN"
-3.06900477409363,14.9462381601334,-134.270383530647,7.00428857474448e-14,9.47213291591278e-11,21.9362278672701,"STAT1_HUMAN",41,-180.655534671784,6.80460022339947e-16,1.20105255661847e-12,-0.113645076751752,"Non-significant",11.920437987976,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1_HUMAN"
-5.44266176223757,13.356835603714,-160.576185331638,1.8477188701902e-14,3.74809772818081e-11,22.7363680603255,"IFIT3_HUMAN",30,-178.790637201935,7.40111262397383e-16,1.20105255661847e-12,0.0803680419921751,"Non-significant",11.920437987976,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","IFIT3_HUMAN"
-3.75369739532472,11.8271417617798,-138.439525763606,5.57773975176485e-14,9.05155606916401e-11,22.0824746705778,"OAS1_HUMAN",20,-142.952248027041,4.52914413559936e-15,6.1249125860422e-12,0.0154569149017494,"Non-significant",11.2129001051137,"OAS1","2'-5'-oligoadenylate synthase 1","OAS1_HUMAN"
-3.0095794200897,13.3163584470749,-99.0332552188234,6.7578500645777e-13,4.56943295199862e-10,20.2782701417172,"RIGI_HUMAN",56,-121.350123533031,1.70645138128585e-14,1.87841666019177e-11,-0.0903840065002264,"Non-significant",10.7262080685387,"RIGI","Antiviral innate immune response receptor RIG-I","RIGI_HUMAN"
-2.83595800399778,11.3205678462982,-99.5155991830088,6.51775283621789e-13,4.56943295199862e-10,20.307443092944,"SLFN5_HUMAN",37,-118.51017061244,2.0670782591374e-14,1.87841666019177e-11,-0.0801204442977905,"Non-significant",10.7262080685387,"SLFN5","Schlafen family member 5","SLFN5_HUMAN"
-4.0097677707672,10.4552797079086,-109.340977814658,3.23311908223584e-13,3.2791910291577e-10,20.8562353781003,"CMPK2_HUMAN",26,-118.394192568418,2.08352846213038e-14,1.87841666019177e-11,-0.301027536392224,"Non-significant",10.7262080685387,"CMPK2","UMP-CMP kinase 2, mitochondrial","CMPK2_HUMAN"
-4.8158416748047,12.4013161659241,-103.096876593338,5.00927773859686e-13,4.51614217455277e-10,20.5172377150471,"OAS2_HUMAN",31,-111.393429281664,3.41267142879178e-14,2.76904159732165e-11,-0.547303915023808,"Up in BD",10.5576705201116,"OAS2","2'-5'-oligoadenylate synthase 2","OAS2_HUMAN"
