"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","C_vs_D","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
5.70934939384463,13.6605235338211,190.422213799212,4.40203978252105e-15,3.57181507953758e-11,21.5771992078913,"MX1_HUMAN",43,237.179994279931,1.11781842190391e-16,9.06997867532832e-13,0.0362634658813512,"Non-significant",12.0423937340202,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
3.94321656227113,12.940154671669,152.486239891463,2.32558129675465e-14,9.43488332093362e-11,21.0610848392261,"IFIT1_HUMAN",34,194.91482616901,5.37192371460597e-16,2.17938945101564e-12,-0.060462474822998,"Non-significant",11.6616651555665,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN"
3.59526300430297,13.0713627338409,110.873154874518,2.53090348377482e-13,6.8452502891163e-10,19.9986012737779,"IFIT3_HUMAN",30,127.169659715516,1.63446914753733e-14,4.42069422103931e-11,0.064860343933125,"Non-significant",10.3545095241595,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","IFIT3_HUMAN"
2.67435240745543,14.5776716470719,95.0416327502989,8.0237784067278e-13,1.08508229986982e-09,19.3340187252045,"STAT1_HUMAN",41,121.147274244625,2.40911126284539e-14,4.88688219668188e-11,-0.0629732608795006,"Non-significant",10.3109681299605,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1_HUMAN"
3.57833242416385,12.8066544532776,102.758955110874,4.47170371566469e-13,8.0546042325666e-10,19.6833222599975,"IFIT2_HUMAN",29,115.495307763672,3.52992850564675e-14,5.72836797896354e-11,0.15540981292725,"Non-significant",10.2419690915905,"IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","IFIT2_HUMAN"
2.44132399559023,13.0208560228348,82.7042486889672,2.2725221608302e-12,2.30490560162203e-09,18.6489843856527,"RIGI_HUMAN",56,107.564268710883,6.23437785889296e-14,7.95992113894825e-11,0.0865969657898003,"Non-significant",10.0990912349117,"RIGI","Antiviral innate immune response receptor RIG-I","RIGI_HUMAN"
3.23408198356627,11.7999535799027,101.33743249617,4.96339920665923e-13,8.0546042325666e-10,19.6228831681143,"OAS1_HUMAN",20,106.271641499173,6.86707517533124e-14,7.95992113894825e-11,0.138465881347649,"Non-significant",10.0990912349117,"OAS1","2'-5'-oligoadenylate synthase 1","OAS1_HUMAN"
2.28754544258123,11.4991124868393,75.6289363813249,4.43864845923504e-12,3.60151935982331e-09,18.1672264153638,"DDX60_HUMAN",75,99.8660269975965,1.12881354090987e-13,1.14489913386783e-10,0.174144148826597,"Non-significant",9.94123277317929,"DDX60","Probable ATP-dependent RNA helicase DDX60","DDX60_HUMAN"
3.06177163124083,10.1120625734329,86.5669629797094,1.61468948381719e-12,1.87165578167038e-09,18.882626200937,"CMPK2_HUMAN",26,95.3504629447131,1.6340315818921e-13,1.47317025060806e-10,0.0018918514252011,"Non-significant",9.83174705992791,"CMPK2","UMP-CMP kinase 2, mitochondrial","CMPK2_HUMAN"
4.42366051673892,11.9233001470566,75.9444955397411,4.30244763980078e-12,3.60151935982331e-09,18.1903455409781,"OAS2_HUMAN",31,80.9862915478274,6.02587406515001e-13,4.88939421646272e-10,0.55960261821747,"Up in D",9.31074494552767,"OAS2","2'-5'-oligoadenylate synthase 2","OAS2_HUMAN"
2.55091452598572,10.2552911043167,63.0438687394901,1.73283157249693e-11,1.00429966994572e-08,17.0947340481295,"IFIH1_HUMAN",45,71.7635241364724,1.5832924451196e-12,1.16789408179095e-09,0.229958772659252,"Non-significant",8.93259654230885,"IFIH1","Interferon-induced helicase C domain-containing protein 1","IFIH1_HUMAN"
3.44312214851383,14.2555907964706,64.6581745179967,1.43418801277665e-11,8.95153964282288e-09,17.2506586864888,"OAS3_HUMAN",45,70.4861246544543,1.82756757660622e-12,1.2357402763819e-09,0.14424848556515,"Non-significant",8.90807279816866,"OAS3","2'-5'-oligoadenylate synthase 3","OAS3_HUMAN"
3.95936155319213,14.5111000537872,64.8259345584265,1.40665151954072e-11,8.95153964282288e-09,17.2665177014386,"ISG15_HUMAN",15,65.4401514769571,3.30784861733127e-12,1.92922896566086e-09,0.132632493972778,"Non-significant",8.71461622615497,"ISG15","Ubiquitin-like protein ISG15","ISG15_HUMAN"
