"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BT_vs_B1","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
0.407080888748174,11.8789247274399,9.92559558258283,9.40384035621563e-06,0.0175132591056227,4.01402374813848,"TENS1_HUMAN",76,14.3005299966235,3.0619352653819e-07,0.00248445427433088,-0.110998153686523,"Non-significant",2.60476899191041,"TNS1","Tensin-1","TENS1_HUMAN"
0.646610021591201,11.0103937387467,10.8639933016849,4.79514847965742e-06,0.0175132591056227,4.57692791733541,"MX1_HUMAN",43,12.3205540997057,1.03070464718451e-06,0.00418156875362757,-0.143179893493674,"Non-significant",2.37866075812214,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
0.706392049789425,12.8220735788345,10.9134067469579,4.63473564386994e-06,0.0175132591056227,4.60474062506589,"EDF1_HUMAN",12,10.3758116143234,4.08649104063238e-06,0.00828599233154167,-0.0849421024322243,"Non-significant",2.08165547296515,"EDF1","Endothelial differentiation-related factor 1","EDF1_HUMAN"
0.601779460906975,9.62934517860412,9.04495232629748,1.86408931090508e-05,0.0175132591056227,3.41962391743266,"FIL1L_HUMAN",39,9.99222004421807,5.5063576387903e-06,0.00828599233154167,-0.14271783828735,"Non-significant",2.08165547296515,"FILIP1L","Filamin A-interacting protein 1-like","FIL1L_HUMAN"
0.511382818222076,10.7268708944321,8.4448079487243,3.07112394763724e-05,0.0186497463768892,2.97295523836978,"KANK1_HUMAN",51,9.66584449688633,7.15267364285885e-06,0.00828599233154167,0.109976053237876,"Non-significant",2.08165547296515,"KANK1","KN motif and ankyrin repeat domain-containing protein 1","KANK1_HUMAN"
0.470925569534304,9.67632305622101,9.61392563657526,1.19068340901461e-05,0.0175132591056227,3.81146095404601,"T2FB_HUMAN",16,9.56014975418215,7.79756823241934e-06,0.00828599233154167,-0.0848135948181241,"Non-significant",2.08165547296515,"GTF2F2","General transcription factor IIF subunit 2","T2FB_HUMAN"
-0.68498659133915,11.8013434410095,-9.19619288730122,1.65092889996524e-05,0.0175132591056227,3.52666623136818,"ASM3A_HUMAN",18,-9.48192095463065,8.31638070844775e-06,0.00828599233154167,-0.102720022201552,"Non-significant",2.08165547296515,"SMPDL3A","Cyclic GMP-AMP phosphodiesterase SMPDL3A","ASM3A_HUMAN"
-0.586409568786623,12.2250552177429,-9.07140042851855,1.8246968714467e-05,0.0175132591056227,3.43849800912603,"H2AY_HUMAN",17,-9.26338891352453,9.97992616406256e-06,0.00828599233154167,-0.244262337684632,"Non-significant",2.08165547296515,"MACROH2A1","Core histone macro-H2A.1","H2AY_HUMAN"
0.450143337249743,10.1407520771027,8.50371803553863,2.92050484884446e-05,0.0186497463768892,3.01840638020193,"TRIP4_HUMAN",25,9.24153633945959,1.01655864182267e-05,0.00828599233154167,0.0291106700897235,"Non-significant",2.08165547296515,"TRIP4","Activating signal cointegrator 1","TRIP4_HUMAN"
0.540375709533681,13.6561117172241,8.34364509266692,3.35038122337648e-05,0.0186497463768892,2.89405853103303,"PLOD2_HUMAN",38,9.2361458835671,1.0211969844148e-05,0.00828599233154167,0.170336008071898,"Non-significant",2.08165547296515,"PLOD2","Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2","PLOD2_HUMAN"
-0.953280448913581,9.81729578971863,-8.86421445199728,2.16009561324656e-05,0.0175132591056227,3.28885345902189,"REEP3_HUMAN",11,-8.79279074531304,1.49660829267093e-05,0.0110395269879381,0.102630138397199,"Non-significant",1.95704953448085,"REEP3","Receptor expression-enhancing protein 3","REEP3_HUMAN"
