"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","C_vs_BD","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
6.47727799415588,14.0444878339767,212.830613097525,1.88971035535266e-15,1.53331098233315e-11,23.6127201882434,"MX1_HUMAN",43,262.163028386761,3.33484550604323e-17,2.70589364360348e-13,0.0599923133849991,"Non-significant",12.5676892775477,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
5.013423204422,13.4752579927444,190.317835810369,4.36856837454173e-15,1.77232818955158e-11,23.282009133354,"IFIT1_HUMAN",34,238.181726361742,7.2528145601779e-17,2.94246686706417e-13,-0.138042926788323,"Non-significant",12.5312884187249,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN"
4.80443525314335,13.6759488582611,155.408165899605,1.99503051455778e-14,5.39589253170728e-11,22.5545889223087,"IFIT3_HUMAN",30,179.315293755854,7.2275586457471e-16,1.95481369505307e-12,0.14381551742555,"Non-significant",11.7088946270486,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","IFIT3_HUMAN"
5.24923825263977,13.6421073675156,138.786352230778,4.6572630813141e-14,9.44725816044565e-11,22.0735945190199,"IFIT2_HUMAN",29,153.637276641656,2.52653312197175e-15,5.12507243791969e-12,0.0834450721740758,"Non-significant",11.2902999918983,"IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","IFIT2_HUMAN"
3.24024510383602,14.8606179952622,114.447500068814,1.97537595681966e-13,2.74951109645925e-10,21.1299807888185,"STAT1_HUMAN",41,144.370476134199,4.18119557744182e-15,6.78524418307259e-12,0.471067428588874,"Non-significant",11.1684345186081,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1_HUMAN"
3.52107787132262,11.9434515237808,114.007952253709,2.03316078121217e-13,2.74951109645925e-10,21.1096037242601,"OAS1_HUMAN",20,118.748990146573,2.03366187089121e-14,2.75018873673522e-11,0.219108343124375,"Non-significant",10.5606375008934,"OAS1","2'-5'-oligoadenylate synthase 1","OAS1_HUMAN"
3.87898683547973,10.5206701755524,105.956905589303,3.51950575482296e-13,4.07960995637622e-10,20.7107047999648,"CMPK2_HUMAN",26,115.897781330313,2.47586713881945e-14,2.86988370919729e-11,0.196940898895249,"Non-significant",10.5421357009932,"CMPK2","UMP-CMP kinase 2, mitochondrial","CMPK2_HUMAN"
3.02095413208005,13.3106710910797,91.7334389379639,1.03625993973401e-12,9.34245905666861e-10,19.8668775535968,"RIGI_HUMAN",56,112.872761155864,3.06698632786156e-14,3.11069088303359e-11,0.00472450256347567,"Non-significant",10.5071431436527,"RIGI","Antiviral innate immune response receptor RIG-I","RIGI_HUMAN"
4.30910134315493,11.7472494840622,89.7169397086935,1.22399061637037e-12,9.93145986122918e-10,19.7302324284108,"TSP1_HUMAN",50,99.8166052466316,8.29584613941165e-14,7.47916617502068e-11,0.18456411361695,"Non-significant",10.1261468173458,"THBS1","Thrombospondin-1","TSP1_HUMAN"
4.91666984558103,14.9897541999817,98.2082642146568,6.21693089552296e-13,6.30552216078416e-10,20.275505419967,"ISG15_HUMAN",15,97.8118805814483,9.77637810809032e-14,7.93255319690449e-11,0.682161569595338,"Up in BD",10.1005870067731,"ISG15","Ubiquitin-like protein ISG15","ISG15_HUMAN"
2.24823522567752,11.4794573783874,73.6618055309645,5.3590760537899e-12,2.89890287336341e-09,18.4498144113236,"DDX60_HUMAN",75,96.6178730303089,1.0798194743181e-13,7.96514110419733e-11,0.226536512374851,"Non-significant",10.098806526174,"DDX60","Probable ATP-dependent RNA helicase DDX60","DDX60_HUMAN"
3.33168292045595,10.6456753015518,82.1263582957762,2.37318931866113e-12,1.57609006367773e-09,19.1707767072248,"IFIH1_HUMAN",45,93.5437127119794,1.40283507597839e-13,9.4855031720739e-11,0.23161554336545,"Non-significant",10.0229396263927,"IFIH1","Interferon-induced helicase C domain-containing protein 1","IFIH1_HUMAN"
5.09776711463929,12.2603534460068,83.8316853816173,2.03462234574175e-12,1.50081142848623e-09,19.3030584943023,"OAS2_HUMAN",31,89.4679590547376,2.01178393017459e-13,1.25566267764897e-10,0.104145050048828,"Non-significant",9.90112701419077,"OAS2","2'-5'-oligoadenylate synthase 2","OAS2_HUMAN"
3.95528578758243,14.5116726160049,77.6379577896258,3.61514260823663e-12,2.09523336594515e-09,18.8025168279291,"OAS3_HUMAN",45,85.3519867871913,2.94509736091324e-13,1.70689428474643e-10,0.212684154510502,"Non-significant",9.76779337576459,"OAS3","2'-5'-oligoadenylate synthase 3","OAS3_HUMAN"
2.65675497055053,11.4101693630218,69.792910907774,8.02636482447217e-12,3.83093671680983e-09,18.0800975162782,"SLFN5_HUMAN",37,79.2691928552196,5.35677861312608e-13,2.897660111127e-10,-0.17003703117371,"Non-significant",9.53795255762224,"SLFN5","Schlafen family member 5","SLFN5_HUMAN"
4.46127104759214,11.354632973671,81.4485132338876,2.52516278380707e-12,1.57609006367773e-09,19.1170646630187,"ISG20_HUMAN",11,76.5111559844392,7.13393763162061e-13,3.6177981214356e-10,0.522397041320826,"Up in BD",9.44155567108391,"ISG20","Interferon-stimulated gene 20 kDa protein","ISG20_HUMAN"
1.91031837463378,12.3113303184509,60.7189346147492,2.27646232725861e-11,8.58176828332897e-09,17.0929613184046,"PML_HUMAN",44,74.0627259137717,9.28100943246516e-13,4.42977120794249e-10,0.204251766204829,"Non-significant",9.35361870395617,"PML","Protein PML","PML_HUMAN"
1.52882146835331,14.5640316009521,53.914656864239,5.53901087645274e-11,1.62034122066125e-08,16.2183182098182,"VIME_HUMAN",46,69.3573165326886,1.5782560127098e-12,7.11442738173738e-10,-0.870301246643049,"Up in C",9.1478600491931,"VIM","Vimentin","VIME_HUMAN"
-0.97358417510987,16.1176919937134,-39.2834655689587,5.90083244032653e-10,7.46028496398285e-08,13.7807370057033,"FAS_HUMAN",149,-68.7590552460105,1.69280205723066e-12,7.22915573282611e-10,-0.0302091836929321,"Non-significant",9.14091241943915,"FASN","Fatty acid synthase","FAS_HUMAN"
