"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BT_vs_BD","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
5.46550178527833,13.2492187023163,160.971542313415,1.55694364654033e-14,7.45120585868985e-11,22.4369904710572,"IFIT1_HUMAN",34,185.266438430493,3.82071364705938e-16,3.10012705322398e-12,-0.0310587882995748,"Non-significant",11.5086205070098,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN"
5.19967126846318,13.4783308506012,147.419989451132,3.00850468209973e-14,7.45120585868985e-11,22.1049127322911,"IFIT3_HUMAN",30,165.033823567004,9.86006455358465e-16,3.35315102967153e-12,-0.136640548706048,"Non-significant",11.4745468850216,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","IFIT3_HUMAN"
5.29817533493043,12.1601493358612,143.542666969547,3.67325898875516e-14,7.45120585868985e-11,21.9978438946652,"OAS2_HUMAN",31,160.487182910774,1.2397649850893e-15,3.35315102967153e-12,0.0169816017151003,"Non-significant",11.4745468850216,"OAS2","2'-5'-oligoadenylate synthase 2","OAS2_HUMAN"
6.59603810310362,13.9851077795029,133.966812164516,6.16064935249131e-14,9.99750176922290e-11,21.7065115818068,"MX1_HUMAN",43,148.47117821052,2.34638089569792e-15,4.75963364692324e-12,0.0832636356354008,"Non-significant",11.3224264740112,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
5.13444423675538,14.8808670043945,153.470108719404,2.22594755430023e-14,7.45120585868985e-11,22.2608086350054,"ISG15_HUMAN",15,142.009821009258,3.37907543774867e-15,5.48356362037854e-12,0.40867662429805,"Non-significant",11.2609371134745,"ISG15","Ubiquitin-like protein ISG15","ISG15_HUMAN"
3.09848451614377,13.2719058990478,95.7087798154117,7.64342860227751e-13,6.3717536302783e-10,20.0047763759493,"RIGI_HUMAN",56,119.96578005249,1.34671641408101e-14,1.82120949730889e-11,0.0518147945404017,"Non-significant",10.7396400935834,"RIGI","Antiviral innate immune response receptor RIG-I","RIGI_HUMAN"
3.2451705932617,14.8581552505493,97.6707342075899,6.56608722824065e-13,6.3717536302783e-10,20.1201817603472,"STAT1_HUMAN",41,116.351895888697,1.73040032294297e-14,2.00578117433704e-11,0.0359277725219513,"Non-significant",10.6977164491629,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1_HUMAN"
3.96795296669008,14.5053390264511,98.9029884261912,5.97776178263347e-13,6.3717536302783e-10,20.1907122083443,"OAS3_HUMAN",45,113.611465216887,2.10368063195423e-14,2.13365808095958e-11,-0.119483709335327,"Non-significant",10.6708751750943,"OAS3","2'-5'-oligoadenylate synthase 3","OAS3_HUMAN"
5.7107493877411,13.4113517999649,95.3639636090818,7.85278978343395e-13,6.3717536302783e-10,19.9840887780909,"IFIT2_HUMAN",29,101.840540044807,5.15516451275919e-14,4.6476672062809e-11,0.164502143859874,"Non-significant",10.332764976928,"IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","IFIT2_HUMAN"
4.54071116447447,11.3149129152298,108.784444379891,2.9299618482215e-13,3.96228507274487e-10,20.7066186023294,"ISG20_HUMAN",11,94.075597213598,9.87331216020764e-14,8.01120548679248e-11,0.764616966247558,"Up in BD",10.0963021285012,"ISG20","Interferon-stimulated gene 20 kDa protein","ISG20_HUMAN"
2.19694399833677,12.1890655755997,71.8279226906504,6.55191934339097e-12,3.71269700352032e-09,18.2199858539249,"SAMH1_HUMAN",38,86.6978643823146,1.92770906376519e-13,1.42194830394462e-10,0.28859758377075,"Non-significant",9.84711619243867,"SAMHD1","Deoxynucleoside triphosphate triphosphohydrolase SAMHD1","SAMH1_HUMAN"
