"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BM1_vs_B1","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
4.74927878379822,10.3119670152664,24.4283300272816,9.36551181101435e-09,3.79958814172852e-05,5.92767392305057,"Q15194_HBV",5,24.0603990952684,4.06535219086173e-09,3.25070135522117e-05,-0.0275354385375977,"Non-significant",4.4880229276854,"PreC-C","Capsid protein","Q15194_HBV"
3.86280393600462,10.5336985588074,25.6740126249787,6.33857710536896e-09,3.79958814172852e-05,6.00356395605573,"Q6VBP1_HBV",1,22.1889131287562,8.0125742056228e-09,3.25070135522117e-05,-0.0630497932434011,"Non-significant",4.4880229276854,"S","Large envelope protein","Q6VBP1_HBV"
-1.53293681144718,10.0672417879105,-13.4449248103368,9.63974886186779e-07,0.00260723074217317,4.43440312497426,"NUA4L_HUMAN",5,-12.1942190098292,1.12030801221108e-06,0.00303005973702689,-0.0156364440917489,"Non-significant",2.5185488093837,"NDUFA4L2","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4-like 2","NUA4L_HUMAN"
-0.741007089614877,10.760563492775,-8.83607041127824,2.22655171415925e-05,0.0451656015217203,2.64341318085981,"RCN2_HUMAN",17,-9.09614007303589,1.15027343147034e-05,0.0226654349117396,-0.0797486305236745,"Non-significant",1.64463594314152,"RCN2","Reticulocalbin-2","RCN2_HUMAN"
-0.354708671569824,16.3519744873047,-7.79106116437405,5.50886539453608e-05,0.0744982230187762,2.00485461925565,"ALDOC_HUMAN",31,-8.87160746694718,1.39668689374782e-05,0.0226654349117396,0.12089467048645,"Non-significant",1.64463594314152,"ALDOC","Fructose-bisphosphate aldolase C","ALDOC_HUMAN"
0.24992299079895,11.8385974168777,5.9045970228428,0.000370718174628963,0.189491341091283,0.50799151359063,"HS74L_HUMAN",49,7.33086345884803,5.95946526946317e-05,0.0764714270671621,-0.022375583648726,"Non-significant",1.11650080517381,"HSPA4L","Heat shock 70 kDa protein 4L","HS74L_HUMAN"
0.570239305496226,11.5496379137039,6.99362063320653,0.000117651707914341,0.106069550890774,1.43226041602721,"DDB2_HUMAN",18,7.2312965773282,6.59723920963933e-05,0.0764714270671621,-0.0271794795990274,"Non-significant",1.11650080517381,"DDB2","DNA damage-binding protein 2","DDB2_HUMAN"
0.321125268936122,16.1244052648544,6.51863339424649,0.000190823032009192,0.146588787030558,1.05081631766902,"STOM_HUMAN",17,6.64591375050553,0.000122595291842746,0.110630724540565,-0.335218310356139,"Non-significant",0.956124243326384,"STOM","Stomatin","STOM_HUMAN"
-0.270659208297729,11.6966072320938,-5.57297165282631,0.000541188775373401,0.231116090704199,0.189762264274506,"DPYD_HUMAN",55,-6.64505015385784,0.00012271093429444,0.110630724540565,0.122519493103024,"Non-significant",0.956124243326384,"DPYD","Dihydropyrimidine dehydrogenase [NADP(+)]","DPYD_HUMAN"
-0.229957103729227,12.1974437236786,-5.04518700271169,0.00101880759418205,0.285055338592867,-0.355304738355273,"TENS1_HUMAN",76,-6.32400864573796,0.000175295414630432,0.120619458669407,0.0548930168151882,"Non-significant",0.918582624939989,"TNS1","Tensin-1","TENS1_HUMAN"
