"","Genes","ProtDesc","ENTREZID"
"1","LUM","Lumican","4060"
"2","C","Capsid protein",NA
"3","S","Large envelope protein",NA
"4","SERPINF1","Pigment epithelium-derived factor","5176"
"5","FGA","Fibrinogen alpha chain","2243"
"6","THBS1","Thrombospondin-1","7057"
"7","APOE","Apolipoprotein E","348"
"8","APOA5","Apolipoprotein A-V","116519"
"9","BHMT","Betaine--homocysteine S-methyltransferase 1","635"
"10","FGB","Fibrinogen beta chain","2244"
"11","ADSS1","Adenylosuccite synthetase isozyme 1","122622"
"12","FN1","Fibronectin","2335"
"13","FGL1","Fibrinogen-like protein 1","2267"
"14","FGG","Fibrinogen gamma chain","2266"
"15","COL6A1","Collagen alpha-1(VI) chain","1291"
"16","APOA1","Apolipoprotein A-I","335"
"17","CTSZ","Cathepsin Z","1522"
"18","C5","Complement C5","727"
"19","C7","Complement component C7","730"
"20","FERMT3","Fermitin family homolog 3","83706"
"21","MASP1","Mann-binding lectin serine protease 1","5648"
"22","FMOD","Fibromodulin","2331"
"23","FAM120B","Constitutive coactivator of peroxisome proliferator-activated receptor gamma","84498"
