Protein.Ids,Protein.Names,Genes,Peptides,logFC,sca.pval,sca.adj.pval,AveExpr,t,P.Value,adj.P.Val,B,gene,count,sca.t,sca.P.Value,ProtDesc,negLog10_sca_adjPval
A0A024R1R8;Q9Y2S6,TMA7B_HUMAN;TMA7_HUMAN,TMA7B;TMA7,2,-2.2781152725219496,1.0634524556708557e-10,8.963840748849643e-7,11.349667787551875,-51.13619271102205,1.1465401854947996e-10,9.664187223535665e-7,11.080724305733849,1167,7,-43.599856743104766,1.0634524556708557e-10,Translation machinery-associated protein 7B;Translation machinery-associated protein 7,6.047505867722674
A0A075B767,PAL4H_HUMAN,PPIAL4H,3,-1.3321137428283443,7.556238031817614e-9,2.438225240807151e-5,9.495170116424552,-29.6068283356268,6.297724456289707e-9,2.654175972103297e-5,9.680110045267913,2200,7,-25.323639673645417,7.556238031817614e-9,Peptidyl-prolyl cis-trans isomerase A-like 4H,4.612926177174892
A0A096LP01,SIM26_HUMAN,SMIM26,4,-0.5085837841033971,8.677987569606659e-9,2.438225240807151e-5,12.232384562492374,-23.33896396460546,3.570427692267993e-8,7.523783754531729e-5,8.720019932841701,4599,23,-24.878898269252687,8.677987569606659e-9,Small integral membrane protein 26,4.612926177174892
A0A0B4J2F0,PIOS1_HUMAN,PIGBOS1,1,0.6580810546875,1.3736013039975732e-8,2.8945213478488862e-5,9.895795583724976,25.441031349471185,1.9051990822535207e-8,5.3529743547716414e-5,9.094189456879477,1825,14,23.457315603504778,1.3736013039975732e-8,Protein PIGBOS1,4.53842324305044
A0A0U1RRE5,NBDY_HUMAN,NBDY,2,-0.27970743179325375,5.140777150421833e-8,8.666322120181126e-5,11.728310585021974,-13.997313296176888,1.4264209451222034e-6,9.290640082044757e-4,5.954221794770667,3561,154,-19.797588076497462,5.140777150421833e-8,Negative regulator of P-body association,4.06216517262714
A0A6Q8PH20,A0A6Q8PH20_HUMAN,CAST,52,-0.5176241397857755,6.749953388154319e-8,9.482559518125458e-5,11.857912421226512,-18.150815891422084,2.2098110691724078e-7,3.725299500410845e-4,7.467509644166854,4713,23,-19.114397266063815,6.749953388154319e-8,Calpastatin,4.023074422728801
A0AAG2TUN3;A0AAG2TVJ1;A8MZA4;H0YM25;P0DX00;P0DX01;P0DX02;Q8N7Z2;Q8N9W4,A0AAG2TUN3_HUMAN;A0AAG2TVJ1_HUMAN;GG6L6_HUMAN;GG6LV_HUMAN;GG6LX_HUMAN;GG6LY_HUMAN;GG6LZ_HUMAN;GG6L1_HUMAN;GG6L2_HUMAN,GOLGA6L26;GOLGA6L2;GOLGA6L6;GOLGA6L22;GOLGA6L24;GOLGA6L25;GOLGA6L26;GOLGA6L1;GOLGA6L2,1,0.5962688922881796,1.36668253009589e-7,1.6456810065968938e-4,11.866590142250063,16.1633060045068,5.094641594386636e-7,6.134676285583564e-4,6.8161821435636165,1115,36,17.44836454299132,1.36668253009589e-7,Golgin subfamily A member 6-like protein 26;Golgin subfamily A member 6-like protein 2;Golgin subfamily A member 6-like protein 6;Golgin subfamily A member 6-like protein 22;Golgin subfamily A member 6-like protein 24;Golgin subfamily A member 6-like protein 25;Golgin subfamily A member 6-like protein 26;Golgin subfamily A member 6-like protein 1;Golgin subfamily A member 6-like protein 2,3.7836543431824676
A0AAG2UWQ9,A0AAG2UWQ9_HUMAN,NKRF,33,-1.1776847839355522,3.2340096911047027e-7,3.337801797183274e-4,12.897237062454225,-16.381068224394458,4.627531330432363e-7,6.134676285583564e-4,6.893459405893533,1166,7,-15.60158973801741,3.2340096911047027e-7,NF-kappa-B-repressing factor,3.4765394558369014
A0AAG2UXZ5,A0AAG2UXZ5_HUMAN,COL18A1,37,-0.7742006778717112,3.5639122285739075e-7,3.337801797183274e-4,10.267976403236393,-15.07756782469597,8.388076983260253e-7,7.631328122747182e-4,6.406431425681853,5550,17,-15.405348678871032,3.5639122285739075e-7,Collagen type XVIII alpha 1 chain,3.4765394558369014
A0AAQ5BIG5;Q9HDB9,A0AAQ5BIG5_HUMAN;GAK5_HUMAN,LOC124906262;ERVK-5,1,-0.7855865955352694,4.1740190624567566e-7,3.5182806677448e-4,9.944654583930966,-14.917522825763523,9.053657756254813e-7,7.631328122747182e-4,6.342379613265874,4962,15,-15.09106449983871,4.1740190624567566e-7,CCHC-type domain-containing protein;Endogenous retrovirus group K member 5 Gag polyprotein,3.4536695180363877
A0ABB0MV19,A0ABB0MV19_HUMAN,NA,11,0.21287274360657804,4.888911099673458e-7,3.5957961067981917e-4,15.194275021553038,11.84501820494006,4.65389367770863e-6,0.001907541822368471,4.894282379122774,7242,34,14.782679079570784,4.888911099673458e-7,Small ribosomal subunit protein bS6m,3.444204942134282
A0AV96,RBM47_HUMAN,RBM47,29,-1.176955164839887,5.119178227734999e-7,3.5957961067981917e-4,7.860596209083964,-14.698279131175632,1.006469204509661e-6,7.712299022556301e-4,6.253020724086743,3050,10,-14.69401688140351,5.119178227734999e-7,RNA-binding protein 47,3.444204942134282
A0AVI4,TM129_HUMAN,TMEM129,4,0.37779188156127397,6.214360603527436e-7,4.029295809779443e-4,13.035383224487312,12.877917816136767,2.579007933297916e-6,0.0014492305246512087,5.431935906143262,2130,38,14.325978915633824,6.214360603527436e-7,E3 ubiquitin-protein ligase TM129,3.3947708478166243
A0AVT1,UBA6_HUMAN,UBA6,62,-1.841979573853676,1.11551644663815e-6,6.716205806223547e-4,7.688561165984536,-13.832292978135964,1.5521490892079305e-6,9.345046194952604e-4,5.880842591190981,7171,3,-13.266721392837907,1.11551644663815e-6,Ubiquitin-like modifier-activating enzyme 6,3.1728760041454005
A0FGR8,ESYT2_HUMAN,ESYT2,38,1.3045059140771595,1.3601793989049248e-6,7.64330143557974e-4,7.391046837158504,12.415117282091485,3.3411250913187835e-6,0.0017601464621703766,5.198119067876823,6231,37,12.924461974631024,1.3601793989049248e-6,Extended synaptotagmin-2,3.1167190124250412
A0JLT2,MED19_HUMAN,MED19,4,0.3822851181030753,1.5740765566627537e-6,8.00949257374178e-4,14.160014152526838,13.988426826325567,1.4328902724710148e-6,9.290640082044757e-4,5.950300632816062,1099,13,12.677591788531172,1.5740765566627537e-6,Mediator of RNA polymerase II transcription subunit 19,3.096394996950021
A0JNW5,BLT3B_HUMAN,BLTP3B,53,0.4629685878753751,1.615391787324834e-6,8.00949257374178e-4,11.549878239631637,11.80978571193032,4.7524472973944585e-6,0.001907541822368471,4.874904234771782,6648,33,12.634252800265248,1.615391787324834e-6,Bridge-like lipid transfer protein family member 3B,3.096394996950021
A0MZ66,SHOT1_HUMAN,SHTN1,50,-0.31925606727602585,1.7993905381141824e-6,8.42614602542469e-4,12.338122248649613,-12.12793818611026,3.941108160576144e-6,0.0019048311900629693,5.047321636774817,2084,20,-12.455264867618439,1.7993905381141824e-6,Shootin-1,3.0743710188043956
A0PJW6,TM223_HUMAN,TMEM223,5,-0.24085903167724965,2.152337628288166e-6,9.548449404653132e-4,11.53792572021485,-10.382393604787374,1.1694163054604312e-5,0.0039428040154903905,4.025120394656136,8024,39,-12.163180374840767,2.152337628288166e-6,Transmembrane protein 223,3.0200671488014454
A0PJX8,TMM82_HUMAN,TMEM82,5,-1.10471214834591,2.768092647983952e-6,0.0011666126464928365,7.4267375966720754,-15.588100386011622,6.607818328641984e-7,6.962162586515411e-4,6.604338176459724,6614,2,-11.763375201442837,2.768092647983952e-6,Transmembrane protein 82,2.93307331997502
A0PK00,T120B_HUMAN,TMEM120B,5,-0.11794209480282802,3.011582469694718e-6,0.0012087918398598467,13.112122654914838,-6.84395924262753,1.933595481914917e-4,0.01963647749043474,1.2139990584556015,2728,173,-11.632092361635495,3.011582469694718e-6,Transmembrane protein 120B,2.9176484804325997
A1A4S6,RHG10_HUMAN,ARHGAP10,20,0.40603089332582343,3.5064642620275476e-6,0.0013434539665741,12.158065915107713,11.124332360940713,7.228767549145962e-6,0.0026491861596413613,4.48312803025678,1346,19,11.398511539391917,3.5064642620275476e-6,Rho GTPase-activating protein 10,2.871777210068447
A1IGU5,ARH37_HUMAN,ARHGEF37,20,-0.29058599472046076,3.997622788428919e-6,0.0014650418471159722,9.301019191741945,-11.98134100593598,4.293723171336626e-6,0.0019048311900629693,4.968589042192874,3730,15,-11.200635436128877,3.997622788428919e-6,Rho guanine nucleotide exchange factor 37,2.8341499700457153
A1L0T0,HACL2_HUMAN,ILVBL,36,0.26114177703860264,4.422802707665496e-6,0.0015533251676213527,10.471878528594974,9.845098575639758,1.6892402562426228e-5,0.004934735864955838,3.66922791540751,2356,35,11.050173094650043,4.422802707665496e-6,2-hydroxyacyl-CoA lyase 2,2.808737621076642
A1L170,CA226_HUMAN,C1orf226,8,0.17824077606200106,4.789557294210874e-6,0.0016148471373161385,15.728897571563724,9.18193073993963,2.7269563242002977e-5,0.006965307532328579,3.199087322879106,3064,32,10.932853993497124,4.789557294210874e-6,Uncharacterized protein C1orf226,2.7918685820400815
