Protein.Ids,Protein.Names,Genes,Peptides,logFC,sca.pval,sca.adj.pval,AveExpr,t,P.Value,adj.P.Val,B,gene,count,sca.t,sca.P.Value,ProtDesc,negLog10_sca_adjPval
A0A024R1R8;Q9Y2S6,TMA7B_HUMAN;TMA7_HUMAN,TMA7B;TMA7,2,3.926951408386177,1.1561542827248905e-15,9.745224449088103e-12,12.729291200637812,140.38708197242008,5.150398543395571e-14,4.3412709322281265e-10,20.72371341016302,1324,52,169.2088607331028,1.1561542827248905e-15,Translation machinery-associated protein 7B;Translation machinery-associated protein 7,11.011208153890855
A0A075B767,PAL4H_HUMAN,PPIAL4H,3,3.7091214656829994,4.570914982035669e-15,1.9264121191789325e-11,16.2951475381851,117.8825070072621,1.889776128217877e-13,7.621032594029078e-10,20.130656728620952,1149,161,142.7902621528295,4.570914982035669e-15,Peptidyl-prolyl cis-trans isomerase A-like 4H,10.715250798239971
A0A096LP01,SIM26_HUMAN,SMIM26,4,2.741725921630877,1.6226235274107288e-14,4.000811966283904e-11,11.743379116058337,98.73712427472016,7.063185906254002e-13,1.1300727975507694e-9,19.399913340368787,169,69,122.10749227451414,1.6226235274107288e-14,Small integral membrane protein 26,10.397851859499356
A0A0B4J2F0,PIOS1_HUMAN,PIGBOS1,1,3.1316921710968213,1.8985938860049375e-14,4.000811966283904e-11,11.181220173835763,112.29320599505193,2.7124330029763e-13,7.621032594029078e-10,19.94349590898921,1514,24,119.76132429834632,1.8985938860049375e-14,Protein PIGBOS1,10.397851859499356
A0A0U1RRE5,NBDY_HUMAN,NBDY,2,3.202021121978751,3.148288211764651e-14,5.307384267392849e-11,16.333710908889774,97.02580666764834,8.044176990514435e-13,1.1300727975507694e-9,19.320672058097283,1138,58,112.50855517154534,3.148288211764651e-14,Negative regulator of P-body association,10.275119467266657
A0A6Q8PH20,A0A6Q8PH20_HUMAN,CAST,52,7.092405908327505,6.16770565650371e-14,8.664598496444962e-11,10.639991942534246,103.82866023079767,4.859187691059302e-13,1.0239523261984715e-9,19.620650375142517,2522,12,103.53983849450924,6.16770565650371e-14,Calpastatin,10.062251556991423
A0AAG2TUN3;A0AAG2TVJ1;A8MZA4;H0YM25;P0DX00;P0DX01;P0DX02;Q8N7Z2;Q8N9W4,A0AAG2TUN3_HUMAN;A0AAG2TVJ1_HUMAN;GG6L6_HUMAN;GG6LV_HUMAN;GG6LX_HUMAN;GG6LY_HUMAN;GG6LZ_HUMAN;GG6L1_HUMAN;GG6L2_HUMAN,GOLGA6L26;GOLGA6L2;GOLGA6L6;GOLGA6L22;GOLGA6L24;GOLGA6L25;GOLGA6L26;GOLGA6L1;GOLGA6L2,1,2.2130060195922905,1.576464755782684e-13,1.8982887752131776e-10,10.75909733772278,88.35757486572673,1.613530159944764e-12,1.7000557147718018e-9,18.874928921934366,4393,22,92.20464696489627,1.576464755782684e-13,Golgin subfamily A member 6-like protein 26;Golgin subfamily A member 6-like protein 2;Golgin subfamily A member 6-like protein 6;Golgin subfamily A member 6-like protein 22;Golgin subfamily A member 6-like protein 24;Golgin subfamily A member 6-like protein 25;Golgin subfamily A member 6-like protein 26;Golgin subfamily A member 6-like protein 1;Golgin subfamily A member 6-like protein 2,9.721637720284958
A0AAG2UWQ9,A0AAG2UWQ9_HUMAN,NKRF,33,1.7765023708343488,3.6390721666908987e-13,3.8342174116296983e-10,11.28661477565765,74.47190955941144,5.753166215619867e-12,4.849343803145986e-9,17.969592197565802,4429,27,83.14907061417136,3.6390721666908987e-13,NF-kappa-B-repressing factor,9.416323264959766
A0AAG2UXZ5,A0AAG2UXZ5_HUMAN,COL18A1,37,4.206935644149791,4.3702538402627473e-13,4.0929855132860776e-10,10.951187014579778,93.77182773314858,1.0367543069251945e-12,1.2484002932960664e-9,19.162393402205538,4467,9,81.28866859744765,4.3702538402627473e-13,Collagen type XVIII alpha 1 chain,9.387959792494005
A0AAQ5BIG5;Q9HDB9,A0AAQ5BIG5_HUMAN;GAK5_HUMAN,LOC124906262;ERVK-5,1,2.1040365695953014,6.211753828716177e-13,4.769042501102783e-10,10.485359072685224,65.85522431767849,1.435052067851717e-11,1.099641261811102e-8,17.25059437611911,1458,72,77.83151288034908,6.211753828716177e-13,CCHC-type domain-containing protein;Endogenous retrovirus group K member 5 Gag polyprotein,9.321568807171467
A0ABB0MV19,A0ABB0MV19_HUMAN,NA,11,1.3335924148559535,6.223688161363223e-13,4.769042501102783e-10,14.520911455154424,55.60022019493939,5.047439196506973e-11,2.8363243324904847e-8,16.17856838421515,1192,250,77.8130495966688,6.223688161363223e-13,Small ribosomal subunit protein bS6m,9.321568807171467
A0AV96,RBM47_HUMAN,RBM47,29,4.023415525553768,1.009336673097878e-12,7.089749014618344e-10,9.137513180674066,79.2702459840382,3.616455436294824e-12,3.387011430281008e-9,18.313461599090672,1515,10,73.29844747575675,1.009336673097878e-12,RNA-binding protein 47,9.149369139075842
