Protein.Ids,Protein.Names,Genes,Peptides,logFC,sca.pval,sca.adj.pval,AveExpr,t,P.Value,adj.P.Val,B,gene,count,sca.t,sca.P.Value,ProtDesc,negLog10_sca_adjPval
A0A024R1R8;Q9Y2S6,TMA7B_HUMAN;TMA7_HUMAN,TMA7B;TMA7,2,2.278115272521946,1.063452455670731e-10,8.963840748848592e-7,11.349667787551875,51.13619271102317,1.1465401854946203e-10,9.664187223534155e-7,11.080724305733881,1167,7,43.5998567431054,1.063452455670731e-10,Translation machinery-associated protein 7B;Translation machinery-associated protein 7,6.047505867722725
A0A075B767,PAL4H_HUMAN,PPIAL4H,3,1.332113742828346,7.556238031817346e-9,2.4382252408068562e-5,9.495170116424552,29.606828335626975,6.297724456289437e-9,2.6541759721031834e-05,9.680110045267927,2200,7,25.323639673645523,7.556238031817346e-9,Peptidyl-prolyl cis-trans isomerase A-like 4H,4.612926177174945
A0A096LP01,SIM26_HUMAN,SMIM26,4,0.5085837841034042,8.67798756960561e-9,2.4382252408068562e-5,12.232384562492374,23.338963964605828,3.5704276922675863e-8,7.523783754530871e-5,8.72001993284177,4599,23,24.878898269253078,8.67798756960561e-9,Small integral membrane protein 26,4.612926177174945
A0A0B4J2F0,PIOS1_HUMAN,PIGBOS1,1,-0.6580810546875018,1.3736013039975246e-8,2.8945213478487835e-5,9.895795583724976,-25.441031349471302,1.9051990822534532e-8,5.352974354771452e-5,9.094189456879493,1825,14,-23.457315603504885,1.3736013039975246e-8,Protein PIGBOS1,4.538423243050455
A0A0U1RRE5,NBDY_HUMAN,NBDY,2,0.2797074317932502,5.140777150423964e-8,8.666322120184718e-5,11.728310585021974,13.997313296176406,1.426420945122552e-6,9.290640082045885e-4,5.954221794770454,3561,154,19.797588076496403,5.140777150423964e-8,Negative regulator of P-body association,4.06216517262696
A0A6Q8PH20,A0A6Q8PH20_HUMAN,CAST,52,0.5176241397857755,6.74995338815468e-8,9.482559518125967e-5,11.857912421226512,18.150815891421963,2.2098110691725142e-7,3.7252995004110245e-4,7.467509644166816,4713,23,19.11439726606368,6.74995338815468e-8,Calpastatin,4.023074422728778
A0AAG2TUN3;A0AAG2TVJ1;A8MZA4;H0YM25;P0DX00;P0DX01;P0DX02;Q8N7Z2;Q8N9W4,A0AAG2TUN3_HUMAN;A0AAG2TVJ1_HUMAN;GG6L6_HUMAN;GG6LV_HUMAN;GG6LX_HUMAN;GG6LY_HUMAN;GG6LZ_HUMAN;GG6L1_HUMAN;GG6L2_HUMAN,GOLGA6L26;GOLGA6L2;GOLGA6L6;GOLGA6L22;GOLGA6L24;GOLGA6L25;GOLGA6L26;GOLGA6L1;GOLGA6L2,1,-0.5962688922881725,1.3666825300959313e-7,1.6456810065969437e-4,11.866590142250063,-16.163306004506715,5.094641594386826e-7,6.134676285583793e-4,6.816182143563584,1115,36,-17.448364542991246,1.3666825300959313e-7,Golgin subfamily A member 6-like protein 26;Golgin subfamily A member 6-like protein 2;Golgin subfamily A member 6-like protein 6;Golgin subfamily A member 6-like protein 22;Golgin subfamily A member 6-like protein 24;Golgin subfamily A member 6-like protein 25;Golgin subfamily A member 6-like protein 26;Golgin subfamily A member 6-like protein 1;Golgin subfamily A member 6-like protein 2,3.7836543431824543
A0AAG2UWQ9,A0AAG2UWQ9_HUMAN,NKRF,33,1.1776847839355504,3.2340096911046217e-7,3.3378017971830897e-4,12.897237062454225,16.381068224394525,4.62753133043223e-7,6.134676285583793e-4,6.893459405893555,1166,7,15.601589738017463,3.2340096911046217e-7,NF-kappa-B-repressing factor,3.4765394558369254
A0AAG2UXZ5,A0AAG2UXZ5_HUMAN,COL18A1,37,0.774200677871713,3.5639122285737105e-7,3.3378017971830897e-4,10.267976403236393,15.077567824696077,8.388076983259822e-7,7.631328122747031e-4,6.406431425681895,5550,17,15.40534867887114,3.5639122285737105e-7,Collagen type XVIII alpha 1 chain,3.4765394558369254
A0AAQ5BIG5;Q9HDB9,A0AAQ5BIG5_HUMAN;GAK5_HUMAN,LOC124906262;ERVK-5,1,0.7855865955352712,4.17401906245666e-7,3.518280667744719e-4,9.944654583930966,14.917522825763564,9.053657756254635e-7,7.631328122747031e-4,6.342379613265891,4962,15,15.091064499838755,4.17401906245666e-7,CCHC-type domain-containing protein;Endogenous retrovirus group K member 5 Gag polyprotein,3.4536695180363974
