"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","CM_vs_BM2","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
3.14266371726989,11.2228025197983,91.4165986805766,6.74483161650384e-13,5.47275637363121e-09,14.9630339842918,"TSP1_HUMAN",50,114.627372193596,1.95566814921452e-14,1.58682913627266e-10,-0.0393610000609996,"Non-significant",9.79946983390606,"THBS1","Thrombospondin-1","TSP1_HUMAN"
1.89991664886478,14.7858092784882,60.9446807307834,1.4911847163985e-11,6.04973639442872e-08,14.1988843789098,"FINC_HUMAN",120,89.6676249640976,1.46289082395792e-13,5.93494807279728e-10,-0.0581312179565749,"Non-significant",9.22658307650657,"FN1","Fibronectin","FINC_HUMAN"
1.8457374572754,14.8619198799133,50.2054976704207,6.54188053327936e-11,1.76936062156762e-07,13.6407315228116,"FIBA_HUMAN",43,60.1116499749289,3.86687402580656e-12,1.04586052817982e-08,0.0520174503326754,"Non-significant",7.98052622740041,"FGA","Fibrinogen alpha chain","FIBA_HUMAN"
1.64836597442625,15.2404818534851,45.6535131594579,1.35001132110449e-10,2.73849796486046e-07,13.312920834599,"FIBG_HUMAN",29,51.6042187835506,1.34742592703715e-11,2.73325349299485e-08,0.0310513973235995,"Non-significant",7.56332008821089,"FGG","Fibrinogen gamma chain","FIBG_HUMAN"
1.65443801879881,14.5300977230072,33.3118179868957,1.48603416935984e-09,2.00961354169763e-06,11.9549913710375,"FIBB_HUMAN",38,36.8628700878439,2.10265323717343e-10,3.41218567328504e-07,0.0256264209747243,"Non-significant",6.46696734482891,"FGB","Fibrinogen beta chain","FIBB_HUMAN"
1.98053669929505,13.5780528783799,33.7655289347227,1.34085762334155e-09,2.00961354169763e-06,12.0218307675144,"FGL1_HUMAN",17,34.4341468957586,3.66504893666448e-10,4.95636784534927e-07,0.0650095939636,"Non-significant",6.30483646918922,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN"
2.02918314933777,8.62497079372406,23.0270468908821,2.43751064515195e-08,2.82542305353756e-05,9.86069819147229,"PGBM_HUMAN",106,24.621940044679,5.59807736557903e-09,6.48897139204403e-06,0.0384845733642472,"Non-significant",5.18782414051297,"HSPG2","Basement membrane-specific heparan sulfate proteoglycan core protein","PGBM_HUMAN"
0.949619054794326,10.4796470403671,18.8372641964569,1.10497721754646e-07,8.74971347518172e-05,8.53697721721011,"LAMC1_HUMAN",52,21.1727002783023,1.89661771829085e-08,1.9236445207765e-05,0.0551470518112174,"Non-significant",4.71587518018223,"LAMC1","Laminin subunit gamma-1","LAMC1_HUMAN"
0.451230287551875,13.25610268116,13.9463698990932,1.03713973703024e-06,0.000321774171214055,6.39429111275809,"FAT1_HUMAN",153,20.074592094684,2.913409618281e-08,2.5993107625141e-05,0.0109775066375768,"Non-significant",4.58514179499804,"FAT1","Protocadherin Fat 1","FAT1_HUMAN"
0.646069526672351,10.1667499542236,16.2810647332664,3.28832335834635e-07,0.000156949739586013,7.51651428083619,"AGRIN_HUMAN",63,19.6784447162472,3.42040881766177e-08,2.5993107625141e-05,0.117050051689148,"Non-significant",4.58514179499804,"AGRN","Agrin","AGRIN_HUMAN"
3.04400169849396,7.42767089605332,19.5027334000907,8.51505164361487e-08,7.67679211514345e-05,8.77325062095558,"MIME_HUMAN",7,19.4962269784196,3.68622737008837e-08,2.5993107625141e-05,0.181997776031499,"Non-significant",4.58514179499804,"OGN","Mimecan","MIME_HUMAN"
1.62481498718262,10.4864990711212,18.5128224170513,1.25871983246446e-07,8.74971347518172e-05,8.41770213978383,"K1C19_HUMAN",26,19.3732717502571,3.87864916120714e-08,2.5993107625141e-05,0.148667097091675,"Non-significant",4.58514179499804,"KRT19","Keratin, type I cytoskeletal 19","K1C19_HUMAN"
0.734090566635141,10.2952772378922,18.1522641017314,1.45858416105913e-07,9.1038091406414e-05,8.28187062474044,"CCN1_HUMAN",22,19.2026704392091,4.16453536020253e-08,2.5993107625141e-05,0.101982116699221,"Non-significant",4.58514179499804,"CCN1","CCN family member 1","CCN1_HUMAN"
-1.67007637023925,8.70423817634583,-19.5334593393941,8.41496949417357e-08,7.67679211514345e-05,8.78389656963522,"HBB_HUMAN",8,-18.5419503617813,5.517270651758e-08,3.1976524334546e-05,0.0347251892089506,"Non-significant",4.49516874335275,"HBB","Hemoglobin subunit beta","HBB_HUMAN"
0.730700731277478,11.0647858381271,17.4930670902723,1.92381152583479e-07,0.000111498619433025,8.02420622799992,"FSTL1_HUMAN",17,17.5820255712733,8.44968747870281e-08,4.57071761347964e-05,0.0928061008453334,"Non-significant",4.34001560931577,"FSTL1","Follistatin-related protein 1","FSTL1_HUMAN"
0.573527097702025,12.6096187829971,14.8137448638733,6.63616429699611e-07,0.000269229185529132,6.83564219792743,"K2C7_HUMAN",37,17.1406794025872,1.0356467322983e-07,5.25202349116777e-05,-0.032858371734676,"Non-significant",4.27967334007271,"KRT7","Keratin, type II cytoskeletal 7","K2C7_HUMAN"
0.414648532867449,10.9689502716065,13.0718636030186,1.67141564202573e-06,0.00042380832873115,5.91620665234219,"MX1_HUMAN",43,16.6418976819472,1.31137231567985e-07,6.25910292319193e-05,-0.109763145446779,"Non-significant",4.20348790695337,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
0.632571458816532,10.2715104818344,14.5225328434518,7.68793570383022e-07,0.000297047191908945,6.69090289317839,"TRFM_HUMAN",39,16.4631362608714,1.42947872490329e-07,6.44377242992518e-05,-0.0500340461730993,"Non-significant",4.19085980564775,"MELTF","Melanotransferrin","TRFM_HUMAN"
