"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BM1_vs_DM","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-2.16370383898415,12.0279674530029,-67.3620230475087,1.77417322443362e-10,1.43956415430544e-06,10.8928951233332,"TSP1_HUMAN",50,-93.5023601886707,3.08376365469565e-12,2.50216582942005e-08,0.0812470118204836,"Non-significant",7.60168391110323,"THBS1","Thrombospondin-1","TSP1_HUMAN"
-2.63026881217955,10.4729843139648,-40.7669729448584,4.58179300602555e-09,1.85883342254457e-05,9.91620677079332,"TSP4_HUMAN",21,-42.8656165085314,7.75833061324414e-10,3.14755472979315e-06,0.0908368428548378,"Non-significant",5.50202670962661,"THBS4","Thrombospondin-4","TSP4_HUMAN"
-1.45990872383119,15.0567639214652,-31.3367513120572,2.50606306018208e-08,3.38903261171957e-05,9.08198822527861,"FINC_HUMAN",120,-38.2517340399899,1.73607752712797e-09,4.17952460555275e-06,0.0673941771189668,"Non-significant",5.37887311366194,"FN1","Fibronectin","FINC_HUMAN"
-1.60512574513754,15.409517288208,-33.3536326857858,1.67567955225994e-08,3.38903261171957e-05,9.30230525518667,"FIBG_HUMAN",29,-36.9835058535229,2.20329430864556e-09,4.17952460555275e-06,0.0993864536285241,"Non-significant",5.37887311366194,"FGG","Fibrinogen gamma chain","FIBG_HUMAN"
-1.78214597702028,13.6696304593767,-35.7663285604099,1.06742593779353e-08,2.88703135308557e-05,9.53221787839353,"FGL1_HUMAN",17,-36.1755544264775,2.57550197532213e-09,4.17952460555275e-06,0.11683146158855,"Non-significant",5.37887311366194,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN"
-1.72057716051739,15.0598865236555,-30.1479247320127,3.21598742527335e-08,3.72778885266685e-05,8.93825956657979,"FIBA_HUMAN",43,-33.7048416264985,4.24491884061427e-09,5.74054524545737e-06,0.0756089687346986,"Non-significant",5.24104685571224,"FGA","Fibrinogen alpha chain","FIBA_HUMAN"
-2.47793738047282,8.7951683316912,-32.0140255579902,2.18314558882201e-08,3.38903261171957e-05,9.15911144853634,"AMY1B_HUMAN",12,-31.3908061883898,7.01268896568222e-09,8.12870832393507e-06,0.131028811136876,"Non-significant",5.08997845961562,"AMY1B;AMY1C;AMY1A","Alpha-amylase 1B;Alpha-amylase 1C;Alpha-amylase 1A","AMY1B_HUMAN"
1.08149409294128,8.22653824942453,26.2967475629274,7.75628371994235e-08,6.99272067817914e-05,8.38705525301432,"LAMB1_HUMAN",30,30.0210988705271,9.60588244794448e-09,9.74276627282769e-06,0.101102272669475,"Non-significant",5.01131771597002,"LAMB1","Laminin subunit beta-1","LAMB1_HUMAN"
-2.48378841082255,7.87612560817174,-28.6498885391515,4.46663883492789e-08,4.53028843832561e-05,8.74055441094639,"CLC11_HUMAN",7,-25.5955302002944,2.95308476578123e-08,2.66236997661654e-05,0.0411607424418161,"Non-significant",4.57473159287408,"CLEC11A","C-type lectin domain family 11 member A","CLC11_HUMAN"
-1.48659348487853,14.7997803006853,-19.4768547350073,5.32260711230541e-07,0.000431876341092461,6.95375569313637,"FIBB_HUMAN",38,-21.0469531135843,1.16564735209277e-07,9.45806261488074e-05,0.240601340929667,"Non-significant",4.02419781516652,"FGB","Fibrinogen beta chain","FIBB_HUMAN"
