"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","CTRL.myr_vs_HBVHDV.myr","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
4.18878197669982,11.7458616495132,112.389959736506,1.33639122082297e-13,1.08608514516283e-09,19.6701686702555,"TSP1_HUMAN",50,136.065904624666,3.4093874942378e-15,2.77080921656706e-11,-0.0464715957641495,"Non-significant",10.5573933764352,"THBS1","Thrombospondin-1","TSP1_HUMAN"
-1.6461591720581,16.1754121780396,-47.6056798118645,9.52123833795571e-11,1.54758207945132e-07,15.4445433684298,"ALDOC_HUMAN",31,-54.7556631339365,6.45751008265081e-12,1.48481235124826e-08,-0.258563518524177,"Non-significant",7.8283284284793,"ALDOC","Fructose-bisphosphate aldolase C","ALDOC_HUMAN"
1.85303258895875,11.1182913780212,51.8297019268374,4.97454261755235e-11,1.34760359509493e-07,15.9904814599544,"ANXA3_HUMAN",21,54.3351037237529,6.88316497544844e-12,1.48481235124826e-08,0.0157189369201749,"Non-significant",7.8283284284793,"ANXA3","Annexin A3","ANXA3_HUMAN"
3.95709776878355,9.18336975574492,54.6339598525274,3.32610737016608e-11,1.34760359509493e-07,16.3167512892206,"AMY1B_HUMAN",12,53.9434076118294,7.30804651777165e-12,1.48481235124826e-08,-0.00298595428469994,"Non-significant",7.8283284284793,"AMY1B;AMY1C;AMY1A","Alpha-amylase 1B;Alpha-amylase 1C;Alpha-amylase 1A","AMY1B_HUMAN"
1.70312809944152,13.1744192838669,43.2662567231148,1.97472774918564e-10,2.03003965197454e-07,14.8041553699186,"K2C7_HUMAN",37,49.7456393919782,1.42892437412282e-11,2.17102693892754e-08,0.5977597236633,"Up in HBVHDV.myr",7.66333478762112,"KRT7","Keratin, type II cytoskeletal 7","K2C7_HUMAN"
1.4366917610168,12.0115106105804,38.2789994769848,5.02494236187316e-10,2.55235666093395e-07,13.9470957811416,"FLNC_HUMAN",102,49.0599720963615,1.60282535173683e-11,2.17102693892754e-08,0.21012806892395,"Non-significant",7.66333478762112,"FLNC","Filamin-C","FLNC_HUMAN"
1.73078727722169,10.820618391037,40.9849221988575,2.98513311529662e-10,2.27436466752055e-07,14.4298164744659,"TRFM_HUMAN",39,46.7150296407814,2.403572764986e-11,2.56321403871612e-08,0.0879058837890483,"Non-significant",7.59121512695968,"MELTF","Melanotransferrin","TRFM_HUMAN"
-1.39034414291382,12.3602962493896,-40.8199516964635,3.07838210197195e-10,2.27436466752055e-07,14.4016349819197,"PURA1_HUMAN",29,-46.4416042801795,2.52315889131647e-11,2.56321403871612e-08,-0.149671554565431,"Non-significant",7.59121512695968,"ADSS1","Adenylosuccinate synthetase isozyme 1","PURA1_HUMAN"
-1.10607433319095,16.8858690261841,-33.0598695021629,1.53456091392842e-09,3.66805192573419e-07,12.8756397087146,"AL1L1_HUMAN",79,-44.396430121924,3.66182619438843e-11,3.28782375208282e-08,-0.154819250106824,"Non-significant",7.48309147140858,"ALDH1L1","Cytosolic 10-formyltetrahydrofolate dehydrogenase","AL1L1_HUMAN"
-1.19365000724792,15.6700450181961,-35.7996553911211,8.3699479658084e-10,3.08812417612141e-07,13.4632284895174,"TKFC_HUMAN",40,-43.7022190762083,4.1714693809934e-11,3.28782375208282e-08,0.223982214927672,"Non-significant",7.48309147140858,"TKFC","Triokinase/FMN cyclase","TKFC_HUMAN"
