"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D_vs_B2","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-5.0048773288727,14.0127595663071,-180.177739404244,3.93795235529952e-15,3.19525454109003e-11,21.5923198485304,"MX1_HUMAN",43,-233.361106844077,3.87829373690937e-17,3.14684753812826e-13,-0.106125831604,"Non-significant",12.5021242977457,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
-4.26576018333435,12.7788828611374,-146.10276302083,1.95038345135385e-14,7.91270566214257e-11,21.1000414627597,"IFIT1_HUMAN",34,-176.305077924924,3.97276214757054e-16,1.61174960326937e-12,-0.0572705268860254,"Non-significant",11.792702428018,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN"
-3.75303912162783,12.7193011045456,-122.322854927468,7.56610744057543e-14,2.0463798590943e-10,20.5563822242399,"IFIT2_HUMAN",29,-140.401430700508,2.62818710640782e-15,7.10837006046435e-12,-0.0969557762146014,"Non-significant",11.1482299709857,"IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","IFIT2_HUMAN"
-2.53015613555911,14.64976978302,-94.8444755986602,5.27117064307611e-13,8.55405571958391e-10,19.5505533407296,"STAT1_HUMAN",41,-124.344619781015,7.19859301590658e-15,1.46023459327665e-11,0.00540924072262428,"Non-significant",10.8355773672422,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1_HUMAN"
-3.8452236652374,12.9463824033737,-104.658518379717,2.48701067664326e-13,5.04490115757086e-10,19.9726053088481,"IFIT3_HUMAN",30,-117.058215215284,1.1879656410322e-14,1.92783064226705e-11,-0.03840231895445,"Non-significant",10.7149311210346,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","IFIT3_HUMAN"
-2.3398759365082,13.0715800523758,-65.6952499517176,8.66996589695428e-12,7.81645592087634e-09,17.6187907816595,"RIGI_HUMAN",56,-79.1147932550653,3.06076247753855e-13,4.1391711237913e-10,0.00888752937314941,"Non-significant",9.38308661839701,"RIGI","Antiviral innate immune response receptor RIG-I","RIGI_HUMAN"
-3.89383101463319,14.5438653230667,-74.206792850016,3.42503908698827e-12,4.63179452530381e-09,18.319782408513,"ISG15_HUMAN",15,-74.0006751422722,5.32603742904136e-13,6.02430714887179e-10,-0.0905771255493235,"Non-significant",9.22009289376958,"ISG15","Ubiquitin-like protein ISG15","ISG15_HUMAN"
-2.2846066951752,11.5005818605423,-60.6739570081755,1.58922078639554e-11,1.17226704189213e-08,17.1319137058339,"DDX60_HUMAN",75,-73.0334813003784,5.93966689560936e-13,6.02430714887179e-10,-0.130203366279605,"Non-significant",9.22009289376958,"DDX60","Probable ATP-dependent RNA helicase DDX60","DDX60_HUMAN"
-1.72640490531925,11.0126267671585,-57.9067740105011,2.26803436966185e-11,1.41560237503356e-08,16.835993771286,"SLFN5_HUMAN",37,-70.5548665269785,7.90751573776715e-13,7.12906474402696e-10,-0.0310370922088747,"Non-significant",9.14696744113692,"SLFN5","Schlafen family member 5","SLFN5_HUMAN"
-3.18202519416808,11.8259819746018,-66.2879421424556,8.09630142752437e-12,7.81645592087634e-09,17.6723709331715,"OAS1_HUMAN",20,-68.8052305983265,9.73680263629995e-13,7.90044165909378e-10,-0.210074663162235,"Non-significant",9.10234862962781,"OAS1","2'-5'-oligoadenylate synthase 1","OAS1_HUMAN"
-2.51186966896058,10.2748135328293,-58.7812013064437,2.02328988739363e-11,1.36808117885933e-08,16.931790550719,"IFIH1_HUMAN",45,-66.6213559842275,1.27201689657018e-12,9.3828591807004e-10,-0.108773708343476,"Non-significant",9.02766480157937,"IFIH1","Interferon-induced helicase C domain-containing protein 1","IFIH1_HUMAN"
-2.97522926330564,10.1553337574005,-61.4962004467065,1.43429037139643e-11,1.16378320735107e-08,17.2158884216487,"CMPK2_HUMAN",26,-65.8363131177004,1.40329224309669e-12,9.4885943837388e-10,-0.0265998840332262,"Non-significant",9.02279811808894,"CMPK2","UMP-CMP kinase 2, mitochondrial","CMPK2_HUMAN"
-3.09099030494688,10.8276687860489,-70.2500610412592,5.20111295516424e-12,6.0288329311718e-09,18.0114896029516,"ISG20_HUMAN",11,-63.0058865217095,2.01958778595326e-12,1.26053348424805e-09,-0.000182390213014472,"Non-significant",8.89944561342981,"ISG20","Interferon-stimulated gene 20 kDa protein","ISG20_HUMAN"
-2.14043140411376,10.1763548851013,-48.4999415202979,8.74886054422916e-11,5.0705896039911e-08,15.650842181756,"HELZ2_HUMAN",117,-56.5245309852353,4.96290699279631e-12,2.87635909568209e-09,-0.0998764038085991,"Non-significant",8.54115689591854,"HELZ2","3'-5' exoribonuclease HELZ2","HELZ2_HUMAN"
-1.20368885993958,11.2302578687668,-45.0408576046676,1.53640035725604e-10,6.92575138820861e-08,15.1305557990673,"TAP1_HUMAN",24,-49.960428854669,1.37887677498857e-11,7.45880410150485e-09,0.192025661468506,"Non-significant",8.12733079903559,"TAP1","Antigen peptide transporter 1","TAP1_HUMAN"
-4.1293947696686,12.0704330205918,-46.3720202464134,1.23098507305004e-10,6.24263305170502e-08,15.3369950597646,"OAS2_HUMAN",31,-48.9353006238422,1.63692759499398e-11,8.30126906611324e-09,-0.190844535827649,"Non-significant",8.08085550927703,"OAS2","2'-5'-oligoadenylate synthase 2","OAS2_HUMAN"
-2.32805299758909,9.78519773483275,-47.4840627454427,1.02784305049488e-10,5.55994567447696e-08,15.5034080809613,"IRF9_HUMAN",16,-47.6251875730867,2.04897254161109e-11,9.77962541331316e-09,-0.159048318862913,"Non-significant",8.00967777957299,"IRF9","Interferon regulatory factor 9","IRF9_HUMAN"
-1.00901770591732,11.0446492433548,-34.2760543559277,1.22458753195673e-09,3.75765665469583e-07,13.1071054216681,"PAR14_HUMAN",91,-47.2895869121664,2.17241307105179e-11,9.79275536584126e-09,0.00152635574342419,"Non-significant",8.00909509452815,"PARP14","Protein mono-ADP-ribosyltransferase PARP14","PAR14_HUMAN"
-1.40913558006288,11.0530117750168,-45.6743866000809,1.38149302590743e-10,6.59378494836052e-08,15.2298126341068,"T23O_HUMAN",17,-44.4465440413425,3.62782678092005e-11,1.54927297370449e-08,0.0563319921493521,"Non-significant",7.80987205510785,"TDO2","Tryptophan 2,3-dioxygenase","T23O_HUMAN"
1.787410736084,13.5982596874237,42.4094215882997,2.42873862082862e-10,9.8533925847017e-08,14.6975533891052,"FGL1_HUMAN",17,42.5634222817846,5.18899110984473e-11,2.10517369326401e-08,-0.155985116958618,"Non-significant",7.67671206566486,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN"
0.813646554946954,13.1173454523086,28.6678546453167,4.74515054308359e-09,1.01321451333106e-06,11.7173251377625,"FAT1_HUMAN",153,42.1733242394041,5.59930649598501e-11,2.16346537659154e-08,0.0507371425628751,"Non-significant",7.66485005071973,"FAT1","Protocadherin Fat 1","FAT1_HUMAN"
-1.15296554565429,10.0559597015381,-34.0743135299219,1.28070050469353e-09,3.75765665469583e-07,13.0618873489174,"TDRD7_HUMAN",52,-41.5083543205758,6.38527144185823e-11,2.35500420360171e-08,-0.0154652595519735,"Non-significant",7.62800831333364,"TDRD7","Tudor domain-containing protein 7","TDRD7_HUMAN"
-0.985363721847554,12.0008472204208,-32.7290549352598,1.73853027687383e-09,4.55046279566266e-07,12.7519530390737,"PML_HUMAN",44,-40.9244788950478,7.17826881949736e-11,2.53236840006094e-08,0.272647500038152,"Non-significant",7.59647311442271,"PML","Protein PML","PML_HUMAN"
-2.10740828514097,12.9329873323441,-41.6707974694841,2.77593110090921e-10,1.07256690251321e-07,14.5696499863679,"UB2L6_HUMAN",12,-39.4944440583242,9.63029264611881e-11,3.25584143877533e-08,0.107618808746349,"Non-significant",7.48733675364208,"UBE2L6","Ubiquitin/ISG15-conjugating enzyme E2 L6","UB2L6_HUMAN"
-1.66591167449951,10.2175827026367,-36.3687710739109,7.80866456241523e-10,2.75476105475814e-07,13.5579955275649,"GBP4_HUMAN",27,-39.218092918469,1.02053708464305e-10,3.3122551619175e-08,0.117762923240658,"Non-significant",7.47987621441606,"GBP4","Guanylate-binding protein 4","GBP4_HUMAN"
-1.00476217269896,10.5091500282287,-31.0171780886555,2.61278258408132e-09,6.42427814764722e-07,12.3350632223861,"PAR10_HUMAN",43,-37.5640570975684,1.45669552628974e-10,4.54601057704421e-08,0.165353178977968,"Non-significant",7.34236955815205,"PARP10","Protein mono-ADP-ribosyltransferase PARP10","PAR10_HUMAN"
-1.40310668945315,11.6895086765289,-34.5668611091551,1.14852387660887e-09,3.75765665469583e-07,13.1717271553206,"E2AK2_HUMAN",23,-36.7342531512711,1.75167938687428e-10,5.120165434694e-08,-0.212435483932499,"Non-significant",7.2907160065605,"EIF2AK2","Interferon-induced, double-stranded RNA-activated protein kinase","E2AK2_HUMAN"
-1.21047806739806,10.4654868841171,-34.0186108348876,1.29670182809321e-09,3.75765665469583e-07,13.0493456024076,"IFIT5_HUMAN",24,-36.6958207550114,1.76687986407976e-10,5.120165434694e-08,0.0191802978515412,"Non-significant",7.2907160065605,"IFIT5","Interferon-induced protein with tetratricopeptide repeats 5","IFIT5_HUMAN"
-1.25114369392395,11.8198264837265,-34.0226137609808,1.29554443001221e-09,3.75765665469583e-07,13.0502477019253,"TAP2_HUMAN",22,-35.9727421296196,2.08228246279589e-10,5.8260827252158e-08,0.102964162826524,"Non-significant",7.23462335306749,"TAP2","Antigen peptide transporter 2","TAP2_HUMAN"
-1.61661648750305,11.8483346700668,-32.5834384996528,1.79834062271454e-09,4.55991744147055e-07,12.7174992817057,"SAMH1_HUMAN",38,-35.7976115539415,2.1678523682977e-10,5.86331803878918e-08,-1.23272299766543,"Up in D",7.23185654812373,"SAMHD1","Deoxynucleoside triphosphate triphosphohydrolase SAMHD1","SAMH1_HUMAN"
2.20483279228213,11.7690747976303,32.8558911635534,1.68826098367516e-09,4.55046279566266e-07,12.7818158956112,"TSP1_HUMAN",50,35.4586017951433,2.34491865519861e-10,6.1376354736392e-08,-0.0351359844207799,"Non-significant",7.2119989087501,"THBS1","Thrombospondin-1","TSP1_HUMAN"
-2.19112944602966,11.1009677648544,-43.6321923154133,1.95653212258012e-10,8.35542191716583e-08,14.9030379692198,"PLS1_HUMAN",7,-35.0317290252226,2.59133988931799e-10,6.57066620685194e-08,0.058351993560775,"Non-significant",7.18239059462723,"PLSCR1","Phospholipid scramblase 1","PLS1_HUMAN"
-4.43254649639131,8.85403090715409,-32.9176365068793,1.66438529533871e-09,4.55046279566266e-07,12.7963041302854,"OASL_HUMAN",28,-34.4671355457635,2.96299731133837e-10,7.28538187399986e-08,-0.488560676574725,"Non-significant",7.13754767911371,"OASL","2'-5'-oligoadenylate synthase-like protein","OASL_HUMAN"
-3.26617074012757,14.3440665006638,-29.4925137999365,3.82805190939379e-09,8.62800366467255e-07,11.940577346945,"OAS3_HUMAN",45,-31.1096635621863,6.89598592404688e-10,1.64570675846225e-07,0.020912885665874,"Non-significant",6.78364754732989,"OAS3","2'-5'-oligoadenylate synthase 3","OAS3_HUMAN"
-1.1061336994171,16.3856204748154,-30.4095725996353,3.0354520391372e-09,7.24401701339979e-07,12.1805947927763,"HLAA_HUMAN",17,-30.1427305481557,8.9435529503862e-10,2.07337110398382e-07,-0.0651850700378507,"Non-significant",6.68332295840392,"HLA-A","HLA class I histocompatibility antigen, A alpha chain","HLAA_HUMAN"
-1.23272299766543,11.7923914194107,-28.0715329345508,5.56359293367326e-09,1.15751264266218e-06,11.5512902875346,"5NT3A_HUMAN",23,-29.7478970673231,9.96884621811525e-10,2.2468671726052e-07,-0.453190088272095,"Non-significant",6.64842260088291,"NT5C3A","Cytosolic 5'-nucleotidase 3A","5NT3A_HUMAN"
-0.947368621826175,12.0182092189789,-26.6501733923853,8.24265612456093e-09,1.59240266177827e-06,11.1389735565826,"RO52_HUMAN",27,-29.4215916154531,1.09160495639553e-09,2.39386016653875e-07,0.000971555709840644,"Non-significant",6.62090122179689,"TRIM21","E3 ubiquitin-protein ligase TRIM21","RO52_HUMAN"
-1.64447021484375,9.31203055381775,-28.8626859288065,4.50793712353201e-09,9.88578427576722e-07,11.7707245859057,"TREX1_HUMAN",15,-28.9707790419246,1.23948268510988e-09,2.64662171236356e-07,0.658075332641625,"Up in B2",6.57730812895689,"TREX1","Three-prime repair exonuclease 1","TREX1_HUMAN"
2.62210369110107,10.390730381012,27.6630680800491,6.21624976754314e-09,1.26096626534613e-06,11.4352435870131,"TSP4_HUMAN",21,28.8600292492512,1.27915799315273e-09,2.6613046042157e-07,0.0558748245239009,"Non-significant",6.57490541467855,"THBS4","Thrombospondin-4","TSP4_HUMAN"
0.65807533264163,11.7746934890747,23.8031074028375,1.93484046384367e-08,3.27068656742241e-06,10.234434670378,"A0AAG2UXZ5_HUMAN",30,28.3065036259017,1.50002177962721e-09,3.04279417997379e-07,-0.14826583862305,"Non-significant",6.51672742310181,"COL18A1","Collagen type XVIII alpha 1 chain;Collagen alpha-1(XVIII) chain","A0AAG2UXZ5_HUMAN"
-0.634990930557271,16.1994866132736,-22.1597051554411,3.31740946052805e-08,5.07876610617445e-06,9.65708588531799,"AMPL_HUMAN",38,-27.568411750406,1.86393400319341e-09,3.65540158089473e-07,0.025234460830676,"Non-significant",6.43706490467431,"LAP3","Cytosol aminopeptidase","AMPL_HUMAN"
-1.65356040000916,8.88526093959808,-25.5381874639722,1.13754654813279e-08,2.09773924807942e-06,10.7989297901877,"SAMD9_HUMAN",42,-27.5181092840704,1.89212307613481e-09,3.65540158089473e-07,-0.00227308273314897,"Non-significant",6.43706490467431,"SAMD9","Sterile alpha motif domain-containing protein 9","SAMD9_HUMAN"
-1.56837439537045,12.1023567914963,-36.7287738726932,7.2457910829269e-10,2.67237949303949e-07,13.6323714288322,"BST2_HUMAN",7,-27.4280458240763,1.94379393068933e-09,3.66789394270075e-07,0.0628433227539507,"Non-significant",6.43558323046269,"BST2","Bone marrow stromal antigen 2","BST2_HUMAN"
-0.737030267715447,14.8336483240127,-25.9799929156062,9.9926981445066e-09,1.8855989010355e-06,10.9359601185519,"APOL2_HUMAN",21,-27.2558254738484,2.04705703593282e-09,3.7749592703543e-07,0.15512180328369,"Non-significant",6.42308772979792,"APOL2","Apolipoprotein L2","APOL2_HUMAN"
-0.808317184448198,11.7145154476166,-22.5760882740879,2.88344043515798e-08,4.49927609439844e-06,9.80760580530156,"UBA7_HUMAN",43,-26.5146547844919,2.56737724113091e-09,4.62926642989693e-07,0.298696756362901,"Non-significant",6.33448782338564,"UBA7","Ubiquitin-like modifier-activating enzyme 7","UBA7_HUMAN"
-0.959870338439949,11.9514288902283,-24.2029105749611,1.70634874958999e-08,2.94581143705813e-06,10.368397373483,"NUB1_HUMAN",27,-26.4075734499336,2.65413157936525e-09,4.68165731194992e-07,0.0457913875579994,"Non-significant",6.32960037897258,"NUB1","NEDD8 ultimate buster 1","NUB1_HUMAN"
0.429640293121324,12.5847952365875,16.2150641704534,3.44129515582782e-07,3.40520352370572e-05,7.1139306764682,"LRP1_HUMAN",189,26.0663592876402,2.95323105936244e-09,5.0984078331206e-07,-0.000698089599609375,"Non-significant",6.29256542728387,"LRP1","Prolow-density lipoprotein receptor-related protein 1","LRP1_HUMAN"
2.26650071144104,8.72486269474029,24.5704414337631,1.52288608781819e-08,2.73805638336754e-06,10.4894418387467,"AMY1B_HUMAN",12,24.8461905136671,4.37655762601004e-09,7.39820595363447e-07,0.18823885917665,"Non-significant",6.13087358282301,"AMY1B;AMY1C;AMY1A","Alpha-amylase 1B;Alpha-amylase 1C;Alpha-amylase 1A","AMY1B_HUMAN"
-0.917381286621046,11.6816220283508,-24.5083282579915,1.55226267728502e-08,2.73805638336754e-06,10.4691242340165,"APOL3_HUMAN",18,-24.7263444816651,4.55356944773911e-09,7.54033928550105e-07,0.1059424877167,"Non-significant",6.12260911215333,"APOL3","Apolipoprotein L3","APOL3_HUMAN"
-0.908993005752524,14.9646152257919,-23.1634003521397,2.37608097343399e-08,3.78029823891047e-06,10.0149412887948,"GBP1_HUMAN",22,-24.4490659914345,4.9946513776184e-09,7.9729612656654e-07,-0.0906701087951625,"Non-significant",6.0983803457961,"GBP1","Guanylate-binding protein 1","GBP1_HUMAN"
-0.742273569107049,11.669832110405,-20.3688793117911,6.25192311748504e-08,8.7462248578058e-06,8.97364364379423,"DSRAD_HUMAN",59,-24.4391123790484,5.01135105433739e-09,7.9729612656654e-07,0.0133640766143746,"Non-significant",6.0983803457961,"ADAR","Double-stranded RNA-specific adenosine deaminase","DSRAD_HUMAN"
-0.714286804199205,11.9357731342316,-20.2583068597932,6.51278489267484e-08,8.95673502019722e-06,8.92939528776047,"DTX3L_HUMAN",43,-23.8927586037279,6.03145367834644e-09,9.41138752809674e-07,0.0119009017944318,"Non-significant",6.02634634348314,"DTX3L","E3 ubiquitin-protein ligase DTX3L","DTX3L_HUMAN"
0.537284851074201,15.7358918190002,19.9704269795238,7.25155245950976e-08,9.80651610941037e-06,8.81300063865559,"APOE_HUMAN",29,23.6879709670862,6.47211118180779e-09,9.90843587343178e-07,-0.14454102516175,"Non-significant",6.00399489699309,"APOE","Apolipoprotein E","APOE_HUMAN"
1.13999795913695,11.9757134914398,22.0765178822781,3.41269072918604e-08,5.12788381048436e-06,9.62665301848967,"APOA5_HUMAN",23,23.2890423037041,7.43787905476334e-09,1.1176101972287e-06,-0.0696783065795987,"Non-significant",5.95170964431339,"APOA5","Apolipoprotein A-V","APOA5_HUMAN"
-1.44646501541138,11.0934557914734,-23.348646369454,2.23759411501598e-08,3.70527319372239e-06,10.0791680846605,"NAT8_HUMAN",11,-22.4370499516866,1.00900746266959e-08,1.4885611912911e-06,-0.0408594608306743,"Non-significant",5.82723330781347,"NAT8","N-acetyltransferase 8","NAT8_HUMAN"
-1.67012977600097,11.532440662384,-20.87613977283,5.1969363457199e-08,7.39788447529321e-06,9.17346617650266,"STAT2_HUMAN",35,-22.1584358751208,1.11755170319902e-08,1.61925259281372e-06,0.149324893951411,"Non-significant",5.79068539886336,"STAT2","Signal transducer and activator of transcription 2","STAT2_HUMAN"
-1.16272163391113,9.80883431434631,-23.173028975115,2.36864876118998e-08,3.78029823891047e-06,10.0182932365428,"CDHR5_HUMAN",12,-21.9324960303705,1.21520903473849e-08,1.72986072067861e-06,-0.0653100013732892,"Non-significant",5.76198886257973,"CDHR5","Cadherin-related family member 5","CDHR5_HUMAN"
