"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","C_vs_BM2","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
1.93870401382445,14.7664155960083,72.1491920299951,5.98201243506066e-12,4.2520838481471e-08,14.4081240979917,"FINC_HUMAN",120,110.385161569222,3.67334232669296e-14,2.98054996387866e-10,-0.0418553352355744,"Non-significant",9.52570359356108,"FN1","Fibronectin","FINC_HUMAN"
1.8388588428497,14.4378873109818,65.2415957773175,1.27274102773765e-11,4.2520838481471e-08,14.192068365799,"FIBB_HUMAN",38,81.4096722219889,4.31797239281307e-13,1.75180139976426e-09,-0.0805606842041229,"Non-significant",8.75651513097353,"FGB","Fibrinogen beta chain","FIBB_HUMAN"
3.20143556594848,11.193416595459,63.4296813753588,1.57212861035757e-11,4.2520838481471e-08,14.1256594509539,"TSP1_HUMAN",50,70.0968905062886,1.44850818630627e-12,3.91773180789636e-09,0.0322313308715998,"Non-significant",8.40696529737071,"THBS1","Thrombospondin-1","TSP1_HUMAN"
1.77209830284119,15.1786156892776,55.2525458740726,4.42530423658808e-11,8.97672964391891e-08,13.7596865253865,"FIBG_HUMAN",29,62.7149027880569,3.56227739867719e-12,7.22607970321668e-09,0.00383734703062366,"Non-significant",8.14109725250003,"FGG","Fibrinogen gamma chain","FIBG_HUMAN"
2.16958332061773,13.4835295677185,50.4758866444194,8.71462256202853e-11,1.41420894936599e-07,13.4811374442068,"FGL1_HUMAN",17,50.9358152105485,1.91365087959877e-11,2.81149999418384e-08,-0.0206978321075262,"Non-significant",7.551061913053,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN"
2.04486608505248,14.7623555660248,45.2226462753129,1.98502164087657e-10,2.68441093234541e-07,13.0986700319491,"FIBA_HUMAN",43,50.4158653606886,2.07899925623651e-11,2.81149999418384e-08,0.0894467830657746,"Non-significant",7.551061913053,"FGA","Fibrinogen alpha chain","FIBA_HUMAN"
1.99228835105896,8.64341819286346,29.635423818501,4.67326777235797e-09,5.41698495784465e-06,11.1640391903671,"PGBM_HUMAN",106,32.1595687214078,7.80035740528895e-10,9.04172856950208e-07,0.0571355819702219,"Non-significant",6.04374853452101,"HSPG2","Basement membrane-specific heparan sulfate proteoglycan core protein","PGBM_HUMAN"
0.849891662597644,10.064838886261,24.7078379190994,1.80939456285032e-08,1.74522286420297e-05,10.1185941219275,"AGRIN_HUMAN",63,30.2524012846185,1.2751796339204e-09,1.29335094370377e-06,0.129422664642333,"Non-significant",5.88828361569661,"AGRN","Agrin","AGRIN_HUMAN"
0.788408279418949,10.5602524280548,22.3400034511343,3.82184463229949e-08,3.10104473464781e-05,9.49268450841494,"LAMC1_HUMAN",52,26.6930879985808,3.4829337163272e-09,3.14005824158655e-06,0.0493333339691269,"Non-significant",5.50306229658759,"LAMC1","Laminin subunit gamma-1","LAMC1_HUMAN"
0.878406524658176,12.5062518119812,24.484320943683,1.93579070468655e-08,1.74522286420297e-05,10.0634115270344,"LG3BP_HUMAN",20,25.4158490777916,5.15933314988731e-09,4.18628291781856e-06,0.0279254913330051,"Non-significant",5.37817142446951,"LGALS3BP","Galectin-3-binding protein","LG3BP_HUMAN"
0.611559152603126,13.4568740129471,17.7130612096484,2.12202040127533e-07,0.000132446719507293,7.94769397124264,"APOB_HUMAN",239,22.7710696493517,1.24256123994334e-08,9.16558354627299e-06,0.250512123107876,"Non-significant",5.03783987954426,"APOB","Apolipoprotein B-100","APOB_HUMAN"
0.536803722381604,14.0680227279663,17.7351781118848,2.10263196934942e-07,0.000132446719507293,7.95632474254658,"VIME_HUMAN",46,22.1674306016,1.53986922002983e-08,1.04120823761017e-05,0.145860671997024,"Non-significant",4.98246240459038,"VIM","Vimentin","VIME_HUMAN"
