"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","CTRL_vs_CTRL.myr","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-1.27356433868407,10.3108737468719,-16.4821688948062,3.05591967246295e-07,0.00248354591781064,4.89292919194568,"K1C19_HUMAN",26,-17.3262456765247,9.50155346017058e-08,0.000772191249708063,-0.00249433517457476,"Non-significant",3.11227512400831,"KRT19","Keratin, type I cytoskeletal 19","K1C19_HUMAN"
-0.474938392639149,11.5306339263916,-11.1110799795958,5.54899115424308e-06,0.0150322170368445,3.53319987878018,"FLNC_HUMAN",102,-13.6098489548435,6.47544976228003e-07,0.00263129901090249,-0.0224294662475479,"Non-significant",2.57982979752191,"FLNC","Filamin-C","FLNC_HUMAN"
-0.515741109848001,12.5807257890701,-11.2269630864629,5.14757519030121e-06,0.0150322170368445,3.57597512261116,"K2C7_HUMAN",37,-12.6097740245902,1.17996718314537e-06,0.00319653109914081,-0.0197861194610756,"Non-significant",2.49532106594636,"KRT7","Keratin, type II cytoskeletal 7","K2C7_HUMAN"
0.262931346893296,12.8578667640686,6.72238824871098,0.000184848223032226,0.15022615085829,1.10662461955543,"CO4B_HUMAN",83,8.46389109588509,2.50137938646552e-05,0.0508217756845133,-0.0272140502929759,"Non-significant",1.29395016501344,"C4B_2","Complement C4-B","CO4B_HUMAN"
0.280646324157701,12.2816655635834,6.87555948998528,0.000159093084492756,0.15022615085829,1.22620053428213,"CERU_HUMAN",44,8.06733611226849,3.5686673094605e-05,0.058005118447971,-0.0463242530822505,"Non-significant",1.23653368202964,"CP","Ceruloplasmin","CERU_HUMAN"
-0.226929903030401,12.3217040300369,-5.92412212521989,0.000421828427404926,0.174109659083161,0.428290302074689,"LIMC1_HUMAN",62,-7.3570773862249,6.99302315246751e-05,0.0947204986001724,0.0244371891021746,"Non-significant",1.02355602452811,"LIMCH1","LIM and calponin homology domains-containing protein 1","LIMC1_HUMAN"
0.141270637512225,15.2504768371582,4.55707822131397,0.0020954858419214,0.279813727253474,-0.974152592943542,"CO3_HUMAN",111,7.03428396439893,9.65343407218141e-05,0.112076369578026,0.0186510086059748,"Non-significant",0.950485945332614,"C3","Complement C3","CO3_HUMAN"
0.178895711898797,11.5200425386429,5.71074887860893,0.000532828480026446,0.180429044048955,0.230294226381921,"C1R_HUMAN",30,6.78021303082018,0.000125402560189907,0.119094896235477,0.0742756128311157,"Non-significant",0.924106849636141,"C1R","Complement C1r subcomponent","C1R_HUMAN"
0.317454099655147,7.95596373081207,6.45618426128774,0.000241398471311737,0.150911182796191,0.890940320016157,"ITB2_HUMAN",19,6.65424564424552,0.000143153238544874,0.119094896235477,0.0383558273315501,"Non-significant",0.924106849636141,"ITGB2","Integrin beta-2","ITB2_HUMAN"
-0.255609750747702,10.3195799589157,-6.23217960086553,0.000304088412948555,0.164755102135527,0.701422913325925,"ANXA3_HUMAN",21,-6.53945082444665,0.00016176499399395,0.119094896235477,-0.0891245603561428,"Non-significant",0.924106849636141,"ANXA3","Annexin A3","ANXA3_HUMAN"
0.619271755218503,6.54947078227997,6.76360410163074,0.000177489398910279,0.15022615085829,1.13911997754482,"ZN787_HUMAN",8,6.43066120251463,0.00018188965391393,0.119094896235477,0.0685143470763769,"Non-significant",0.924106849636141,"ZNF787","Zinc finger protein 787","ZN787_HUMAN"
0.358165740966795,9.35196018218994,5.96975853713405,0.000401569507002345,0.174109659083161,0.469689517478435,"PERM_HUMAN",27,6.35302813043762,0.000197933989761388,0.119094896235477,-0.00280642509465068,"Non-significant",0.924106849636141,"MPO","Myeloperoxidase","PERM_HUMAN"
0.215062856674173,12.9479368925095,5.60383199923416,0.000600312647799299,0.195149635546596,0.1282883285168,"PURA1_HUMAN",29,6.29404678990847,0.000211165425219444,0.119094896235477,0.0836727619171143,"Non-significant",0.924106849636141,"ADSS1","Adenylosuccinate synthetase isozyme 1","PURA1_HUMAN"
0.18970108032225,11.0359723567963,4.84149703730124,0.00146926996247448,0.243932427768736,-0.655491354631296,"SYNE2_HUMAN",160,6.28901977680293,0.000212337383231596,0.119094896235477,0.0141098499298504,"Non-significant",0.924106849636141,"SYNE2","Nesprin-2","SYNE2_HUMAN"
0.205978870391901,13.9026103019714,5.22735545531528,0.000924680393626374,0.209320763796043,-0.246189855631522,"VIME_HUMAN",46,6.22907835030991,0.000226876934191111,0.119094896235477,-0.116849422454838,"Non-significant",0.924106849636141,"VIM","Vimentin","VIME_HUMAN"
-0.64419794082642,7.46176660060883,-7.38089347558098,9.86742394236539e-05,0.15022615085829,1.5984798643504,"PODXL_HUMAN",4,-6.11771880908481,0.000256884336325904,0.119094896235477,0.0217568874359504,"Non-significant",0.924106849636141,"PODXL","Podocalyxin","PODXL_HUMAN"
0.203822135925291,9.7418041229248,5.01781873023513,0.00118595488106996,0.229482269487037,-0.46519917977296,"AGRIN_HUMAN",63,6.09428407186141,0.00026373976912709,0.119094896235477,-0.0455083847045898,"Non-significant",0.924106849636141,"AGRN","Agrin","AGRIN_HUMAN"
0.243170976638801,14.5839174985886,6.34982330782671,0.000269169203411463,0.156252722580354,0.801887623480252,"NDRG1_HUMAN",15,6.09416176419093,0.000263776071396405,0.119094896235477,0.081345081329351,"Non-significant",0.924106849636141,"NDRG1","Protein NDRG1","NDRG1_HUMAN"
-0.252548217773455,10.0814988613129,-5.31662469791517,0.00083320450891179,0.209320763796043,-0.155206682556713,"TRFM_HUMAN",39,-5.96445049935153,0.000305554456170147,0.12097175748059,-0.0991151332855225,"Non-significant",0.917316009865422,"MELTF","Melanotransferrin","TRFM_HUMAN"
1.10467517375946,8.98693877458572,5.86751480343881,0.000448545560334882,0.174109659083161,0.376477900094041,"HBB_HUMAN",8,5.95068418368787,0.000310398658152715,0.12097175748059,-0.0442042350769025,"Non-significant",0.917316009865422,"HBB","Hemoglobin subunit beta","HBB_HUMAN"
0.890061140060398,11.6130796670914,6.49609690507711,0.000231810930912699,0.150911182796191,0.923928752880781,"SSRG_HUMAN",3,5.91641291131413,0.000322828543623474,0.12097175748059,-0.0131099224090772,"Non-significant",0.917316009865422,"SSR3","Translocon-associated protein subunit gamma","SSRG_HUMAN"
-0.270506381988525,8.89552760124207,-6.15228055260707,0.000330662111395143,0.167955686206771,0.631994795322438,"FRMD8_HUMAN",14,-5.89835186779034,0.000329598163011136,0.12097175748059,0.0244402885437012,"Non-significant",0.917316009865422,"FRMD8","FERM domain-containing protein 8","FRMD8_HUMAN"
