"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BD_vs_D","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-3.23514175415043,12.2842292785645,-116.362780398655,2.14456560513603e-13,1.74010053200737e-09,19.0179992695253,"TSP1_HUMAN",50,-145.480669125703,3.92972304430016e-15,3.18857727814515e-11,-0.0237288475036479,"Non-significant",10.4964030530172,"THBS1","Thrombospondin-1","TSP1_HUMAN"
-1.84509992599487,12.7176332473755,-64.3594645395267,1.74464462920391e-11,4.71868217378685e-08,16.6528130712457,"ANXA1_HUMAN",23,-69.0887715223624,1.6285596616869e-12,6.18821482490298e-09,0.0775804519653249,"Non-significant",8.20843461810607,"ANXA1","Annexin A1","ANXA1_HUMAN"
-1.67090582847593,15.4312735795975,-58.2254093170418,3.66887541613091e-11,7.44231378162156e-08,16.1115337270187,"IFIT2_HUMAN",29,-66.144688398896,2.31606419064003e-12,6.18821482490298e-09,-0.0789551734924245,"Non-significant",8.20843461810607,"IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","IFIT2_HUMAN"
-2.02235913276672,13.7157338857651,-65.2690156826237,1.572055927395e-11,4.71868217378685e-08,16.7255370088667,"FGL1_HUMAN",17,-63.9291807761623,3.05063585156667e-12,6.18821482490298e-09,-0.146418333053576,"Non-significant",8.20843461810607,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN"
-1.07020664215087,15.44686627388,-47.6580517528176,1.62032545709644e-10,1.63550118513552e-07,14.9203146574258,"IFIT1_HUMAN",34,-60.9832122838219,4.46724571927474e-12,6.67169637737176e-09,-0.315657615661625,"Non-significant",8.17576372625408,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN"
-1.2037830352783,14.7265508174896,-46.937314138786,1.81408807816363e-10,1.63550118513552e-07,14.8242263326254,"VIME_HUMAN",46,-60.2389192741854,4.93347033081471e-12,6.67169637737176e-09,-0.132511377334575,"Non-significant",8.17576372625408,"VIM","Vimentin","VIME_HUMAN"
-1.98752236366275,15.2939018011093,-51.5150139001085,9.0994188831168e-11,1.25597110222101e-07,15.3994683552951,"FIBG_HUMAN",29,-56.2494504249657,8.58383098537365e-12,9.52330651556078e-09,-0.0584750175476003,"Non-significant",8.02121223731491,"FGG","Fibrinogen gamma chain","FIBG_HUMAN"
0.855885744094877,10.3023253679276,35.7422191054965,1.36432794783151e-09,5.27150331843089e-07,12.9968246700901,"SYNE2_HUMAN",160,55.6284545197185,9.38950605428718e-12,9.52330651556078e-09,0.169419646263122,"Non-significant",8.02121223731491,"SYNE2","Nesprin-2","SYNE2_HUMAN"
-3.77539587020875,10.9673764705658,-51.3731372533858,9.28743728534149e-11,1.25597110222101e-07,15.3828281678483,"TSP4_HUMAN",21,-53.6301136536036,1.2618965149073e-11,1.13766981355087e-08,-0.182672262191749,"Non-significant",7.94398376514666,"THBS4","Thrombospondin-4","TSP4_HUMAN"
-1.94063830375675,14.7595554590225,-47.5452216123843,1.64904690026413e-10,1.63550118513552e-07,14.9054158997536,"FIBB_HUMAN",38,-52.7450839819967,1.44347624816384e-11,1.17123662776014e-08,-0.122558951377868,"Non-significant",7.93135535450172,"FGB","Fibrinogen beta chain","FIBB_HUMAN"
