"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","C_vs_BT","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
2.06927347183225,14.8317003250122,70.5059900964735,6.61142403122745e-12,3.5461426596056e-08,15.2688755976547,"FINC_HUMAN",120,112.527610179961,3.14397502366803e-14,2.55102133420424e-10,0.0910511016845739,"Non-significant",9.59328590936809,"FN1","Fibronectin","FINC_HUMAN"
3.36824178695678,11.2768197059631,63.782454953722,1.4058015779464e-11,3.80222466781902e-08,14.987053995171,"TSP1_HUMAN",50,70.9701340498932,1.31048507361124e-12,4.74416366765174e-09,-0.00140237808227539,"Non-significant",8.3238403367745,"THBS1","Thrombospondin-1","TSP1_HUMAN"
2.26587653160098,13.5316761732101,67.9389629323503,8.74080024551541e-12,3.5461426596056e-08,15.1689615507132,"FGL1_HUMAN",17,66.8691375354484,2.12077529622243e-12,4.74416366765174e-09,0.126833915710449,"Non-significant",8.3238403367745,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN"
1.90661931037902,14.4717675447464,54.9750235409529,4.30035182076334e-11,6.97861093473475e-08,14.4971245876405,"FIBB_HUMAN",38,65.7001454970757,2.44586701054049e-12,4.74416366765174e-09,0.000181436538674973,"Non-significant",8.3238403367745,"FGB","Fibrinogen beta chain","FIBB_HUMAN"
1.97702288627627,15.2810779809952,56.5918480416803,3.45786862236869e-11,6.97861093473475e-08,14.5996957256369,"FIBG_HUMAN",29,64.2667910006771,2.92344322630746e-12,4.74416366765174e-09,0.0623908042908248,"Non-significant",8.3238403367745,"FGG","Fibrinogen gamma chain","FIBG_HUMAN"
2.0875174999237,14.7836812734604,45.8591380833897,1.68076452679035e-10,2.27295389506282e-07,13.7760824197252,"FIBA_HUMAN",43,51.8767835096243,1.65061891527879e-11,2.23218697976202e-08,0.167293548583974,"Non-significant",7.6512694294129,"FGA","Fibrinogen alpha chain","FIBA_HUMAN"
-1.59644651412962,10.1218447685242,-32.4609981319469,2.24695640081141e-09,2.60454346231197e-06,12.0266594884893,"PLIN2_HUMAN",25,-34.6280549345041,4.30183707999256e-10,4.98644372386566e-07,0.161013126373298,"Non-significant",6.30220907796783,"PLIN2","Perilipin-2","PLIN2_HUMAN"
1.96052622795105,8.62753713130951,30.8022613832273,3.32790001347268e-09,3.37532258866466e-06,11.7210762408802,"PGBM_HUMAN",106,34.0335703756068,4.94533807962217e-10,5.01580914725679e-07,0.124208211898803,"Non-significant",6.29965899687234,"HSPG2","Basement membrane-specific heparan sulfate proteoglycan core protein","PGBM_HUMAN"
0.759545564651516,10.0196658372879,23.2650368644946,2.70587754692016e-08,1.82962420130918e-05,9.93702668907751,"AGRIN_HUMAN",63,30.8438349681111,1.09141669042994e-09,9.7563160001128e-07,0.0200619697570765,"Non-significant",6.01071414164216,"AGRN","Agrin","AGRIN_HUMAN"
-0.551523685455322,11.9511461257935,-19.5452246346315,9.87055317958534e-08,4.62124260951308e-05,8.72703030812575,"TENS1_HUMAN",76,-30.4744205282799,1.20240522555001e-09,9.7563160001128e-07,-0.0824553966522199,"Non-significant",6.01071414164216,"TNS1","Tensin-1","TENS1_HUMAN"
