"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D_vs_BDM","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-4.98859834671023,14.0208990573883,-197.289790548274,4.150147824751e-15,1.68371497250148e-11,22.7384212442156,"MX1_HUMAN",43,-254.394706482922,6.38205003790089e-17,2.66310211543315e-13,-0.0852293968200755,"Non-significant",12.5746121804184,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
-4.72670030593875,12.5484127998352,-200.147635538485,3.72908677577391e-15,1.68371497250148e-11,22.7758989289636,"IFIT1_HUMAN",34,-253.501231641037,6.56421522167402e-17,2.66310211543315e-13,-0.220530509948727,"Non-significant",12.5746121804184,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN"
-4.21269369125368,12.4894738197327,-172.22094253367,1.14044377312481e-14,3.08452025837824e-11,22.346259925458,"IFIT2_HUMAN",29,-205.253790222411,3.55297111431814e-16,9.60960254052581e-13,-0.0689275264740257,"Non-significant",12.0172945746651,"IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","IFIT2_HUMAN"
-2.50311207771303,14.6632918119431,-110.181157422489,3.16042051994798e-13,4.27394201647632e-10,20.52984419869,"STAT1_HUMAN",41,-150.415079191442,4.26907979188344e-15,8.65982835783555e-12,0.0327732563018248,"Non-significant",11.062490715833,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1_HUMAN"
-4.2334895133972,12.7522494792938,-119.757937954795,1.70049969993185e-13,2.75957091304941e-10,20.9319725180281,"IFIT3_HUMAN",30,-132.65448575729,1.16608949293027e-14,1.89233002912725e-11,0.3960256576538,"Non-significant",10.7230031188172,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","IFIT3_HUMAN"
-3.46670150756837,11.6836438179016,-122.255496321187,1.45852676969267e-13,2.75957091304941e-10,21.0271114339234,"OAS1_HUMAN",20,-127.076063549371,1.64412046876831e-14,2.22339891393101e-11,0.147968292236325,"Non-significant",10.6529826108159,"OAS1","2'-5'-oligoadenylate synthase 1","OAS1_HUMAN"
-2.42994928359987,13.02654337883,-91.014218619395,1.30868669927612e-12,1.15779304863218e-09,19.5030275839214,"RIGI_HUMAN",56,-118.495457021838,2.87550338728035e-14,3.33311921205611e-11,-0.0319089889526261,"Non-significant",10.4771491531225,"RIGI","Antiviral innate immune response receptor RIG-I","RIGI_HUMAN"
3.1735942363739,12.2534555196762,91.0959931135552,1.29997861132121e-12,1.15779304863218e-09,19.5081782847539,"TSP1_HUMAN",50,105.848492155468,7.08964746535333e-14,7.19067494173461e-11,-0.249540090560912,"Non-significant",10.1432303433148,"THBS1","Thrombospondin-1","TSP1_HUMAN"
-4.14173507690433,12.0642628669739,-95.5331599649928,9.12813745879607e-13,1.05808153343816e-09,19.7766842300304,"OAS2_HUMAN",31,-103.655279238666,8.38152281258871e-14,7.55640845570498e-11,-0.118355274200475,"Non-significant",10.1216845746697,"OAS2","2'-5'-oligoadenylate synthase 2","OAS2_HUMAN"
-3.1925525665283,10.0466721057892,-89.9615020163274,1.42690787359154e-12,1.15779304863218e-09,19.4360384136427,"CMPK2_HUMAN",26,-97.7427437314747,1.34039607898611e-13,1.08759737848933e-10,-0.42474496364594,"Non-significant",9.9635318478931,"CMPK2","UMP-CMP kinase 2, mitochondrial","CMPK2_HUMAN"
-2.24712300300598,10.1230090856552,-74.7993663400399,5.62577012957278e-12,3.62219660387536e-09,18.3106897067414,"HELZ2_HUMAN",117,-96.212420394378,1.52061156966654e-13,1.12165838875221e-10,-0.0780775547027019,"Non-significant",9.95013939127037,"HELZ2","3'-5' exoribonuclease HELZ2","HELZ2_HUMAN"
-2.44198417663575,11.421893119812,-76.4165615525745,4.79897229041969e-12,3.53989646949685e-09,18.4468287578211,"DDX60_HUMAN",75,-93.5349116824396,1.90545673546046e-13,1.28840632929385e-10,0.0182859897613756,"Non-significant",9.88994715037622,"DDX60","Probable ATP-dependent RNA helicase DDX60","DDX60_HUMAN"
-1.97324037551883,10.8892090320587,-65.6758347436644,1.47881150497124e-11,7.49942284458539e-09,17.4537937163057,"SLFN5_HUMAN",37,-77.214336428924,8.82140935788763e-13,5.50591657922309e-10,0.133838653564451,"Non-significant",9.25917037293861,"SLFN5","Schlafen family member 5","SLFN5_HUMAN"
-1.6088192462921,11.8522332906723,-61.0234066022879,2.55224316858374e-11,1.21817065116991e-08,16.9496163405519,"SAMH1_HUMAN",38,-75.3861735456986,1.06827995644062e-12,6.19144540468515e-10,-0.0552730560302752,"Non-significant",9.20820795227218,"SAMHD1","Deoxynucleoside triphosphate triphosphohydrolase SAMHD1","SAMH1_HUMAN"
1.8024184703827,13.6057635545731,74.4871648961387,5.80337143830165e-12,3.62219660387536e-09,18.2839044456097,"FGL1_HUMAN",17,71.8839383334665,1.5622279918194e-12,8.45061195041509e-10,0.135844945907596,"Non-significant",9.07311184051001,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN"
-3.73067641258237,14.6254426240921,-67.7469153640837,1.17420166485283e-11,6.35164820574393e-09,17.6626454155932,"ISG15_HUMAN",15,-68.2140857830353,2.37432295763203e-12,1.19428604544138e-09,-0.0984179973602242,"Non-significant",8.92289164215258,"ISG15","Ubiquitin-like protein ISG15","ISG15_HUMAN"
-0.879830121994001,11.1092430353164,-40.0211719601318,5.83661952864564e-10,1.30904936709927e-07,13.8415668529007,"PAR14_HUMAN",91,-67.76755510031,2.50220147553654e-12,1.19428604544138e-09,-0.0933191776275635,"Non-significant",8.92289164215258,"PARP14","Protein mono-ADP-ribosyltransferase PARP14","PAR14_HUMAN"
0.98954606056215,13.2052952051163,41.8303761451644,4.20595703511798e-10,9.75061010941351e-08,14.1807505971863,"FAT1_HUMAN",153,67.2802664724516,2.65067002772948e-12,1.19486314472205e-09,-0.622067451477074,"Up in D",8.92268183437749,"FAT1","Protocadherin Fat 1","FAT1_HUMAN"
