"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","CM_vs_BD","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
6.52150082588195,14.0223764181137,220.585090210289,8.42449624480215e-16,6.83563625303247e-12,23.6471624241758,"MX1_HUMAN",43,292.417041596184,9.0591098684464e-18,7.35056174725741e-14,0.0624866485595739,"Non-significant",13.1336794698394,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
5.0350069999695,13.4644660949707,177.552421405913,4.41443229394471e-15,1.79093518165337e-11,23.0623106120212,"IFIT1_HUMAN",34,226.666278112655,7.3119380682047e-17,2.96645327427064e-13,-0.115613460540775,"Non-significant",12.5277624880096,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN"
4.25032949447634,11.7766354084015,138.165426212762,2.9932339963904e-14,4.85742012934234e-11,22.1534330633969,"TSP1_HUMAN",50,184.103921611834,4.02305599930505e-16,1.08810254594537e-12,0.163601636886625,"Non-significant",11.9633301735353,"THBS1","Thrombospondin-1","TSP1_HUMAN"
4.79281759262088,13.6817576885224,145.021701983826,2.06840023692483e-14,4.85742012934234e-11,22.3496171022289,"IFIT3_HUMAN",30,169.209894743514,8.03360392249981e-16,1.62961655567909e-12,0.110659122467052,"Non-significant",11.78791457188,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","IFIT3_HUMAN"
5.21281194686888,13.660320520401,141.525646142946,2.4917629348411e-14,4.85742012934234e-11,22.2520280673245,"IFIT2_HUMAN",29,160.050870045238,1.26774397191077e-15,2.0572949176168e-12,0.517391681671125,"Up in BD",11.6867034468017,"IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","IFIT2_HUMAN"
3.19784808158875,14.8818165063858,105.555125664694,2.33469860760257e-13,3.15729075034788e-10,20.8798030084851,"STAT1_HUMAN",41,136.449551046764,4.68795041878377e-15,6.33967161633526e-12,0.194671154022201,"Non-significant",11.197933237214,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1_HUMAN"
2.9828107357025,13.3297427892685,95.7403761526611,4.91533362837337e-13,4.78985073659412e-10,20.3437676982837,"RIGI_HUMAN",56,128.958370281466,7.44703849179346e-15,8.6321814746303e-12,0.178289890289275,"Non-significant",11.0638794380422,"RIGI","Antiviral innate immune response receptor RIG-I","RIGI_HUMAN"
3.28062081336977,10.6712063550949,94.7691630007205,5.31287362944874e-13,4.78985073659412e-10,20.2856042644425,"IFIH1_HUMAN",45,116.782038156832,1.67885244886541e-14,1.70277609626174e-11,-0.06955111026764,"Non-significant",10.7688424551207,"IFIH1","Interferon-induced helicase C domain-containing protein 1","IFIH1_HUMAN"
2.66631746292113,11.4053881168365,86.8422001907035,1.03437093514511e-12,7.62989615251586e-10,19.7712455652442,"SLFN5_HUMAN",37,108.98961570773,2.95661803683032e-14,2.66555541676013e-11,0.1462082862854,"Non-significant",10.5742122840852,"SLFN5","Schlafen family member 5","SLFN5_HUMAN"
4.99689483642575,14.9496417045593,91.4404436785708,6.97870824662286e-13,5.66252387130979e-10,20.0784973815411,"ISG15_HUMAN",15,91.3438136382759,1.25694114093175e-13,1.01988204175202e-10,0.771286129951481,"Up in BD",9.99145005527592,"ISG15","Ubiquitin-like protein ISG15","ISG15_HUMAN"
