"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BDM_vs_CM","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-4.18878197669982,11.7458616495132,-112.625889458874,1.36641507129224e-13,1.10870918884652e-09,19.5954005803896,"TSP1_HUMAN",50,-136.818778842921,4.58525307261204e-15,3.72047434311741e-11,0.0464715957641495,"Non-significant",10.4294016860682,"THBS1","Thrombospondin-1","TSP1_HUMAN"
1.64615917205809,16.1754121780396,47.7277710138031,9.60433543375683e-11,1.94823944273757e-07,15.4234079391177,"ALDOC_HUMAN",31,55.3477443201897,7.59886514130704e-12,2.17248721288319e-08,0.258563518524177,"Non-significant",7.66304277110052,"ALDOC","Fructose-bisphosphate aldolase C","ALDOC_HUMAN"
-1.85303258895875,11.1182913780212,-51.9514339441421,5.03113925782923e-11,1.94823944273757e-07,15.9634787083813,"ANXA3_HUMAN",21,-54.9736282989414,8.0323658351609e-12,2.17248721288319e-08,-0.0157189369201749,"Non-significant",7.66304277110052,"ANXA3","Annexin A3","ANXA3_HUMAN"
-1.70312809944153,13.1744192838669,-43.3442002917906,2.00135106316878e-10,2.35073050626753e-07,14.7825881729312,"K2C7_HUMAN",37,-50.010951449519,1.74128765095368e-11,3.23359527660337e-08,0.00298595428469994,"Non-significant",7.49031433821354,"KRT7","Keratin, type II cytoskeletal 7","K2C7_HUMAN"
-1.4366917610168,12.0115106105804,-38.3578230285394,5.07557925030278e-10,2.74555000246378e-07,13.9326328181124,"FLNC_HUMAN",102,-49.193009773562,1.99260246278246e-11,3.23359527660337e-08,-0.5977597236633,"Up in BDM",7.49031433821354,"FLNC","Filamin-C","FLNC_HUMAN"
1.39034414291383,12.3602962493896,40.9288319652967,3.09735234929526e-10,2.51319169621818e-07,14.3886504913264,"PURA1_HUMAN",29,46.9914849280776,2.8970185280188e-11,3.43029343752303e-08,-0.21012806892395,"Non-significant",7.46466872752395,"ADSS1","Adenylosuccinate synthetase isozyme 1","PURA1_HUMAN"
-1.73078727722168,10.820618391037,-41.0449181270432,3.03126422173937e-10,2.51319169621818e-07,14.4083158290114,"TRFM_HUMAN",39,-46.869269560383,2.95933621674405e-11,3.43029343752303e-08,-0.0879058837890483,"Non-significant",7.46466872752395,"MELTF","Melanotransferrin","TRFM_HUMAN"
1.10607433319095,16.8858690261841,33.1522049061573,1.53885153637237e-09,3.7837095048865e-07,12.8722512330546,"AL1L1_HUMAN",79,44.7383989034215,4.32828051771262e-11,4.04156411242293e-08,0.149671554565431,"Non-significant",7.39345052748014,"ALDH1L1","Cytosolic 10-formyltetrahydrofolate dehydrogenase","AL1L1_HUMAN"
1.19365000724792,15.6700450181961,35.9005216742039,8.39935770839391e-10,3.24535183075753e-07,13.456936394623,"TKFC_HUMAN",40,44.1854730824552,4.79113028302643e-11,4.04156411242293e-08,0.154819250106824,"Non-significant",7.39345052748014,"TKFC","Triokinase/FMN cyclase","TKFC_HUMAN"
1.02979755401612,14.9268734455109,33.2887520114743,1.49152971328516e-09,3.7837095048865e-07,12.9027353979824,"ACOHC_HUMAN",48,43.9757818611331,4.98097622926169e-11,4.04156411242293e-08,-0.223982214927672,"Non-significant",7.39345052748014,"ACO1","Cytoplasmic aconitate hydratase","ACOHC_HUMAN"
