"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","B2_vs_B1","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-1.46164298057556,10.0315948724747,-13.3938339696486,9.7629894547825e-07,0.00792168964361052,1.91054108308811,"NUA4L_HUMAN",5,-12.1050222415166,1.18878299190673e-06,0.00964578519633118,0.0499153137206996,"Non-significant",2.01566241368583,"NDUFA4L2","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4-like 2","NUA4L_HUMAN"
-0.352362155914321,16.3508012294769,-7.58605973923468,6.59300115569856e-05,0.178318704591127,0.559455063887732,"ALDOC_HUMAN",31,-8.60385811742425,1.76991504869977e-05,0.0718054535257496,-0.0268492698669256,"Non-significant",1.14384257043461,"ALDOC","Fructose-bisphosphate aldolase C","ALDOC_HUMAN"
-0.437205076217644,12.0417503118515,-8.64253867721767,2.58680276372897e-05,0.104946588124484,0.947825736843122,"ANGL8_HUMAN",8,-6.86143658291989,9.71526645541212e-05,0.26276557339738,0.0739872455597013,"Non-significant",0.58043153508995,"ANGPTL8","Angiopoietin-like protein 8","ANGL8_HUMAN"
-0.262640237808224,12.5671066045761,-5.7156708269254,0.000456093843330727,0.533220838647982,-0.422723011953094,"PURA1_HUMAN",29,-6.42638832428809,0.000156240283620609,0.316933415324406,-0.0849723815917987,"Non-significant",0.499031969310977,"ADSS1","Adenylosuccinate synthetase isozyme 1","PURA1_HUMAN"
0.318564057350155,7.87859290838242,5.49168593617419,0.000591445347280237,0.533220838647982,-0.5730982229667,"BRD8_HUMAN",22,5.79295573811984,0.000325212254229762,0.377215015699756,0.0553593635559011,"Non-significant",0.423411027743432,"BRD8","Bromodomain-containing protein 8","BRD8_HUMAN"
-0.236320972442627,11.6794381141663,-4.83949018416668,0.00131092736064694,0.571389190957423,-1.05960559819849,"DPYD_HUMAN",55,-5.7908424104262,0.000326036782720066,0.377215015699756,-0.0130045413971001,"Non-significant",0.423411027743432,"DPYD","Dihydropyrimidine dehydrogenase [NADP(+)]","DPYD_HUMAN"
0.428433656692505,6.27973735332489,5.36189668751969,0.000689687196341083,0.559612191111155,-0.66401286606376,"PHLP1_HUMAN",20,5.56792930758542,0.000427285090580986,0.377215015699756,0.0104043483734202,"Non-significant",0.423411027743432,"PHLPP1","PH domain leucine-rich repeat-containing protein phosphatase 1","PHLP1_HUMAN"
-1.76865160465241,7.49895948171616,-5.51954694458937,0.000572423959382037,0.533220838647982,-0.553948498411773,"TBA3C_HUMAN",1,-5.45600345537601,0.000490674172127644,0.377215015699756,-0.163994908332822,"Non-significant",0.423411027743432,"TUBA3C;TUBA3D","Tubulin alpha-3C chain;Tubulin alpha-3D chain","TBA3C_HUMAN"
0.604273915290833,8.04830092191696,7.19749588845808,9.54675256129543e-05,0.193655875705878,0.390314501386176,"HS904_HUMAN",3,5.4416256698055,0.000499533418521924,0.377215015699756,0.0783178806304736,"Non-significant",0.423411027743432,"HSP90AA4P","Putative heat shock protein HSP 90-alpha A4","HS904_HUMAN"
-0.241406202316284,8.75966131687164,-6.01875154958783,0.000324236395412034,0.526170822474648,-0.231796781730596,"TSYL1_HUMAN",13,-5.42569343039675,0.000509554425371462,0.377215015699756,-0.261647343635557,"Non-significant",0.423411027743432,"TSPYL1","Testis-specific Y-encoded-like protein 1","TSYL1_HUMAN"
0.857030153274538,7.43800354003906,5.23976439621571,0.000798672891845444,0.571389190957423,-0.752177485910005,"MRC1_HUMAN",20,5.42282235812233,0.000511383432671594,0.377215015699756,-0.0806159973144762,"Non-significant",0.423411027743432,"MRC1","Macrophage mannose receptor 1","MRC1_HUMAN"
-0.315724611282324,16.0044668912887,-5.06409390774919,0.00098992340407787,0.571389190957423,-0.883553841650479,"ENOG_HUMAN",20,-5.27373483443784,0.000616927437119555,0.417145768732339,0.0574576854706006,"Non-significant",0.379712157271377,"ENO2","Gamma-enolase","ENOG_HUMAN"
0.329409360885574,13.6379774808884,5.00107358372754,0.00107031043495526,0.571389190957423,-0.932024186186008,"KPB1_HUMAN",20,5.20413829171419,0.000674119673912276,0.420754387240324,0.0552957057952899,"Non-significant",0.375971346904534,"PHKA1","Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform","KPB1_HUMAN"
0.548494100570677,6.95568084716797,5.06259162908057,0.000991761033946013,0.571389190957423,-0.884700962268278,"SGK3_HUMAN",11,5.05127956781415,0.000821013442947236,0.445020941663367,0.0275182723999237,"Non-significant",0.351619551637388,"SGK3","Serine/threonine-protein kinase Sgk3","SGK3_HUMAN"
-0.176622152328477,11.4220098257065,-4.13317123849711,0.00332668104550401,0.606744079929756,-1.67531954038295,"MX1_HUMAN",43,-5.04971028685492,0.00082269092000869,0.445020941663367,-0.0505814552307111,"Non-significant",0.351619551637388,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
-0.256186485290574,11.2398283481598,-4.48170246437849,0.00208187174169359,0.582493355589718,-1.35948386450258,"EHD2_HUMAN",32,-4.9306866901513,0.000961429267269904,0.48756481716425,-0.00261306762694957,"Non-significant",0.311967640754035,"EHD2","EH domain-containing protein 2","EHD2_HUMAN"
